level1_id,size,top_labels,top_types,display_label
51,5,"KOMSOMOL; LENIN LIBRARY; TRANSYLVANIAN AREA; Lecture on international events | A lecture where the speaker refused to discuss Hungary, leading to audience unrest. | Speech; Public hostility in Rumania | Increased public hostility against the regime leading to press campaigns and arrests. | Demonstration","{""CanonicalEntity"": 3, ""EventCluster"": 2}","KOMSOMOL; LENIN LIBRARY; TRANSYLVANIAN AREA; Lecture on international events | A lecture where the speaker refused to discuss Hungary, leading to audience unrest. | Speech"
52,4,CIVIL DEFENSE BILL; ITALIAN AIR FORCE; ITALIAN ARMY; ITALIAN NAVY,"{""CanonicalEntity"": 4}",CIVIL DEFENSE BILL; ITALIAN AIR FORCE; ITALIAN ARMY; ITALIAN NAVY
53,4,DUTCH AND AUSTRALIAN OFFICIALS; LEBANESE INTERIOR MINISTRY; Attempted dynamiting of parliament | Attempted attack linked to Communist and rightist parties | Violence | 1957-11-06; Dutch-Australian cooperation statement | Statement of intent to strengthen cooperation against Indonesian demands | PolicyAction | 1957-11-06,"{""CanonicalEntity"": 2, ""EventCluster"": 2}",DUTCH AND AUSTRALIAN OFFICIALS; LEBANESE INTERIOR MINISTRY; Attempted dynamiting of parliament | Attempted attack linked to Communist and rightist parties | Violence | 1957-11-06; Dutch-Australian cooperation statement | Statement of intent to strengthen cooperation against Indonesian demands | PolicyAction | 1957-11-06
54,4,NATIONAL TRADE UNION COUNCIL; WORKERS AND SOLDIERS COUNCIL OF SZOLNOK; WORKERS COMMITTEE OF GREATER MISKOLC; GENERAL STRIKE IN HUNGARY,"{""CanonicalEntity"": 4}",NATIONAL TRADE UNION COUNCIL; WORKERS AND SOLDIERS COUNCIL OF SZOLNOK; WORKERS COMMITTEE OF GREATER MISKOLC; GENERAL STRIKE IN HUNGARY
55,4,AMBASSADOR REISCHAUER; AYUB REGIME; FINANCE MINISTER MIZUTA; Negotiations on postwar aid | Japan is preparing to negotiate its obligations for postwar aid repayment. | Negotiation | mid-April 1961,"{""CanonicalEntity"": 3, ""EventCluster"": 1}",AMBASSADOR REISCHAUER; AYUB REGIME; FINANCE MINISTER MIZUTA; Negotiations on postwar aid | Japan is preparing to negotiate its obligations for postwar aid repayment. | Negotiation | mid-April 1961
56,4,BOTI; CUBAN ECONOMY; FRESQUET; PAZOS,"{""CanonicalEntity"": 4}",BOTI; CUBAN ECONOMY; FRESQUET; PAZOS
57,4,HSINCHU AIRFIELD; PENG MENG-CHI; Resupply Flight | Resupply flights from Hsinchu airfield to the border area. | MilitaryAction | 1960-01-01; Visit to Thailand | Visit of Peng Meng-chi to Thailand where airfield use was requested. | Travel | 1960-01-01,"{""CanonicalEntity"": 2, ""EventCluster"": 2}",HSINCHU AIRFIELD; PENG MENG-CHI; Resupply Flight | Resupply flights from Hsinchu airfield to the border area. | MilitaryAction | 1960-01-01; Visit to Thailand | Visit of Peng Meng-chi to Thailand where airfield use was requested. | Travel | 1960-01-01
58,4,BRITISH AMBASSADOR TO EGYPT; EGYPTS CHIEF UN DELEGATE; Recommendation for Mediterranean command headquarters | The British Ambassador recommended that the headquarters of the proposed Allied command for the eastern ; Effort to postpone UN action on Canal issue | Egyptian diplomats approached US officials to develop a new formula for settling the Suez Canal dispute and to pos,"{""CanonicalEntity"": 2, ""EventCluster"": 2}",BRITISH AMBASSADOR TO EGYPT; EGYPTS CHIEF UN DELEGATE; Recommendation for Mediterranean command headquarters | The British Ambassador recommended that the headquarters of the proposed Allied command for the eastern ; Effort to postpone UN action on Canal issue | Egyptian diplomats approached US officials to develop a new formula for settling the Suez Canal dispute and to pos
59,4,ISRAELI BORDER SETTLEMENTS; SYRIAN ENGINEER OFFICER; Model Settlement Preparation | Egyptian army engineers prepared a model settlement for training. | Other | 1956-09-23; MODEL SETTLEMENT,"{""CanonicalEntity"": 3, ""EventCluster"": 1}",ISRAELI BORDER SETTLEMENTS; SYRIAN ENGINEER OFFICER; Model Settlement Preparation | Egyptian army engineers prepared a model settlement for training. | Other | 1956-09-23; MODEL SETTLEMENT
60,4,AUGUSTIN MARTINEZ SANCHEZ; KRIM; MANUEL FERNANDEZ; TUNISIAN OFFICIAL,"{""CanonicalEntity"": 4}",AUGUSTIN MARTINEZ SANCHEZ; KRIM; MANUEL FERNANDEZ; TUNISIAN OFFICIAL
61,4,BRITISH PRESS; BRITISH UN REPRESENTATIVES; Request for American views | British UN representatives requested American views on a proposed weakening of the Assembly resolution. | Communication | 1953-09-0; Public attitude reflection | The British press reflected a dominant public attitude regarding the admission of Communist China to the UN. | Speech | 1953-09-04,"{""CanonicalEntity"": 2, ""EventCluster"": 2}",BRITISH PRESS; BRITISH UN REPRESENTATIVES; Request for American views | British UN representatives requested American views on a proposed weakening of the Assembly resolution. | Communication | 1953-09-0; Public attitude reflection | The British press reflected a dominant public attitude regarding the admission of Communist China to the UN. | Speech | 1953-09-04
62,4,DEPUTY PREMIER NHOUY; KHOU GOVERNMENT; MANGAL TRIBES; Kandahar disturbances | Large-scale rioting that occurred in Kandahar. | Violence | December,"{""CanonicalEntity"": 3, ""EventCluster"": 1}",DEPUTY PREMIER NHOUY; KHOU GOVERNMENT; MANGAL TRIBES; Kandahar disturbances | Large-scale rioting that occurred in Kandahar. | Violence | December
63,4,JAPANESE NATIONALIST GOVERNMENT; PEIPING RAILWAY BUREAU; British opposition to Japanese treaty negotiations | The British Mission Chief in Tokyo requested information on Japanese intentions regarding a treaty with the; Closure of Manchurian railways | Peiping authorities suspended passenger and commercial freight service on most of the Manchurian rail network due to military t,"{""CanonicalEntity"": 2, ""EventCluster"": 2}",JAPANESE NATIONALIST GOVERNMENT; PEIPING RAILWAY BUREAU; British opposition to Japanese treaty negotiations | The British Mission Chief in Tokyo requested information on Japanese intentions regarding a treaty with the; Closure of Manchurian railways | Peiping authorities suspended passenger and commercial freight service on most of the Manchurian rail network due to military t
64,4,EAST GERMAN AIR FORCE; EAST GERMAN ARMY; East German exercise with air support | First noted exercise to include air support by East German army. | MilitaryAction | 1954-08-06; East German division level exercises | Two divisions of Corps North conducted separate exercises believed to be of division level. | MilitaryAction | 1954-08-16,"{""CanonicalEntity"": 2, ""EventCluster"": 2}",EAST GERMAN AIR FORCE; EAST GERMAN ARMY; East German exercise with air support | First noted exercise to include air support by East German army. | MilitaryAction | 1954-08-06; East German division level exercises | Two divisions of Corps North conducted separate exercises believed to be of division level. | MilitaryAction | 1954-08-16
65,4,EAST GERMAN RAILWAYS; FREE GERMAN YOUTH (FDJ); Turkey declines conference invitation | Turkey declines Jordan's invitation to the Jerusalem conference on Palestine. | Communication | 1954-05-20; EAST BERLIN YOUTH RALLY,"{""CanonicalEntity"": 3, ""EventCluster"": 1}",EAST GERMAN RAILWAYS; FREE GERMAN YOUTH (FDJ); Turkey declines conference invitation | Turkey declines Jordan's invitation to the Jerusalem conference on Palestine. | Communication | 1954-05-20; EAST BERLIN YOUTH RALLY
66,4,"CHINESE COMMUNIST 26TH AIR DIVISION; LIUCHOU; Denunciation of Nagy | Rakosi's denunciation of Nagy. | Communication | 1955-03-04; Troop Shipment to Quemoy | Shipment of approximately 13,000 Chinese Nationalist filler personnel to the Quemoy group. | MilitaryAction | March 1955","{""CanonicalEntity"": 2, ""EventCluster"": 2}","CHINESE COMMUNIST 26TH AIR DIVISION; LIUCHOU; Denunciation of Nagy | Rakosi's denunciation of Nagy. | Communication | 1955-03-04; Troop Shipment to Quemoy | Shipment of approximately 13,000 Chinese Nationalist filler personnel to the Quemoy group. | MilitaryAction | March 1955"
67,3,GOODYEAR; WINGFOOT; Troop transfer decision | Prime Minister Djuanda stated a decision had been made to transfer additional troops to Sumatra. | PolicyAction,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",GOODYEAR; WINGFOOT; Troop transfer decision | Prime Minister Djuanda stated a decision had been made to transfer additional troops to Sumatra. | PolicyAction
68,3,"SOVIET MILITARY ADMINISTRATION; WESTERN GERMANY; Cancellation of Orders | The USSR Council of Ministers canceled all orders and instructions on political, economic and cultural affairs in East Germany. | Polic","{""CanonicalEntity"": 2, ""EventCluster"": 1}","SOVIET MILITARY ADMINISTRATION; WESTERN GERMANY; Cancellation of Orders | The USSR Council of Ministers canceled all orders and instructions on political, economic and cultural affairs in East Germany. | Polic"
69,3,EAST GERMAN ALERT AND BORDER POLICE; SAXONY; THURINGIA,"{""CanonicalEntity"": 3}",EAST GERMAN ALERT AND BORDER POLICE; SAXONY; THURINGIA
70,3,JORDANIAN ARMED FORCES; SYRIAN BORDER; TURKISH AIR FORCE,"{""CanonicalEntity"": 3}",JORDANIAN ARMED FORCES; SYRIAN BORDER; TURKISH AIR FORCE
71,3,CHITOSE AIR FORCE BASE; IWAKUNI NAVAL AIR STATION; Soviet Fighter Attack | A US reconnaissance aircraft was attacked by Soviet aircraft while over international waters. | Violence | 1957-05-02,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",CHITOSE AIR FORCE BASE; IWAKUNI NAVAL AIR STATION; Soviet Fighter Attack | A US reconnaissance aircraft was attacked by Soviet aircraft while over international waters. | Violence | 1957-05-02
72,3,BRITISH HIGH COMMISSIONERS; FRENCH HIGH COMMISSIONERS; SOVIET EFFORT,"{""CanonicalEntity"": 3}",BRITISH HIGH COMMISSIONERS; FRENCH HIGH COMMISSIONERS; SOVIET EFFORT
73,3,SAUDI ARABIAN DEPUTY DEFENSE MINISTER; Transfer of POWs | Chou En-lai seeks transfer of POWs from American to 'neutral' control. | Negotiation | 1952-11-14; Arms Preference Statement | Saudi Arabian Deputy Defense Minister favors European arms over American arms. | PolicyAction | 1952-11-14,"{""EventCluster"": 2, ""CanonicalEntity"": 1}",SAUDI ARABIAN DEPUTY DEFENSE MINISTER; Transfer of POWs | Chou En-lai seeks transfer of POWs from American to 'neutral' control. | Negotiation | 1952-11-14; Arms Preference Statement | Saudi Arabian Deputy Defense Minister favors European arms over American arms. | PolicyAction | 1952-11-14
74,3,"BRITISH MILITARY ADVISER; SUBAH FAMILY; Alert of Iraqi forces | Iraqi tank units and divisional security units were alerted due to tensions. | MilitaryAction | April 4, 1959","{""CanonicalEntity"": 2, ""EventCluster"": 1}","BRITISH MILITARY ADVISER; SUBAH FAMILY; Alert of Iraqi forces | Iraqi tank units and divisional security units were alerted due to tensions. | MilitaryAction | April 4, 1959"
75,3,BERLIN FESTIVAL; COMMITTEE FOR WORLD YOUTH FRIENDSHIP AND CULTURAL EXCHANGE; Berlin Festival Participation | American participation organized by the Committee for World Youth Friendship and Cultural Exchange. | Other,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",BERLIN FESTIVAL; COMMITTEE FOR WORLD YOUTH FRIENDSHIP AND CULTURAL EXCHANGE; Berlin Festival Participation | American participation organized by the Committee for World Youth Friendship and Cultural Exchange. | Other
76,3,ADMIRAL SMOOT; MINISTER OF DEFENSE YU TA-WEI; YU TA-WEI,"{""CanonicalEntity"": 3}",ADMIRAL SMOOT; MINISTER OF DEFENSE YU TA-WEI; YU TA-WEI
77,3,CHINESE-KOREAN HEADQUARTERS; NORTH KOREAN GENERAL HEADQUARTERS; Soviet tactical units movement | Soviet infantry and artillery units moved south of the Chongchon river in northwestern Korea. | MilitaryAction | 1952-05,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",CHINESE-KOREAN HEADQUARTERS; NORTH KOREAN GENERAL HEADQUARTERS; Soviet tactical units movement | Soviet infantry and artillery units moved south of the Chongchon river in northwestern Korea. | MilitaryAction | 1952-05
78,3,KONSTANTIN PETUKHOV; USSR STATE SCIENTIFIC-TECHNICAL COMMITTEE; YURY MAKSAREV,"{""CanonicalEntity"": 3}",KONSTANTIN PETUKHOV; USSR STATE SCIENTIFIC-TECHNICAL COMMITTEE; YURY MAKSAREV
79,3,ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS,"{""CanonicalEntity"": 3}",ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS
80,3,HUNGARIAN ALUMINUM; RHEE AGENTS; Chinese concession on POWs | Discussion of proposals for solving the prisoner-of-war question | Negotiation | 1952-06-15,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",HUNGARIAN ALUMINUM; RHEE AGENTS; Chinese concession on POWs | Discussion of proposals for solving the prisoner-of-war question | Negotiation | 1952-06-15
81,3,ANNAMESE; FRENCH VICE-CONSUL; ROYERE,"{""CanonicalEntity"": 3}",ANNAMESE; FRENCH VICE-CONSUL; ROYERE
82,3,COMET; DINO GENTILI; Replacement of Soviet Mission Chief | Japan consents to the USSR's request to replace the chief of its unrecognized mission. | Negotiation | 1956-05-04,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",COMET; DINO GENTILI; Replacement of Soviet Mission Chief | Japan consents to the USSR's request to replace the chief of its unrecognized mission. | Negotiation | 1956-05-04
83,3,ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH,"{""CanonicalEntity"": 3}",ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH
84,3,FIRST FOREIGN LEGION PARACHUTE REGIMENT; SEVENTH REGIMENT; MILITARY REVOLT,"{""CanonicalEntity"": 3}",FIRST FOREIGN LEGION PARACHUTE REGIMENT; SEVENTH REGIMENT; MILITARY REVOLT
85,3,"ARABS LIVING IN ISRAEL; LEBANESE FRONTIER; Possible operations within Israel | Reported operations involving 35 men, including village chiefs. | MilitaryAction","{""CanonicalEntity"": 2, ""EventCluster"": 1}","ARABS LIVING IN ISRAEL; LEBANESE FRONTIER; Possible operations within Israel | Reported operations involving 35 men, including village chiefs. | MilitaryAction"
86,3,ANGLO-EGYPTIAN NEGOTIATIONS; JAPANESE DEFENSE OFFICIALS; Anglo-Egyptian negotiations | Informal talks suspended due to disagreements over British technicians' uniforms. | Negotiation | 23 September 1953,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",ANGLO-EGYPTIAN NEGOTIATIONS; JAPANESE DEFENSE OFFICIALS; Anglo-Egyptian negotiations | Informal talks suspended due to disagreements over British technicians' uniforms. | Negotiation | 23 September 1953
87,3,"GUEVARA GROUP; MANCHENO; Student and Laborer Parade | A parade of students, laborers, and leftist political parties that turned violent. | Demonstration | 1951-03-31","{""CanonicalEntity"": 2, ""EventCluster"": 1}","GUEVARA GROUP; MANCHENO; Student and Laborer Parade | A parade of students, laborers, and leftist political parties that turned violent. | Demonstration | 1951-03-31"
88,3,LEBANESE EMBASSY; SOVIET-IRANIAN FISHERIES; Pressure against Iranian nationalization | Soviet official directed the discharge of Iranian employees discussing nationalization. | PolicyAction | October,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",LEBANESE EMBASSY; SOVIET-IRANIAN FISHERIES; Pressure against Iranian nationalization | Soviet official directed the discharge of Iranian employees discussing nationalization. | PolicyAction | October
89,3,INTRANSIGENT RADICAL CIVIC UNION; PEOPLES RADICAL CIVIC UNION; Economic reorganization in China | New regulations issued to decentralize industry and manage labor force. | PolicyAction,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",INTRANSIGENT RADICAL CIVIC UNION; PEOPLES RADICAL CIVIC UNION; Economic reorganization in China | New regulations issued to decentralize industry and manage labor force. | PolicyAction
90,3,JULIUSZ HUEBNER; POLANDS INTERNAL SECURITY FORCES; WACLAW KOMAR,"{""CanonicalEntity"": 3}",JULIUSZ HUEBNER; POLANDS INTERNAL SECURITY FORCES; WACLAW KOMAR
91,3,NORTH KOREAN COMMUNIST LEADERSHIP; SOUTH KOREAN LABOR PARTY; Bilateral talks suggestion | The Soviet ambassador suggested bilateral talks with France regarding the German problem. | Communication | 1953-07-31 to 1953-08-0,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",NORTH KOREAN COMMUNIST LEADERSHIP; SOUTH KOREAN LABOR PARTY; Bilateral talks suggestion | The Soviet ambassador suggested bilateral talks with France regarding the German problem. | Communication | 1953-07-31 to 1953-08-0
92,3,LIEUTENANT COLONEL TASWIN; PHILIPPINE FOREIGN MINISTRY; Request for Information | The Philippine Foreign Ministry requested up-to-date reports on the status of U.S. armed forces or bases. | Communication,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",LIEUTENANT COLONEL TASWIN; PHILIPPINE FOREIGN MINISTRY; Request for Information | The Philippine Foreign Ministry requested up-to-date reports on the status of U.S. armed forces or bases. | Communication
93,3,"BRITISH DE HAVILLAND; HELWAN; Construction of large installation | Egypt began construction of a large installation comprising a steelworks, foundry, and rolling mill. | Other | late 1954","{""CanonicalEntity"": 2, ""EventCluster"": 1}","BRITISH DE HAVILLAND; HELWAN; Construction of large installation | Egypt began construction of a large installation comprising a steelworks, foundry, and rolling mill. | Other | late 1954"
94,2,DEFENSE SECRETARY GOSNJAK; YUGOSLAV PARLIAMENT,"{""CanonicalEntity"": 2}",DEFENSE SECRETARY GOSNJAK; YUGOSLAV PARLIAMENT
95,2,NATIONAL YOUTH CORPS; TAIPEI RIOTS,"{""CanonicalEntity"": 2}",NATIONAL YOUTH CORPS; TAIPEI RIOTS
96,2,DEAN RUSK; TOKYO CONFERENCE,"{""CanonicalEntity"": 2}",DEAN RUSK; TOKYO CONFERENCE
97,2,LIBYANS; LIBYAN COUNCIL OF MINISTERS,"{""CanonicalEntity"": 2}",LIBYANS; LIBYAN COUNCIL OF MINISTERS
98,2,INDONESIAN DIPLOMATS; RUSSIAN EMBASSY,"{""CanonicalEntity"": 2}",INDONESIAN DIPLOMATS; RUSSIAN EMBASSY
99,2,GENERAL GOES MONTEIRO; US AMBASSADOR JOHNSON,"{""CanonicalEntity"": 2}",GENERAL GOES MONTEIRO; US AMBASSADOR JOHNSON
100,2,LAOTIAN PEOPLES LIBERATION ARMY; LAOS INVASION,"{""CanonicalEntity"": 2}",LAOTIAN PEOPLES LIBERATION ARMY; LAOS INVASION
101,2,VLADIMIR USTINOV; YEKATERINA FURTSEVA,"{""CanonicalEntity"": 2}",VLADIMIR USTINOV; YEKATERINA FURTSEVA
102,2,CHILEAN CABINET; LABOR MINISTER FONCEA,"{""CanonicalEntity"": 2}",CHILEAN CABINET; LABOR MINISTER FONCEA
103,2,CONFEDERATION OF ECUADORAN WORKERS (CTE); MANABI EXPLORATION COMPANY,"{""CanonicalEntity"": 2}",CONFEDERATION OF ECUADORAN WORKERS (CTE); MANABI EXPLORATION COMPANY
104,2,EAST GERMAN MINISTRY OF TRANSPORT; Planning of post-ratification measures | East German Ministry of Transport conferred on propaganda activity and measures against West Berlin. | PolicyAction | 1,"{""CanonicalEntity"": 1, ""EventCluster"": 1}",EAST GERMAN MINISTRY OF TRANSPORT; Planning of post-ratification measures | East German Ministry of Transport conferred on propaganda activity and measures against West Berlin. | PolicyAction | 1
105,2,DE GASPERI CABINET; EAST GERMAN SECURITY MINISTER,"{""CanonicalEntity"": 2}",DE GASPERI CABINET; EAST GERMAN SECURITY MINISTER
106,2,ISRAELI TROOPS; UN OBSERVER HUTCHISON,"{""CanonicalEntity"": 2}",ISRAELI TROOPS; UN OBSERVER HUTCHISON
107,2,EGYPTIAN GOVERNMENT-CONTROLLED NEWS AGENCY; LEBANESE OPPOSITION LEADER,"{""CanonicalEntity"": 2}",EGYPTIAN GOVERNMENT-CONTROLLED NEWS AGENCY; LEBANESE OPPOSITION LEADER
108,2,MENAHIM BEGIN; Rally by Menahim Begin | Menahim Begin spoke about Israel's existence being in balance due to the Suez Canal dispute. | Speech | 1956-08-13,"{""CanonicalEntity"": 1, ""EventCluster"": 1}",MENAHIM BEGIN; Rally by Menahim Begin | Menahim Begin spoke about Israel's existence being in balance due to the Suez Canal dispute. | Speech | 1956-08-13
109,2,IRKUTSK AUTOMOBILE ASSEMBLY PLANT; MINISTRY OF THE COMMUNICATIONS EQUIPMENT INDUSTRY,"{""CanonicalEntity"": 2}",IRKUTSK AUTOMOBILE ASSEMBLY PLANT; MINISTRY OF THE COMMUNICATIONS EQUIPMENT INDUSTRY
110,2,PERON GOVERNMENT; diplomatic approaches | The Peron government made diplomatic approaches aimed at settling pending problems with the United States. | Communication | 1950-1951,"{""CanonicalEntity"": 1, ""EventCluster"": 1}",PERON GOVERNMENT; diplomatic approaches | The Peron government made diplomatic approaches aimed at settling pending problems with the United States. | Communication | 1950-1951
111,2,PHAN VAN DONG; Viet Minh foreign minister's statement | Phan Van Dong voices lack of confidence in 'the East'. | Speech,"{""CanonicalEntity"": 1, ""EventCluster"": 1}",PHAN VAN DONG; Viet Minh foreign minister's statement | Phan Van Dong voices lack of confidence in 'the East'. | Speech
112,2,PRESIDENT-DESIGNATE URDANETA; PRESIDENT GOMEZ,"{""CanonicalEntity"": 2}",PRESIDENT-DESIGNATE URDANETA; PRESIDENT GOMEZ
113,2,RADIO BUDAPEST; Broadcast Appeals | Radio Budapest broadcasts appeals from leaders to end bloodshed. | Communication | 1956-10-25,"{""CanonicalEntity"": 1, ""EventCluster"": 1}",RADIO BUDAPEST; Broadcast Appeals | Radio Budapest broadcasts appeals from leaders to end bloodshed. | Communication | 1956-10-25
114,2,SHAMMAR; YAZIDI,"{""CanonicalEntity"": 2}",SHAMMAR; YAZIDI
115,2,POLISH ARMED FORCES; SOVIET MARSHAL ROKOSSOVSKY,"{""CanonicalEntity"": 2}",POLISH ARMED FORCES; SOVIET MARSHAL ROKOSSOVSKY
116,2,TSHOMBES FORCES; UNION OF NEGRO LABORERS AND ARTISANS,"{""CanonicalEntity"": 2}",TSHOMBES FORCES; UNION OF NEGRO LABORERS AND ARTISANS
117,2,CHEN SHAO-KUAN; Defection Appeals | Chen Shao-kuan advised military and administrative personnel in Taiwan to oppose US imperialism. | Communication | 1958-10-08,"{""CanonicalEntity"": 1, ""EventCluster"": 1}",CHEN SHAO-KUAN; Defection Appeals | Chen Shao-kuan advised military and administrative personnel in Taiwan to oppose US imperialism. | Communication | 1958-10-08
118,2,"KOREAN UNEMPLOYED ASSOCIATION; Demonstration in Seoul | A demonstration by 2,000 members of the Korean Unemployed Association criticizing the government. | Demonstration | 23 March 1961","{""CanonicalEntity"": 1, ""EventCluster"": 1}","KOREAN UNEMPLOYED ASSOCIATION; Demonstration in Seoul | A demonstration by 2,000 members of the Korean Unemployed Association criticizing the government. | Demonstration | 23 March 1961"
119,2,BRITISH PROPOSALS; SOVIET BROADCAST,"{""CanonicalEntity"": 2}",BRITISH PROPOSALS; SOVIET BROADCAST
120,2,MINDAN; DEMONSTRATION,"{""CanonicalEntity"": 2}",MINDAN; DEMONSTRATION
121,2,GAJEWSKI; POZNAN RIOTS,"{""CanonicalEntity"": 2}",GAJEWSKI; POZNAN RIOTS
122,2,PUBLIC LECTURER IN MOSCOW; US SOVIET RELATIONS,"{""CanonicalEntity"": 2}",PUBLIC LECTURER IN MOSCOW; US SOVIET RELATIONS
