node_key,label,node_type,source_type,example_mention,canonicalization_source,mention_count,source
CANONICAL_ENTITY:CUBAN_EMBASSIES,CUBAN EMBASSIES,CanonicalEntity,Organization,Cuban embassies,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_EMBASSY,CUBAN EMBASSY,CanonicalEntity,Organization,Cuban Embassy,dictionary; normalized_label,8.0,
CANONICAL_ENTITY:CUBAN_EXILES,CUBAN EXILES,CanonicalEntity,Other; PoliticalGroup,Cuban exiles,normalized_label,4.0,
CANONICAL_ENTITY:CUBAN_FOREIGN_MINISTER_ROA,CUBAN FOREIGN MINISTER ROA,CanonicalEntity,Person,Cuban Foreign Minister Roa,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_GOVERNMENT,CUBAN GOVERNMENT,CanonicalEntity,Government,Cuban government,normalized_label,38.0,
CANONICAL_ENTITY:CUBAN_LABOR_CONFEDERATION,CUBAN LABOR CONFEDERATION,CanonicalEntity,Organization,Cuban Labor Confederation,normalized_label,6.0,
CANONICAL_ENTITY:CUBAN_LABOR_LEADER,CUBAN LABOR LEADER,CanonicalEntity,Person,Cuban labor leader,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_LED_EXILE_GROUP,CUBAN-LED EXILE GROUP,CanonicalEntity,PoliticalGroup,Cuban-led exile group,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_MILITARY,CUBAN MILITARY,CanonicalEntity,Military,Cuban military,normalized_label,4.0,
CANONICAL_ENTITY:CUBAN_MILITARY_ELEMENTS,CUBAN MILITARY ELEMENTS,CanonicalEntity,Military,Cuban military elements,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_MILITIA,CUBAN MILITIA,CanonicalEntity,Military,Cuban Militia,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_NATIONAL_DAY,CUBAN NATIONAL DAY,CanonicalEntity,Other,Cuban National Day,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_NATIONAL_ECONOMIC_COUNCIL,CUBAN NATIONAL ECONOMIC COUNCIL,CanonicalEntity,Organization,Cuban National Economic Council,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_NAVY,CUBAN NAVY,CanonicalEntity,Military,Cuban navy,normalized_label,2.0,
CANONICAL_ENTITY:CUBAN_PETROLEUM_INSTITUTE,CUBAN PETROLEUM INSTITUTE,CanonicalEntity,Organization,Cuban Petroleum Institute,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_PRESS,CUBAN PRESS,CanonicalEntity,Organization,Cuban press,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_PROBLEM,CUBAN PROBLEM,CanonicalEntity,Other,Cuban Problem,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_RADIO_STATION,CUBAN RADIO STATION,CanonicalEntity,Organization,Cuban radio station,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_REBELS,CUBAN REBELS,CanonicalEntity,Military; PoliticalGroup,Cuban rebels,normalized_label,2.0,
CANONICAL_ENTITY:CUBAN_REGIME,CUBAN REGIME,CanonicalEntity,Government; Organization,Cuban regime,normalized_label,5.0,
CANONICAL_ENTITY:CUBAN_REVOLUTIONARIES,CUBAN REVOLUTIONARIES,CanonicalEntity,PoliticalGroup,Cuban revolutionaries,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_REVOLUTIONARY_COUNCIL,CUBAN REVOLUTIONARY COUNCIL,CanonicalEntity,PoliticalGroup,Cuban Revolutionary Council,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_SECURITY_AUTHORITIES,CUBAN SECURITY AUTHORITIES,CanonicalEntity,Government,Cuban security authorities,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_STUDENT_AGITATOR,CUBAN STUDENT AGITATOR,CanonicalEntity,Person,Cuban student agitator,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_SUGAR_INSTITUTE,CUBAN SUGAR INSTITUTE,CanonicalEntity,Organization,Cuban Sugar Institute,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_SUPPORTED_REBEL_GROUPS,CUBAN-SUPPORTED REBEL GROUPS,CanonicalEntity,Other,Cuban-supported rebel groups,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_SUPPORTED_REVOLUTIONARY_FORCES,CUBAN-SUPPORTED REVOLUTIONARY FORCES,CanonicalEntity,PoliticalGroup,Cuban-supported revolutionary forces,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_VENEZUELAN_RELATIONS,CUBAN-VENEZUELAN RELATIONS,CanonicalEntity,Other,Cuban-Venezuelan relations,normalized_label,1.0,
CANONICAL_ENTITY:CUBAN_WORKERS_CONFEDERATION,CUBAN WORKERS CONFEDERATION,CanonicalEntity,Organization,Cuban Workers' Confederation,dictionary; normalized_label,13.0,
CANONICAL_ENTITY:CUCCHI_MAGNANI_GROUP,CUCCHI-MAGNANI GROUP,CanonicalEntity,PoliticalGroup,Cucchi-Magnani group,normalized_label,1.0,
CANONICAL_ENTITY:CUENCA,CUENCA,CanonicalEntity,Location,Cuenca,normalized_label,2.0,
CANONICAL_ENTITY:CUNHA,CUNHA,CanonicalEntity,Person,Cunha,normalized_label,4.0,
CANONICAL_ENTITY:CURACAO,CURACAO,CanonicalEntity,Location,Curacao,normalized_label,1.0,
CANONICAL_ENTITY:CURRENT_INTELLIGENCE_BULLETIN,CURRENT INTELLIGENCE BULLETIN,CanonicalEntity,Document,Current Intelligence Bulletin,normalized_label,1.0,
CANONICAL_ENTITY:CURRENT_SULTAN,CURRENT SULTAN,CanonicalEntity,Person,current sultan,normalized_label,1.0,
CANONICAL_ENTITY:CURZON_LINE,CURZON LINE,CanonicalEntity,Other,Curzon line,normalized_label,1.0,
CANONICAL_ENTITY:CUTCH,CUTCH,CanonicalEntity,Organization,CUTCH,normalized_label,3.0,
CANONICAL_ENTITY:CYPRIOTS,CYPRIOTS,CanonicalEntity,Other,Cypriots,normalized_label,2.0,
CANONICAL_ENTITY:CYPRIOT_COMMUNISTS,CYPRIOT COMMUNISTS,CanonicalEntity,PoliticalGroup,Cypriot Communists,normalized_label,6.0,
CANONICAL_ENTITY:CYPRIOT_GOVERNMENT,CYPRIOT GOVERNMENT,CanonicalEntity,Government,Cypriot Government,normalized_label,1.0,
CANONICAL_ENTITY:CYPRIOT_NATIONALISTS,CYPRIOT NATIONALISTS,CanonicalEntity,PoliticalGroup,Cypriot Nationalists,normalized_label,1.0,
CANONICAL_ENTITY:CYPRIOT_REPUBLIC,CYPRIOT REPUBLIC,CanonicalEntity,Country,Cypriot Republic,normalized_label,2.0,
CANONICAL_ENTITY:CYPRUS,CYPRUS,CanonicalEntity,Country; Location,Cyprus,normalized_label,120.0,
CANONICAL_ENTITY:CYPRUS_ETHNARCHY,CYPRUS ETHNARCHY,CanonicalEntity,PoliticalGroup,Cyprus ethnarchy,normalized_label,1.0,
CANONICAL_ENTITY:CYPRUS_GOVERNMENT,CYPRUS GOVERNMENT,CanonicalEntity,Government,Cyprus government,normalized_label,2.0,
CANONICAL_ENTITY:CYPRUS_IS_TURKISH_SOCIETY,CYPRUS-IS-TURKISH SOCIETY,CanonicalEntity,PoliticalGroup,Cyprus-is-Turkish Society,normalized_label,1.0,
CANONICAL_ENTITY:CYRANKIEWICZ,CYRANKIEWICZ,CanonicalEntity,Person,Cyrankiewicz,dictionary; normalized_label,11.0,
CANONICAL_ENTITY:CYRENAICA,CYRENAICA,CanonicalEntity,Location,Cyrenaica,normalized_label,8.0,
CANONICAL_ENTITY:CYRILLE_ADOULA,CYRILLE ADOULA,CanonicalEntity,Person,Cyrille Adoula,normalized_label,2.0,
CANONICAL_ENTITY:CZECH,CZECH,CanonicalEntity,Country; Government; Organization; Other,Czech,normalized_label,26.0,
CANONICAL_ENTITY:CZECHOSLOVAKIA,CZECHOSLOVAKIA,CanonicalEntity,Country; Government; Location,Czechoslovakia,normalized_label,382.0,
CANONICAL_ENTITY:CZECHOSLOVAK_COMMUNIST_PARTY,CZECHOSLOVAK COMMUNIST PARTY,CanonicalEntity,PoliticalGroup,Czechoslovak Communist Party,dictionary; normalized_label,5.0,
CANONICAL_ENTITY:CZECHOSLOVAK_EMBASSY,CZECHOSLOVAK EMBASSY,CanonicalEntity,Organization,Czechoslovak Embassy,normalized_label,2.0,
CANONICAL_ENTITY:CZECHOSLOVAK_FIRM,CZECHOSLOVAK FIRM,CanonicalEntity,Organization,Czechoslovak firm,normalized_label,1.0,
CANONICAL_ENTITY:CZECHOSLOVAK_FOREIGN_OFFICE,CZECHOSLOVAK FOREIGN OFFICE,CanonicalEntity,Organization,Czechoslovak Foreign Office,normalized_label,1.0,
CANONICAL_ENTITY:CZECHOSLOVAK_GOVERNMENT,CZECHOSLOVAK GOVERNMENT,CanonicalEntity,Government,Czechoslovak Government,dictionary; normalized_label,12.0,
CANONICAL_ENTITY:CZECHOSLOVAK_MINISTER_OF_NATIONAL_SECURITY,CZECHOSLOVAK MINISTER OF NATIONAL SECURITY,CanonicalEntity,Person,Czechoslovak Minister of National Security,normalized_label,1.0,
CANONICAL_ENTITY:CZECHOSLOVAK_MINISTER_TO_VENEZUELA,CZECHOSLOVAK MINISTER TO VENEZUELA,CanonicalEntity,Person,Czechoslovak Minister to Venezuela,normalized_label,1.0,
CANONICAL_ENTITY:CZECHOSLOVAK_MINISTRY_OF_FOREIGN_AFFAIRS,CZECHOSLOVAK MINISTRY OF FOREIGN AFFAIRS,CanonicalEntity,Organization,Czechoslovak Ministry of Foreign Affairs,normalized_label,1.0,
CANONICAL_ENTITY:CZECHOSLOVAK_MINISTRY_OF_INFORMATION,CZECHOSLOVAK MINISTRY OF INFORMATION,CanonicalEntity,Organization,Czechoslovak Ministry of Information,normalized_label,1.0,
CANONICAL_ENTITY:CZECHOSLOVAK_PRESIDENT_ZAPOTOCKY,CZECHOSLOVAK PRESIDENT ZAPOTOCKY,CanonicalEntity,Person,President Zapotocky,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:CZECHOSLOVAK_RED_CROSS,CZECHOSLOVAK RED CROSS,CanonicalEntity,Organization,Czechoslovak Red Cross,normalized_label,1.0,
CANONICAL_ENTITY:CZECHOSLOVAK_SECURITY_FORCES,CZECHOSLOVAK SECURITY FORCES,CanonicalEntity,Military,Czechoslovak security forces,normalized_label,1.0,
CANONICAL_ENTITY:CZECHOSLOVAK_STATE_AIRLINES,CZECHOSLOVAK STATE AIRLINES,CanonicalEntity,Organization,Czechoslovak State Airlines,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:CZECHOSLOVAK_STATE_PLANNING_OFFICE,CZECHOSLOVAK STATE PLANNING OFFICE,CanonicalEntity,Organization,Czechoslovak State Planning Office,normalized_label,1.0,
CANONICAL_ENTITY:CZECHOSLOVAK_TRADE_MISSION,CZECHOSLOVAK TRADE MISSION,CanonicalEntity,Other,Czechoslovak trade mission,normalized_label,1.0,
CANONICAL_ENTITY:CZECHS,CZECHS,CanonicalEntity,Country; Other,Czechs,normalized_label,4.0,
CANONICAL_ENTITY:CZECH_AERO_45,CZECH AERO 45,CanonicalEntity,Other,Czech Aero 45,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_AGRICULTURE,CZECH AGRICULTURE,CanonicalEntity,Other,Czech agriculture,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_AIRLINE,CZECH AIRLINE,CanonicalEntity,Other,Czech airline,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_AIR_EXHIBIT,CZECH AIR EXHIBIT,CanonicalEntity,Other,Czech air exhibit,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_AIR_FORCE,CZECH AIR FORCE,CanonicalEntity,Military,Czech Air Force,normalized_label,2.0,
CANONICAL_ENTITY:CZECH_AMBASSADOR,CZECH AMBASSADOR,CanonicalEntity,Person,Czech Ambassador Ullrich,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:CZECH_AND_POLISH_CONTRACTS,CZECH AND POLISH CONTRACTS,CanonicalEntity,Document,Czech and Polish contracts,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_ARMS,CZECH ARMS,CanonicalEntity,Military; Other,Czech arms,normalized_label,4.0,
CANONICAL_ENTITY:CZECH_ARMS_EXPERT,CZECH ARMS EXPERT,CanonicalEntity,Person,Czech arms expert,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_ARMS_EXPERTS,CZECH ARMS EXPERTS,CanonicalEntity,Other,Czech arms experts,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_ARMS_FACTORIES,CZECH ARMS FACTORIES,CanonicalEntity,Location,Czech arms factories,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_ARMS_TECHNICIANS,CZECH ARMS TECHNICIANS,CanonicalEntity,Other,Czech arms technicians,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_ARMY,CZECH ARMY,CanonicalEntity,Military,Czech Army,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_AUTOMATIC_WEAPONS,CZECH AUTOMATIC WEAPONS,CanonicalEntity,Military,Czech automatic weapons,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_BASE,CZECH BASE,CanonicalEntity,Location,Czech base,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_BORDER_GUARDS,CZECH BORDER GUARDS,CanonicalEntity,Military,Czech Border Guard,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:CZECH_CHIEF_OF_STAFF,CZECH CHIEF OF STAFF,CanonicalEntity,Person,Czech chief of staff,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_COMMERCIAL_ATTACHE,CZECH COMMERCIAL ATTACHE,CanonicalEntity,Person,Czech Commercial Attache,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_COMMUNISTS,CZECH COMMUNISTS,CanonicalEntity,PoliticalGroup,Czech Communists,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_COMMUNIST_LEADERS,CZECH COMMUNIST LEADERS,CanonicalEntity,PoliticalGroup,Czech Communist leaders,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_COMMUNIST_PARTY,CZECH COMMUNIST PARTY,CanonicalEntity,PoliticalGroup,Czech Communist Party,dictionary; normalized_label,12.0,
CANONICAL_ENTITY:CZECH_COMMUNIST_REGIME,CZECH COMMUNIST REGIME,CanonicalEntity,PoliticalGroup,Czech Communist regime,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_COUNTERPART,CZECH COUNTERPART,CanonicalEntity,Other,Czech counterpart,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_DELEGATION,CZECH DELEGATION,CanonicalEntity,Organization; Other,Czech delegation,normalized_label,3.0,
CANONICAL_ENTITY:CZECH_DEPUTY_FOREIGN_MINISTER,CZECH DEPUTY FOREIGN MINISTER,CanonicalEntity,Person,Czech Deputy Foreign Minister,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_EAST_GERMAN,CZECH-EAST GERMAN,CanonicalEntity,Other,Czech-East German,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_ECONOMIC_MISSION,CZECH ECONOMIC MISSION,CanonicalEntity,Organization,Czech economic mission,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_EMBASSY,CZECH EMBASSY,CanonicalEntity,Organization,Czech Embassy,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_FOREIGN_MINISTER_SIROKY,CZECH FOREIGN MINISTER SIROKY,CanonicalEntity,Person,Czech Foreign Minister Siroky,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_FOREIGN_OFFICE,CZECH FOREIGN OFFICE,CanonicalEntity,Organization,Czech Foreign Office,normalized_label,2.0,
CANONICAL_ENTITY:CZECH_GOVERNMENT,CZECH GOVERNMENT,CanonicalEntity,Government,Czech Government,normalized_label,14.0,
CANONICAL_ENTITY:CZECH_LEGATION,CZECH LEGATION,CanonicalEntity,Organization,Czech legation,normalized_label,5.0,
CANONICAL_ENTITY:CZECH_MACHINE_GUNS,CZECH MACHINE GUNS,CanonicalEntity,Military,Czech machine guns,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_MEMBERS,CZECH MEMBERS,CanonicalEntity,Other,Czech members,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_MILITARY_OFFICIALS,CZECH MILITARY OFFICIALS,CanonicalEntity,Military,Czech military officials,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_MINISTER_OF_FOREIGN_TRADE_GREGOR,CZECH MINISTER OF FOREIGN TRADE GREGOR,CanonicalEntity,Person,Czech Minister of Foreign Trade Gregor,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_MINISTER_OF_THE_METALLURGICAL_INDUSTRY_AND_ORE_MINES,CZECH MINISTER OF THE METALLURGICAL INDUSTRY AND ORE MINES,CanonicalEntity,Person,Czech Minister of the Metallurgical Industry and Ore Mines,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_MINISTER_OF_TRADE,CZECH MINISTER OF TRADE,CanonicalEntity,Organization,Czech minister of trade,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_MINISTRY_OF_FOREIGN_AFFAIRS,CZECH MINISTRY OF FOREIGN AFFAIRS,CanonicalEntity,Organization,Czech Ministry of Foreign Affairs,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:CZECH_MINISTRY_OF_FOREIGN_TRADE,CZECH MINISTRY OF FOREIGN TRADE,CanonicalEntity,Organization,Czech Ministry of Foreign Trade,normalized_label,4.0,
CANONICAL_ENTITY:CZECH_OFFICIAL,CZECH OFFICIAL,CanonicalEntity,Person,Czech official,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_PARTY_DAILY_RUDE_PRAVO,"CZECH PARTY DAILY, RUDE PRAVO",CanonicalEntity,Organization,"Czech party daily, Rude Pravo",normalized_label,1.0,
CANONICAL_ENTITY:CZECH_PLANES,CZECH PLANES,CanonicalEntity,Military,Czech planes,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_POLICE,CZECH POLICE,CanonicalEntity,Organization,Czech police,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_POWER_INDUSTRY,CZECH POWER INDUSTRY,CanonicalEntity,Organization,Czech power industry,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_PRESIDENT_GOTTWALD,CZECH PRESIDENT GOTTWALD,CanonicalEntity,Person,Czech President Gottwald,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:CZECH_PRIME_MINISTER_SIROKY,CZECH PRIME MINISTER SIROKY,CanonicalEntity,Person,Czech prime minister Siroky,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_PROPAGANDA,CZECH PROPAGANDA,CanonicalEntity,Organization,Czech propaganda,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_REGIME,CZECH REGIME,CanonicalEntity,Government,Czech regime,normalized_label,2.0,
CANONICAL_ENTITY:CZECH_REPUBLIC,CZECH REPUBLIC,CanonicalEntity,Country,Czech Republic,normalized_label,27.0,
CANONICAL_ENTITY:CZECH_SECURITY_FORCES,CZECH SECURITY FORCES,CanonicalEntity,Military,Czech security forces,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_STATE_BANK,CZECH STATE BANK,CanonicalEntity,Organization,Czech State Bank,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_TANKS,CZECH TANKS,CanonicalEntity,Military,Czech tanks,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_TECHNICIANS,CZECH TECHNICIANS,CanonicalEntity,Military; Other,Czech technicians,normalized_label,2.0,
CANONICAL_ENTITY:CZECH_TRADE_MISSION,CZECH TRADE MISSION,CanonicalEntity,Organization,Czech trade mission,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_UAR,CZECH-UAR,CanonicalEntity,PoliticalGroup,Czech-UAR,normalized_label,1.0,
CANONICAL_ENTITY:CZECH_US,CZECH-US,CanonicalEntity,PoliticalGroup,Czech-US,normalized_label,1.0,
CANONICAL_ENTITY:C_119,C-119,CanonicalEntity,Other,C-119,normalized_label,1.0,
CANONICAL_ENTITY:C_119G,C-119G,CanonicalEntity,Other,C-119G,normalized_label,1.0,
CANONICAL_ENTITY:C_119_TRANSPORTS,C-119 TRANSPORTS,CanonicalEntity,Military,C-119 transports,normalized_label,1.0,
CANONICAL_ENTITY:C_130,C-130,CanonicalEntity,Other,C-130,normalized_label,2.0,
CANONICAL_ENTITY:C_130_HERCULES,C-130 HERCULES,CanonicalEntity,Other,C-130 Hercules,normalized_label,1.0,
CANONICAL_ENTITY:C_47,C-47,CanonicalEntity,Military; Other,C-47,dictionary; normalized_label,5.0,
CANONICAL_ENTITY:C_C_DESAI,C. C. DESAI,CanonicalEntity,Person,C. C. Desai,normalized_label,1.0,
CANONICAL_ENTITY:C_K_YEN,C. K. YEN,CanonicalEntity,Person,C. K. Yen,normalized_label,1.0,
CANONICAL_ENTITY:C_P_DE_SILVA,C. P. DE SILVA,CanonicalEntity,Person,C. P. De Silva,normalized_label,2.0,
CANONICAL_ENTITY:C_SUBRAMANIAM,C. SUBRAMANIAM,CanonicalEntity,Person,C. Subramaniam,normalized_label,1.0,
CANONICAL_ENTITY:DABROWSKI_COAL_REGION,DABROWSKI COAL REGION,CanonicalEntity,Location,Dabrowski coal region,normalized_label,1.0,
CANONICAL_ENTITY:DACCA,DACCA,CanonicalEntity,Location,Dacca,normalized_label,5.0,
CANONICAL_ENTITY:DAGABUR,DAGABUR,CanonicalEntity,Location,Dagabur,normalized_label,1.0,
CANONICAL_ENTITY:DAGHISTANI,DAGHISTANI,CanonicalEntity,Person,Daghistani,normalized_label,1.0,
CANONICAL_ENTITY:DAGSBRUNN,DAGSBRUNN,CanonicalEntity,Other,Dagsbrunn,normalized_label,1.0,
CANONICAL_ENTITY:DAHANAYAKE,DAHANAYAKE,CanonicalEntity,Person,Dahanayake,normalized_label,14.0,
CANONICAL_ENTITY:DAHANAYAKE_GOVERNMENT,DAHANAYAKE GOVERNMENT,CanonicalEntity,Government,Dahanayake government,normalized_label,2.0,
CANONICAL_ENTITY:DAHOMEY,DAHOMEY,CanonicalEntity,Country,Dahomey,normalized_label,3.0,
CANONICAL_ENTITY:DAILY_BRIEF,DAILY BRIEF,CanonicalEntity,Document,Daily Brief,normalized_label,1.0,
CANONICAL_ENTITY:DAILY_HERALD,DAILY HERALD,CanonicalEntity,Organization,Daily Herald,normalized_label,2.0,
CANONICAL_ENTITY:DAILY_MAIL,DAILY MAIL,CanonicalEntity,Organization,Daily Mail,normalized_label,1.0,
CANONICAL_ENTITY:DAILY_WORKER,DAILY WORKER,CanonicalEntity,Organization,Daily Worker,normalized_label,1.0,
CANONICAL_ENTITY:DAIREN,DAIREN,CanonicalEntity,Location,Dairen,normalized_label,3.0,
CANONICAL_ENTITY:DAI_VIET_PARTY,DAI VIET PARTY,CanonicalEntity,PoliticalGroup,Dai Viet Party,normalized_label,2.0,
CANONICAL_ENTITY:DAKAR,DAKAR,CanonicalEntity,Location,Dakar,normalized_label,4.0,
CANONICAL_ENTITY:DALAI_LAMA,DALAI LAMA,CanonicalEntity,Person,Dalai Lama,normalized_label,63.0,
CANONICAL_ENTITY:DALSTROI,DALSTROI,CanonicalEntity,Organization,Dalstroi,normalized_label,1.0,
CANONICAL_ENTITY:DAMAO,DAMAO,CanonicalEntity,Location,Damao,normalized_label,1.0,
CANONICAL_ENTITY:DAMASCENE_OFFICER_GROUP,DAMASCENE OFFICER GROUP,CanonicalEntity,PoliticalGroup,Damascene officer group,normalized_label,1.0,
CANONICAL_ENTITY:DAMASCUS,DAMASCUS,CanonicalEntity,Location,Damascus,normalized_label,62.0,
CANONICAL_ENTITY:DAMIETTA_TEXTILE_FACTORY,DAMIETTA TEXTILE FACTORY,CanonicalEntity,Other,Damietta textile factory,normalized_label,1.0,
CANONICAL_ENTITY:DAMMAM,DAMMAM,CanonicalEntity,Location,Dammam,normalized_label,1.0,
CANONICAL_ENTITY:DANES,DANES,CanonicalEntity,Country,Danes,normalized_label,1.0,
CANONICAL_ENTITY:DANIEL_FIGNOL,DANIEL FIGNOLÉ,CanonicalEntity,Person,Daniel Fignole,dictionary; normalized_label,5.0,
CANONICAL_ENTITY:DANIEL_LECORRE,DANIEL LECORRE,CanonicalEntity,Person,Daniel LeCorre,normalized_label,1.0,
CANONICAL_ENTITY:DANIEL_MAYER,DANIEL MAYER,CanonicalEntity,Person,Daniel Mayer,normalized_label,3.0,
CANONICAL_ENTITY:DANISH_COMMUNIST_PARTY,DANISH COMMUNIST PARTY,CanonicalEntity,PoliticalGroup,Danish Communist party,normalized_label,1.0,
CANONICAL_ENTITY:DANISH_DEFENSE_MINISTER,DANISH DEFENSE MINISTER,CanonicalEntity,Person,Danish Defense Minister,normalized_label,1.0,
CANONICAL_ENTITY:DANISH_DELEGATES,DANISH DELEGATES,CanonicalEntity,PoliticalGroup,Danish delegates,normalized_label,1.0,
CANONICAL_ENTITY:DANISH_DELEGATION,DANISH DELEGATION,CanonicalEntity,PoliticalGroup,Danish delegation,normalized_label,1.0,
CANONICAL_ENTITY:DANISH_DEPUTY_FOREIGN_MINISTER_CHRISTIANSEN,DANISH DEPUTY FOREIGN MINISTER CHRISTIANSEN,CanonicalEntity,Person,Danish deputy foreign minister Christiansen,normalized_label,1.0,
CANONICAL_ENTITY:DANISH_FOREIGN_MINISTER,DANISH FOREIGN MINISTER,CanonicalEntity,Person,Danish Foreign Minister,normalized_label,1.0,
CANONICAL_ENTITY:DANISH_FOREIGN_MINISTRY,DANISH FOREIGN MINISTRY,CanonicalEntity,Organization,Danish Foreign Ministry,normalized_label,3.0,
CANONICAL_ENTITY:DANISH_FOREIGN_OFFICE,DANISH FOREIGN OFFICE,CanonicalEntity,Organization,Danish Foreign Office,normalized_label,1.0,
CANONICAL_ENTITY:DANISH_GOVERNMENT,DANISH GOVERNMENT,CanonicalEntity,Government,Danish Government,normalized_label,9.0,
CANONICAL_ENTITY:DANUBE_BLACK_SEA_CANAL,DANUBE-BLACK SEA CANAL,CanonicalEntity,Other,Danube-Black Sea Canal,normalized_label,2.0,
CANONICAL_ENTITY:DANUBE_BLACK_SEA_CANAL_PROJECT,DANUBE-BLACK SEA CANAL PROJECT,CanonicalEntity,Other,Danube-Black Sea canal project,normalized_label,1.0,
CANONICAL_ENTITY:DANUBIAN_COMMISSION,DANUBIAN COMMISSION,CanonicalEntity,Organization,Danubian Commission,normalized_label,1.0,
CANONICAL_ENTITY:DAP_CHHUON,DAP CHHUON,CanonicalEntity,Person,Dap Chhuon,dictionary; normalized_label,14.0,
CANONICAL_ENTITY:DARIDAN,DARIDAN,CanonicalEntity,Person,Daridan,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:DARIUS_LECORRE,DARIUS LECORRE,CanonicalEntity,Person,Darius LeCorre,normalized_label,1.0,
CANONICAL_ENTITY:DAROT,DAROT,CanonicalEntity,PoliticalGroup,Darot,normalized_label,1.0,
CANONICAL_ENTITY:DAROTS,DAROTS,CanonicalEntity,Other,Darots,normalized_label,1.0,
CANONICAL_ENTITY:DARUL_ISLAM,DARUL ISLAM,CanonicalEntity,Organization; Other; PoliticalGroup; ReligiousGroup,Darul Islam,normalized_label,19.0,
CANONICAL_ENTITY:DAR_ES_SALAAM,DAR ES SALAAM,CanonicalEntity,Location,Dar es Salaam,normalized_label,2.0,
CANONICAL_ENTITY:DAUD,DAUD,CanonicalEntity,Person,Prince Daud,dictionary; normalized_label,50.0,
CANONICAL_ENTITY:DAUD_BEG_JAF,DAUD BEG JAF,CanonicalEntity,Person,Daud Beg Jaf,normalized_label,1.0,
CANONICAL_ENTITY:DAUD_SAYIGH,DAUD SAYIGH,CanonicalEntity,Person,Daud Sayigh,normalized_label,2.0,
CANONICAL_ENTITY:DAULTANA,DAULTANA,CanonicalEntity,Person,Daultana,normalized_label,2.0,
