community_id,node_key,label,analyst_label,size,top_labels,top_types,analyst_summary,community,display_label
25,COMMUNITY:25,KURDISH TRIBAL AREAS; LANCHOW; MOSLEM GUERRILLAS; TSINGHAI PROVINCE,"Military posture, security forces, and regime stability",7,KURDISH TRIBAL AREAS; LANCHOW; MOSLEM GUERRILLAS; TSINGHAI PROVINCE; Repatriation of POWs | Vyshinsky stated that all prisoners should be repatriated regardless of their wishes. | Negotiation | 1952-11-10; Recapture of base | Moslem guerrillas recaptured their base in eastern Tsinghai Province. | MilitaryAction | 1952-10-16; Arms policy discussion | British Government discusses arms release to Egypt and its implications. | PolicyAction,"{""CanonicalEntity"": 4, ""EventCluster"": 3}",This group connects 7 lower-level nodes around: KURDISH TRIBAL AREAS; LANCHOW; MOSLEM GUERRILLAS; TSINGHAI PROVINCE; Repatriation of POWs | Vyshinsky stated that all prisoners should be repatriated regardless of their wishes. | Negotiation | 1952-11-10; Recapture of base | Moslem guerrillas recaptured their base in eastern Tsinghai Province. | MilitaryAction | 1952-10-16; Arms policy discussion | British Government discusses arms release to Egypt and its implications. | PolicyAction.,25,KURDISH TRIBAL AREAS; LANCHOW; MOSLEM GUERRILLAS; TSINGHAI PROVINCE
26,COMMUNITY:26,FUKUDA; GENERAL MUSA; KEIDANREN; LT. GEN. HABIBULLAH,FUKUDA; GENERAL MUSA; KEIDANREN; LT. GEN. HABIBULLAH,7,FUKUDA; GENERAL MUSA; KEIDANREN; LT. GEN. HABIBULLAH; Attack on opposition deputies | Opposition deputies attacked by ruling party members | Violence | 1959-09-22; Shift of national capital | Shift of national capital from Karachi to Rawalpindi area scheduled to begin | PolicyAction | 1959-10; Warning to faction leaders | Kishi warns faction leaders about potential Diet dissolution | Communication | 1959-09-23,"{""CanonicalEntity"": 4, ""EventCluster"": 3}",This group connects 7 lower-level nodes around: FUKUDA; GENERAL MUSA; KEIDANREN; LT. GEN. HABIBULLAH; Attack on opposition deputies | Opposition deputies attacked by ruling party members | Violence | 1959-09-22; Shift of national capital | Shift of national capital from Karachi to Rawalpindi area scheduled to begin | PolicyAction | 1959-10; Warning to faction leaders | Kishi warns faction leaders about potential Diet dissolution | Communication | 1959-09-23.,26,FUKUDA; GENERAL MUSA; KEIDANREN; LT. GEN. HABIBULLAH
27,COMMUNITY:27,CHINMENS; DR. MOZAFAR BAQAI; ISMAIL SHAFAI; MENHALL PROSPECTING AND EXPLORATION COMPANY,"Oil, energy infrastructure, and economic leverage",7,CHINMENS; DR. MOZAFAR BAQAI; ISMAIL SHAFAI; MENHALL PROSPECTING AND EXPLORATION COMPANY; SOCIETÉ DES PETROLES CONCORDIA; TOILERS PARTY; Suspension of Operations | Operations of the Menhall group were suspended and its funds frozen. | EconomicAction | 1958-10-05,"{""CanonicalEntity"": 6, ""EventCluster"": 1}",This group connects 7 lower-level nodes around: CHINMENS; DR. MOZAFAR BAQAI; ISMAIL SHAFAI; MENHALL PROSPECTING AND EXPLORATION COMPANY; SOCIETÉ DES PETROLES CONCORDIA; TOILERS PARTY; Suspension of Operations | Operations of the Menhall group were suspended and its funds frozen. | EconomicAction | 1958-10-05.,27,CHINMENS; DR. MOZAFAR BAQAI; ISMAIL SHAFAI; MENHALL PROSPECTING AND EXPLORATION COMPANY
28,COMMUNITY:28,ALGIERS JUNTA; COLONEL DE BOISSIEU; FLN MILITARY UNITS; GENERAL JOUHAUD,"U.S. reporting, diplomacy, and intelligence assessment",6,ALGIERS JUNTA; COLONEL DE BOISSIEU; FLN MILITARY UNITS; GENERAL JOUHAUD; PIERRE GALLOIS; Government's emergency measures | The government initiated judicial proceedings and other measures against participants in the revolt. | PolicyAction | 1961-04-,"{""CanonicalEntity"": 5, ""EventCluster"": 1}",This group connects 6 lower-level nodes around: ALGIERS JUNTA; COLONEL DE BOISSIEU; FLN MILITARY UNITS; GENERAL JOUHAUD; PIERRE GALLOIS; Government's emergency measures | The government initiated judicial proceedings and other measures against participants in the revolt. | PolicyAction | 1961-04-.,28,ALGIERS JUNTA; COLONEL DE BOISSIEU; FLN MILITARY UNITS; GENERAL JOUHAUD
29,COMMUNITY:29,BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY,"U.S. reporting, diplomacy, and intelligence assessment",6,BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY; US MINISTER IN SAIGON; Anti-US Tudeh demonstrations | Several thousand persons held a demonstration in front of the US Embassy demanding peace and the cessation of US aggression in Ko,"{""CanonicalEntity"": 5, ""EventCluster"": 1}",This group connects 6 lower-level nodes around: BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY; US MINISTER IN SAIGON; Anti-US Tudeh demonstrations | Several thousand persons held a demonstration in front of the US Embassy demanding peace and the cessation of US aggression in Ko.,29,BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY
30,COMMUNITY:30,BRITISH UN DELEGATE JEBB; ISRAELI DELEGATION; MOHAMMED NATSIR; US B-29,"Soviet policy, leadership, and bloc maneuvering",6,BRITISH UN DELEGATE JEBB; ISRAELI DELEGATION; MOHAMMED NATSIR; US B-29; Night attack on US B-29 | A US medium bomber was attacked by enemy aircraft during a night harassing mission. | MilitaryAction | 1951-03-17; Soviet diplomatic feeler regarding Korea | Soviet delegate Malik raised the Korean question at an Israeli reception. | Communication | 1951-03-14,"{""CanonicalEntity"": 4, ""EventCluster"": 2}",This group connects 6 lower-level nodes around: BRITISH UN DELEGATE JEBB; ISRAELI DELEGATION; MOHAMMED NATSIR; US B-29; Night attack on US B-29 | A US medium bomber was attacked by enemy aircraft during a night harassing mission. | MilitaryAction | 1951-03-17; Soviet diplomatic feeler regarding Korea | Soviet delegate Malik raised the Korean question at an Israeli reception. | Communication | 1951-03-14.,30,BRITISH UN DELEGATE JEBB; ISRAELI DELEGATION; MOHAMMED NATSIR; US B-29
31,COMMUNITY:31,AL BRIJ; HAQAL; SAUDI SHIP; SHAIKH HAMID,"Military posture, security forces, and regime stability",6,AL BRIJ; HAQAL; SAUDI SHIP; SHAIKH HAMID; Advance party meeting | An advance party under two officers was to meet the Saudi ship. | Meeting; Installation of artillery | Saudi Arabia installed medium artillery pieces near the Israeli port of Eilat. | MilitaryAction,"{""CanonicalEntity"": 4, ""EventCluster"": 2}",This group connects 6 lower-level nodes around: AL BRIJ; HAQAL; SAUDI SHIP; SHAIKH HAMID; Advance party meeting | An advance party under two officers was to meet the Saudi ship. | Meeting; Installation of artillery | Saudi Arabia installed medium artillery pieces near the Israeli port of Eilat. | MilitaryAction.,31,AL BRIJ; HAQAL; SAUDI SHIP; SHAIKH HAMID
32,COMMUNITY:32,HABOMAI ISLANDS; KUNASHIRI; SHIKOTAN; YUGOSLAV NUCLEAR PROGRAM,"Soviet policy, leadership, and bloc maneuvering",6,HABOMAI ISLANDS; KUNASHIRI; SHIKOTAN; YUGOSLAV NUCLEAR PROGRAM; Dismantling of facilities | Soviet personnel observed dismantling facilities and packing them for shipment. | MilitaryAction | February and early March 1957; Negotiations regarding nuclear assistance | Yugoslavs indicated interest in reopening negotiations with the United States regarding nuclear assistance. | Negoti,"{""CanonicalEntity"": 4, ""EventCluster"": 2}",This group connects 6 lower-level nodes around: HABOMAI ISLANDS; KUNASHIRI; SHIKOTAN; YUGOSLAV NUCLEAR PROGRAM; Dismantling of facilities | Soviet personnel observed dismantling facilities and packing them for shipment. | MilitaryAction | February and early March 1957; Negotiations regarding nuclear assistance | Yugoslavs indicated interest in reopening negotiations with the United States regarding nuclear assistance. | Negoti.,32,HABOMAI ISLANDS; KUNASHIRI; SHIKOTAN; YUGOSLAV NUCLEAR PROGRAM
33,COMMUNITY:33,D. R. RASULOV; I. A. SEROV; N. A. MIKHAILOV; P. M. KUMYKIN,"Soviet policy, leadership, and bloc maneuvering",6,"D. R. RASULOV; I. A. SEROV; N. A. MIKHAILOV; P. M. KUMYKIN; Z. R. RAKHIMBABAYEVA; Trip to South Asia | Soviet leaders Premier Bulganin and Party Secretary Khrushchev traveling to India, Burma, and Afghanistan. | Travel | 1955-11-18","{""CanonicalEntity"": 5, ""EventCluster"": 1}","This group connects 6 lower-level nodes around: D. R. RASULOV; I. A. SEROV; N. A. MIKHAILOV; P. M. KUMYKIN; Z. R. RAKHIMBABAYEVA; Trip to South Asia | Soviet leaders Premier Bulganin and Party Secretary Khrushchev traveling to India, Burma, and Afghanistan. | Travel | 1955-11-18.",33,D. R. RASULOV; I. A. SEROV; N. A. MIKHAILOV; P. M. KUMYKIN
34,COMMUNITY:34,ASSISTANT SECRETARY OF STATE BYROADE; MONGOLIAN DEFENSE MINISTER; NORTH KOREAN ARMY; Investigation of BW Incident | A North Korean military sanitation officer disproves a police report of an American bacteria bomb incident. | Other,"Military posture, security forces, and regime stability",6,ASSISTANT SECRETARY OF STATE BYROADE; MONGOLIAN DEFENSE MINISTER; NORTH KOREAN ARMY; Investigation of BW Incident | A North Korean military sanitation officer disproves a police report of an American bacteria bomb incident. | Other; UN air offensive effects report | Report issued by North Korean Army on damage caused by UN air attacks. | Communication | 1952-08-15; Changes in American-Israeli relations | Anticipated changes in relations due to recent events affecting Israel. | PolicyAction,"{""CanonicalEntity"": 3, ""EventCluster"": 3}",This group connects 6 lower-level nodes around: ASSISTANT SECRETARY OF STATE BYROADE; MONGOLIAN DEFENSE MINISTER; NORTH KOREAN ARMY; Investigation of BW Incident | A North Korean military sanitation officer disproves a police report of an American bacteria bomb incident. | Other; UN air offensive effects report | Report issued by North Korean Army on damage caused by UN air attacks. | Communication | 1952-08-15; Changes in American-Israeli relations | Anticipated changes in relations due to recent events affecting Israel. | PolicyAction.,34,ASSISTANT SECRETARY OF STATE BYROADE; MONGOLIAN DEFENSE MINISTER; NORTH KOREAN ARMY; Investigation of BW Incident | A North Korean military sanitation officer disproves a police report of an American bacteria bomb incident. | Other
35,COMMUNITY:35,NATIONAL LIBERATION ARMY; PALESTINE LIBERATION ARMY; SYRIAN AMBASSADOR ZEINEDDINE; WESTERN DESERT,"Military posture, security forces, and regime stability",6,NATIONAL LIBERATION ARMY; PALESTINE LIBERATION ARMY; SYRIAN AMBASSADOR ZEINEDDINE; WESTERN DESERT; Egyptian military redeployment | Egypt partially regrouped its forces to strengthen the defense of the Suez Canal and delta areas. | MilitaryAction; Syrian ambassador's communication | Syrian ambassador Zeineddine urged Egypt to compromise on the Suez Canal dispute. | Communication | 1956-08-11,"{""CanonicalEntity"": 4, ""EventCluster"": 2}",This group connects 6 lower-level nodes around: NATIONAL LIBERATION ARMY; PALESTINE LIBERATION ARMY; SYRIAN AMBASSADOR ZEINEDDINE; WESTERN DESERT; Egyptian military redeployment | Egypt partially regrouped its forces to strengthen the defense of the Suez Canal and delta areas. | MilitaryAction; Syrian ambassador's communication | Syrian ambassador Zeineddine urged Egypt to compromise on the Suez Canal dispute. | Communication | 1956-08-11.,35,NATIONAL LIBERATION ARMY; PALESTINE LIBERATION ARMY; SYRIAN AMBASSADOR ZEINEDDINE; WESTERN DESERT
36,COMMUNITY:36,AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG,Labor unrest and internal political pressure,6,AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG; ROTTERDAM; Wildcat strikes in German ports | Communist-instigated strikes in key North German ports. | Demonstration,"{""CanonicalEntity"": 5, ""EventCluster"": 1}",This group connects 6 lower-level nodes around: AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG; ROTTERDAM; Wildcat strikes in German ports | Communist-instigated strikes in key North German ports. | Demonstration.,36,AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG
37,COMMUNITY:37,C. C. DESAI; DR. J. N. KHOSLA; M. J. DESAI; S. DUTT,Chinese policy and regional positioning,6,C. C. DESAI; DR. J. N. KHOSLA; M. J. DESAI; S. DUTT; Proposal for Southeast Asian regional pact | India plans to submit a proposal for a regional alliance as an alternative to SEATO. | Negotiation | 1954-08-04; Appointment of Indian delegates to Indochina Truce Commission | Indian appointees to the Indochina commission believed pro-Western. | PolicyAction,"{""CanonicalEntity"": 4, ""EventCluster"": 2}",This group connects 6 lower-level nodes around: C. C. DESAI; DR. J. N. KHOSLA; M. J. DESAI; S. DUTT; Proposal for Southeast Asian regional pact | India plans to submit a proposal for a regional alliance as an alternative to SEATO. | Negotiation | 1954-08-04; Appointment of Indian delegates to Indochina Truce Commission | Indian appointees to the Indochina commission believed pro-Western. | PolicyAction.,37,C. C. DESAI; DR. J. N. KHOSLA; M. J. DESAI; S. DUTT
38,COMMUNITY:38,COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI,Labor unrest and internal political pressure,5,COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI; Demonstrations in Baghdad | Leftist parties preparing student strikes to protest against Iraqi adherence to the Turkish-Pakistani agreement. | Demonstration | 1,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",This group connects 5 lower-level nodes around: COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI; Demonstrations in Baghdad | Leftist parties preparing student strikes to protest against Iraqi adherence to the Turkish-Pakistani agreement. | Demonstration | 1.,38,COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI
39,COMMUNITY:39,B. N. PONOMAREV; YUGOSLAV EMBASSY; Voluntary Labor by UAR Ambassador | Ambassador Rajab of the United Arab Republic and his staff participated in voluntary labor at a reservoir project. | Other |; Dissident Activity in North Sumatra | Dissidents are well armed and maintaining strong defensive positions. | Violence,"U.S. reporting, diplomacy, and intelligence assessment",5,B. N. PONOMAREV; YUGOSLAV EMBASSY; Voluntary Labor by UAR Ambassador | Ambassador Rajab of the United Arab Republic and his staff participated in voluntary labor at a reservoir project. | Other |; Dissident Activity in North Sumatra | Dissidents are well armed and maintaining strong defensive positions. | Violence; NEW JOURNAL,"{""CanonicalEntity"": 3, ""EventCluster"": 2}",This group connects 5 lower-level nodes around: B. N. PONOMAREV; YUGOSLAV EMBASSY; Voluntary Labor by UAR Ambassador | Ambassador Rajab of the United Arab Republic and his staff participated in voluntary labor at a reservoir project. | Other |; Dissident Activity in North Sumatra | Dissidents are well armed and maintaining strong defensive positions. | Violence; NEW JOURNAL.,39,B. N. PONOMAREV; YUGOSLAV EMBASSY; Voluntary Labor by UAR Ambassador | Ambassador Rajab of the United Arab Republic and his staff participated in voluntary labor at a reservoir project. | Other |; Dissident Activity in North Sumatra | Dissidents are well armed and maintaining strong defensive positions. | Violence
40,COMMUNITY:40,BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE,"Military posture, security forces, and regime stability",5,BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE; Request for MAC meeting | The UAR Army Commander ordered the Syrian delegation to request a meeting of the MAC. | Meeting,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",This group connects 5 lower-level nodes around: BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE; Request for MAC meeting | The UAR Army Commander ordered the Syrian delegation to request a meeting of the MAC. | Meeting.,40,BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE
41,COMMUNITY:41,LIAO WEN-I; PROVISIONAL GOVERNMENT OF THE REPUBLIC OF TAIWAN; TAIWAN INDEPENDENCE PARTY; AA build-up on Quemoy and Matsu | Nationalists are building up antiaircraft artillery in response to Communist threats. | MilitaryAction,Chinese policy and regional positioning,5,"LIAO WEN-I; PROVISIONAL GOVERNMENT OF THE REPUBLIC OF TAIWAN; TAIWAN INDEPENDENCE PARTY; AA build-up on Quemoy and Matsu | Nationalists are building up antiaircraft artillery in response to Communist threats. | MilitaryAction; Communist propaganda on Taiwan | Communist China emphasizes calls for Nationalist defections. | Communication | past two weeks from March 4, 1956","{""CanonicalEntity"": 3, ""EventCluster"": 2}","This group connects 5 lower-level nodes around: LIAO WEN-I; PROVISIONAL GOVERNMENT OF THE REPUBLIC OF TAIWAN; TAIWAN INDEPENDENCE PARTY; AA build-up on Quemoy and Matsu | Nationalists are building up antiaircraft artillery in response to Communist threats. | MilitaryAction; Communist propaganda on Taiwan | Communist China emphasizes calls for Nationalist defections. | Communication | past two weeks from March 4, 1956.",41,LIAO WEN-I; PROVISIONAL GOVERNMENT OF THE REPUBLIC OF TAIWAN; TAIWAN INDEPENDENCE PARTY; AA build-up on Quemoy and Matsu | Nationalists are building up antiaircraft artillery in response to Communist threats. | MilitaryAction
42,COMMUNITY:42,ALGERIAN PEOPLE; LT. GEN. NAJIB AL-RUBAI; RED CRESCENT SOCIETY; Algerian settlement plan opposition | The USSR's opposition to De Gaulle's plan for an Algerian settlement. | PolicyAction,"Soviet policy, leadership, and bloc maneuvering",5,"ALGERIAN PEOPLE; LT. GEN. NAJIB AL-RUBAI; RED CRESCENT SOCIETY; Algerian settlement plan opposition | The USSR's opposition to De Gaulle's plan for an Algerian settlement. | PolicyAction; Rebel ministers' departure | Departure of two rebel ministers for anniversary celebrations, indicating potential closer relations with the bloc. | Travel | 1959","{""CanonicalEntity"": 3, ""EventCluster"": 2}","This group connects 5 lower-level nodes around: ALGERIAN PEOPLE; LT. GEN. NAJIB AL-RUBAI; RED CRESCENT SOCIETY; Algerian settlement plan opposition | The USSR's opposition to De Gaulle's plan for an Algerian settlement. | PolicyAction; Rebel ministers' departure | Departure of two rebel ministers for anniversary celebrations, indicating potential closer relations with the bloc. | Travel | 1959.",42,ALGERIAN PEOPLE; LT. GEN. NAJIB AL-RUBAI; RED CRESCENT SOCIETY; Algerian settlement plan opposition | The USSR's opposition to De Gaulle's plan for an Algerian settlement. | PolicyAction
43,COMMUNITY:43,FRENCH INDUSTRIAL FIRMS; SENATOR ROCHERAU; TENG; Delegation of Chinese engineers travel to France | Chinese engineers expected to travel to France for further discussions. | Travel | late this year or early ne,International diplomatic and security coordination,5,FRENCH INDUSTRIAL FIRMS; SENATOR ROCHERAU; TENG; Delegation of Chinese engineers travel to France | Chinese engineers expected to travel to France for further discussions. | Travel | late this year or early ne; FRENCH ECONOMIC MISSION TALKS,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",This group connects 5 lower-level nodes around: FRENCH INDUSTRIAL FIRMS; SENATOR ROCHERAU; TENG; Delegation of Chinese engineers travel to France | Chinese engineers expected to travel to France for further discussions. | Travel | late this year or early ne; FRENCH ECONOMIC MISSION TALKS.,43,FRENCH INDUSTRIAL FIRMS; SENATOR ROCHERAU; TENG; Delegation of Chinese engineers travel to France | Chinese engineers expected to travel to France for further discussions. | Travel | late this year or early ne
44,COMMUNITY:44,ANTONIO BLANCO RICO; FRANCISCO TABERNILLA; HAITIAN EMBASSY; MARCELO TABERNILLA,"U.S. reporting, diplomacy, and intelligence assessment",5,ANTONIO BLANCO RICO; FRANCISCO TABERNILLA; HAITIAN EMBASSY; MARCELO TABERNILLA; Gun battle at Haitian embassy | Gun battle between police and fugitives at the Haitian embassy. | Violence | 1956-10-29,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",This group connects 5 lower-level nodes around: ANTONIO BLANCO RICO; FRANCISCO TABERNILLA; HAITIAN EMBASSY; MARCELO TABERNILLA; Gun battle at Haitian embassy | Gun battle between police and fugitives at the Haitian embassy. | Violence | 1956-10-29.,44,ANTONIO BLANCO RICO; FRANCISCO TABERNILLA; HAITIAN EMBASSY; MARCELO TABERNILLA
45,COMMUNITY:45,MASAYOSHI OHIRA; OKINAWAN LEGISLATORS; RYUKYUAN LEGISLATURE; Meeting of Okinawan legislators with Ikeda | Okinawan legislators presented a resolution to Ikeda regarding representation and missile opposition | Meeting | 19,"Military posture, security forces, and regime stability",5,MASAYOSHI OHIRA; OKINAWAN LEGISLATORS; RYUKYUAN LEGISLATURE; Meeting of Okinawan legislators with Ikeda | Okinawan legislators presented a resolution to Ikeda regarding representation and missile opposition | Meeting | 19; Commonwealth Strategic Reserve maintenance | Maintenance of the Commonwealth Strategic Reserve force in Malaya | MilitaryAction,"{""CanonicalEntity"": 3, ""EventCluster"": 2}",This group connects 5 lower-level nodes around: MASAYOSHI OHIRA; OKINAWAN LEGISLATORS; RYUKYUAN LEGISLATURE; Meeting of Okinawan legislators with Ikeda | Okinawan legislators presented a resolution to Ikeda regarding representation and missile opposition | Meeting | 19; Commonwealth Strategic Reserve maintenance | Maintenance of the Commonwealth Strategic Reserve force in Malaya | MilitaryAction.,45,MASAYOSHI OHIRA; OKINAWAN LEGISLATORS; RYUKYUAN LEGISLATURE; Meeting of Okinawan legislators with Ikeda | Okinawan legislators presented a resolution to Ikeda regarding representation and missile opposition | Meeting | 19
46,COMMUNITY:46,BERLIN FOUR-POWER CONFERENCE; HUANG HUA; KENNETH YOUNG; American aid reduction forecast | Forecast by Ambassador Allen regarding the impact of reduced US aid to India | PolicyAction | 1954-01-19,Cold War crisis monitoring and escalation,5,BERLIN FOUR-POWER CONFERENCE; HUANG HUA; KENNETH YOUNG; American aid reduction forecast | Forecast by Ambassador Allen regarding the impact of reduced US aid to India | PolicyAction | 1954-01-19; KOREAN PRISONER RELEASE NEGOTIATION,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",This group connects 5 lower-level nodes around: BERLIN FOUR-POWER CONFERENCE; HUANG HUA; KENNETH YOUNG; American aid reduction forecast | Forecast by Ambassador Allen regarding the impact of reduced US aid to India | PolicyAction | 1954-01-19; KOREAN PRISONER RELEASE NEGOTIATION.,46,BERLIN FOUR-POWER CONFERENCE; HUANG HUA; KENNETH YOUNG; American aid reduction forecast | Forecast by Ambassador Allen regarding the impact of reduced US aid to India | PolicyAction | 1954-01-19
47,COMMUNITY:47,CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS,"Soviet policy, leadership, and bloc maneuvering",5,CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS; Polish partisans attack | Polish partisans attacking Soviet installations and personnel. | Violence | 1951-03-18,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",This group connects 5 lower-level nodes around: CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS; Polish partisans attack | Polish partisans attacking Soviet installations and personnel. | Violence | 1951-03-18.,47,CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS
48,COMMUNITY:48,MOHMAND; MOHMANDS; NINGRAHAR; Murder of Afghan District Official | An Afghan district official was murdered by Mohmands. | Violence | 1958-12,"U.S. reporting, diplomacy, and intelligence assessment",5,MOHMAND; MOHMANDS; NINGRAHAR; Murder of Afghan District Official | An Afghan district official was murdered by Mohmands. | Violence | 1958-12; Troop Suppression | Kabul sent troops to suppress agitation and arrest Mohmand leaders. | MilitaryAction | 1958-12,"{""CanonicalEntity"": 3, ""EventCluster"": 2}",This group connects 5 lower-level nodes around: MOHMAND; MOHMANDS; NINGRAHAR; Murder of Afghan District Official | An Afghan district official was murdered by Mohmands. | Violence | 1958-12; Troop Suppression | Kabul sent troops to suppress agitation and arrest Mohmand leaders. | MilitaryAction | 1958-12.,48,MOHMAND; MOHMANDS; NINGRAHAR; Murder of Afghan District Official | An Afghan district official was murdered by Mohmands. | Violence | 1958-12
49,COMMUNITY:49,ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS,Labor unrest and internal political pressure,5,"ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS; mass strike demonstration | a scheduled mass strike demonstration by CGT addressing the Algerian problem and economic issues | Demonstration | October 17, 1957","{""CanonicalEntity"": 4, ""EventCluster"": 1}","This group connects 5 lower-level nodes around: ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS; mass strike demonstration | a scheduled mass strike demonstration by CGT addressing the Algerian problem and economic issues | Demonstration | October 17, 1957.",49,ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS
50,COMMUNITY:50,GENERAL ARTEMEV; GENERAL SINILOV; SOVIET FOREIGN MINISTER MOLOTOV; YUGOSLAV CHARGE,"Soviet policy, leadership, and bloc maneuvering",5,GENERAL ARTEMEV; GENERAL SINILOV; SOVIET FOREIGN MINISTER MOLOTOV; YUGOSLAV CHARGE; Clarification of US intentions | Soviet Ambassador Pavlov sought clarification of US intentions during a courtesy call by Ambassador Dillon. | Communication | 1,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",This group connects 5 lower-level nodes around: GENERAL ARTEMEV; GENERAL SINILOV; SOVIET FOREIGN MINISTER MOLOTOV; YUGOSLAV CHARGE; Clarification of US intentions | Soviet Ambassador Pavlov sought clarification of US intentions during a courtesy call by Ambassador Dillon. | Communication | 1.,50,GENERAL ARTEMEV; GENERAL SINILOV; SOVIET FOREIGN MINISTER MOLOTOV; YUGOSLAV CHARGE
51,COMMUNITY:51,"KOMSOMOL; LENIN LIBRARY; TRANSYLVANIAN AREA; Lecture on international events | A lecture where the speaker refused to discuss Hungary, leading to audience unrest. | Speech",International diplomatic and security coordination,5,"KOMSOMOL; LENIN LIBRARY; TRANSYLVANIAN AREA; Lecture on international events | A lecture where the speaker refused to discuss Hungary, leading to audience unrest. | Speech; Public hostility in Rumania | Increased public hostility against the regime leading to press campaigns and arrests. | Demonstration","{""CanonicalEntity"": 3, ""EventCluster"": 2}","This group connects 5 lower-level nodes around: KOMSOMOL; LENIN LIBRARY; TRANSYLVANIAN AREA; Lecture on international events | A lecture where the speaker refused to discuss Hungary, leading to audience unrest. | Speech; Public hostility in Rumania | Increased public hostility against the regime leading to press campaigns and arrests. | Demonstration.",51,"KOMSOMOL; LENIN LIBRARY; TRANSYLVANIAN AREA; Lecture on international events | A lecture where the speaker refused to discuss Hungary, leading to audience unrest. | Speech"
52,COMMUNITY:52,CIVIL DEFENSE BILL; ITALIAN AIR FORCE; ITALIAN ARMY; ITALIAN NAVY,"Military posture, security forces, and regime stability",4,CIVIL DEFENSE BILL; ITALIAN AIR FORCE; ITALIAN ARMY; ITALIAN NAVY,"{""CanonicalEntity"": 4}",This group connects 4 lower-level nodes around: CIVIL DEFENSE BILL; ITALIAN AIR FORCE; ITALIAN ARMY; ITALIAN NAVY.,52,CIVIL DEFENSE BILL; ITALIAN AIR FORCE; ITALIAN ARMY; ITALIAN NAVY
