normalized_label,canonical_label_current,mention_count,unique_docs,source_types,example_mentions,in_alias_dictionary
BAATH,BAATH PARTY,3,3,PoliticalGroup,Baath,True
BAGHAI,BAGHAI,3,3,Person,Baghai,False
BALUBA TRIBESMEN,BALUBA TRIBESMEN,3,3,Other,Baluba tribesmen,False
BANK OF CEYLON,BANK OF CEYLON,3,3,Organization,Bank of Ceylon,False
BARCELONA,BARCELONA,3,3,Location,Barcelona,False
BATTLE ACT,BATTLE ACT,3,3,Document; Other,Battle Act,False
BEAULAC,BEAULAC,3,3,Person,Beaulac,False
BECH,BECH,3,3,Person,Bech,False
BELA KOVACS,BELA KOVACS,3,3,Person,Bela Kovacs,False
BELGIAN FOREIGN MINISTER SPAAK,BELGIAN FOREIGN MINISTER SPAAK,3,3,Person,Belgian foreign minister Spaak; Belgian Foreign Minister Spaak,False
BELGIAN PRIME MINISTER,BELGIAN PRIME MINISTER,3,3,Person,Belgian Prime Minister,False
BEN-GURION GOVERNMENT,BEN-GURION GOVERNMENT,3,3,Government,Ben-Gurion government,False
BERMUDA,BERMUDA,3,3,Location,Bermuda,False
BERRY,AMBASSADOR BERRY,3,3,Person,Berry,True
BEY,BEY,3,3,Person,Bey,False
BILBAO,BILBAO,3,3,Location,Bilbao,False
BIRGI,BIRGI,3,3,Person,Birgi,False
BITAR,BITAR,3,3,Person,Bitar,False
BLANK,BLANK,3,3,Person,Blank,False
BLANKENHORN,HERBERT BLANKENHORN,3,3,Person,Blankenhorn,True
BOLESLAW BIERUT,BOLESLAW BIERUT,3,3,Person,Boleslaw Bierut,False
BOLIVIAN FOREIGN MINISTER,BOLIVIAN FOREIGN MINISTER,3,3,Person,Bolivian Foreign Minister; Bolivian foreign minister,False
BONG SOUVANNOUVONG,BONG SOUVANNOUVONG,3,3,Person,Bong Souvannouvong,False
BRAZILIAN COMMUNIST PARTY,BRAZILIAN COMMUNIST PARTY,3,3,PoliticalGroup,Brazilian Communist Party,False
BRAZILIAN CONGRESS,BRAZILIAN CONGRESS,3,3,Government; Organization,Brazilian Congress; Brazilian congress,False
BRAZILIAN FOREIGN MINISTRY,BRAZILIAN FOREIGN MINISTRY,3,3,Government; Organization,Brazilian Foreign Ministry,False
BRIGADIER SHANNAN,BRIGADIER SHANNAN,3,3,Person,Brigadier Shannan,False
BRITISH AMBASSADOR STEVENSON,AMBASSADOR STEVENSON,3,3,Person,British Ambassador Stevenson,True
BRITISH ARMY,BRITISH ARMY,3,3,Military,British army; British Army,False
BRITISH MILITARY,BRITISH MILITARY,3,3,Military,British military,False
BRITISH MINISTER,BRITISH MINISTER,3,3,Person,British Minister; British minister,False
BRUNO LEUSCHNER,BRUNO LEUSCHNER,3,3,Person,Bruno Leuschner,False
BUNDESWEHR,BUNDESWEHR,3,3,Military,Bundeswehr,False
BURAIMI OASIS,BURAIMI,3,3,Location,Buraimi oasis; Buraimi Oasis,True
BURMESE LEADERS,BURMESE LEADERS,3,3,Government; PoliticalGroup,Burmese leaders,False
BURMESE MISSION,BURMESE MISSION,3,3,Other,Burmese mission,False
BURMESE PRIME MINISTER,BURMESE PRIME MINISTER,3,3,Person,Burmese Prime Minister; Burmese prime minister,False
BURMESE SOCIALIST PARTY,BURMA SOCIALIST PARTY,3,3,PoliticalGroup,Burmese Socialist Party,True
BURMESE UN DELEGATE,BURMESE UN DELEGATE,3,3,Person,Burmese UN delegate,False
CANADIAN DELEGATION,CANADIAN DELEGATION,3,3,Government; Other; PoliticalGroup,Canadian delegation,False
CARLOS GARCIA,CARLOS GARCIA,3,3,Person,Carlos Garcia,False
CATAVI,CATAVI,3,3,Location,Catavi,False
CENTRAL TREATY ORGANIZATION,CENTRAL TREATY ORGANIZATION,3,3,Organization,Central Treaty Organization,False
CEUTA,CEUTA,3,3,Location,Ceuta,False
CHANG MYON ADMINISTRATION,CHANG MYON ADMINISTRATION,3,3,Government,Chang Myon administration,False
CHAVEZ,CHAVEZ,3,3,Person,Chavez,False
CHEKIANG,CHEKIANG,3,3,Location,Chekiang,False
CHEN PING,CHEN PING,3,3,Person,Chen Ping,False
CHIEF OF STAFF BIZRI,SYRIAN CHIEF OF STAFF BIZRI,3,3,Person,Chief of Staff Bizri,True
CHIEF OF STAFF NASUTION,CHIEF OF STAFF NASUTION,3,3,Person,Chief of Staff Nasution,False
CHILEAN AMBASSADOR,CHILEAN AMBASSADOR,3,3,Person,Chilean Ambassador; Chilean ambassador,False
CHINA COMMITTEE,CHINA COMMITTEE,3,3,Organization; Other,China Committee,False
CHINESE COMMUNIST DELEGATION,CHINESE COMMUNIST DELEGATION,3,3,Organization; PoliticalGroup,Chinese Communist delegation,False
CHINESE COMMUNIST FOREIGN MINISTRY,CHINESE COMMUNIST FOREIGN MINISTRY,3,3,Organization,Chinese Communist Foreign Ministry,False
CHINESE COMMUNIST UNITS,CHINESE COMMUNIST UNITS,3,3,Military,Chinese Communist units,False
CHINESE EMBASSY,CHINESE EMBASSY,3,3,Organization,Chinese embassy; Chinese Embassy,False
CHINESE GOVERNMENT,CHINESE GOVERNMENT,3,3,Government,Chinese Government; Chinese government,False
CHINESE NATIONALIST ARMY,CHINESE NATIONALIST ARMY,3,3,Military,Chinese Nationalist Army; Chinese Nationalist army,False
CHINESE NATIONALIST MINISTRY OF NATIONAL DEFENSE,CHINESE NATIONALIST DEFENSE MINISTRY,3,3,Organization,Chinese Nationalist Ministry of National Defense,True
CHINESE NATIONALIST NAVY,CHINESE NATIONALIST NAVY,3,3,Military,Chinese Nationalist navy; Chinese Nationalist Navy,False
CHINMEN,CHINMEN,3,3,Location,Chinmen,False
CHOUGH PYONG-OK,CHO PYONG-OK,3,3,Person,Chough Pyong-ok,True
CHRISTIAN DEMOCRATIC GOVERNMENT,CHRISTIAN DEMOCRATIC GOVERNMENT,3,3,Government; PoliticalGroup,Christian Democratic government,False
CHRISTIAN WORKERS CONFEDERATION,CHRISTIAN WORKERS CONFEDERATION,3,3,PoliticalGroup,Christian Workers Confederation; Christian Workers' Confederation,False
CHUKOTSK PENINSULA,CHUKOTSK PENINSULA,3,3,Location,Chukotsk peninsula; Chukotsk Peninsula,False
CLEMENT JUMELLE,CLEMENT JUMELLE,3,3,Person,Clement Jumelle,False
COL. CASTILLO NAVARRETE,COL. CASTILLO NAVARRETE,3,3,Person,Col. Castillo Navarrete,False
COL. HOUMPANH,COL. HOUMPANH,3,3,Person,Col. Houmpanh,False
COLONEL AMIN,COLONEL AMIN,3,3,Person,Colonel Amin,False
COLONEL ELFEGO MONZON,COLONEL MONZON,3,3,Person,Colonel Elfego Monzon,True
COLONEL MAHDAWI,COL. MAHDAWI,3,3,Person,Colonel Mahdawi,True
COLONEL SHAH,SHAH,3,3,Person,Colonel Shah,True
COLONEL TRINQUIER,COLONEL TRINQUIER,3,3,Military; Person,Colonel Trinquier,False
COLONIAL SECRETARY MACLEOD,COLONIAL SECRETARY MACLEOD,3,3,Person,Colonial Secretary Macleod,False
COMMITTEE OF NATIONAL UNITY,COMMITTEE OF NATIONAL UNION,3,3,PoliticalGroup,Committee of National Unity,True
COMMUNIST LEADERS,COMMUNIST LEADERS,3,3,PoliticalGroup,Communist leaders; communist leaders,False
COMMUNIST PARTIES,COMMUNIST PARTIES,3,3,PoliticalGroup,Communist Parties; Communist parties,False
COMMUNIST PARTY OF INDIA,COMMUNIST PARTY OF INDIA,3,3,PoliticalGroup,Communist Party of India,False
CONCENTRATION OF POPULAR FORCES,CONCENTRATION OF POPULAR FORCES,3,3,PoliticalGroup,Concentration of Popular Forces,False
CONGOLESE ARMY,CONGOLESE ARMY,3,3,Military,Congolese Army,False
CONSTITUTIONAL UNION PARTY,CONSTITUTIONAL UNION PARTY,3,3,PoliticalGroup,Constitutional Union Party,False
COUNSELOR,COUNSELOR,3,3,Other; Person,Counselor,False
CPI,COMMUNIST PARTY OF INDIA,3,3,PoliticalGroup,CPI,True
CROWN PRINCE ABD AL-ILAH,CROWN PRINCE ABD AL-ILAH,3,3,Person,Crown Prince Abd al-Ilah,False
CROWN PRINCE SAUD,CROWN PRINCE SAUD,3,3,Person,Crown Prince Saud,False
CUBAN LABOR CONFEDERATION (CTC),CUBAN WORKERS CONFEDERATION,3,3,Organization,Cuban Labor Confederation (CTC),True
CUBAN WORKERS CONFEDERATION,CUBAN WORKERS CONFEDERATION,3,3,Organization,Cuban Workers' Confederation,False
CUTCH,CUTCH,3,3,Organization,CUTCH,False
CZECH DELEGATION,CZECH DELEGATION,3,3,Organization; Other,Czech delegation,False
DAHOMEY,DAHOMEY,3,3,Country,Dahomey,False
DAIREN,DAIREN,3,3,Location,Dairen,False
DANIEL MAYER,DANIEL MAYER,3,3,Person,Daniel Mayer,False
DANISH FOREIGN MINISTRY,DANISH FOREIGN MINISTRY,3,3,Organization,Danish Foreign Ministry,False
DE CASTRO,DE CASTRO,3,3,Person,De Castro; de Castro,False
DE GASPERI GOVERNMENT,DE GASPERI GOVERNMENT,3,3,Government,De Gasperi government,False
DEBRECEN,DEBRECEN,3,3,Location,Debrecen,False
DEFENSE MINISTER BA SWE,DEFENSE MINISTER BA SWE,3,3,Person,Defense Minister Ba Swe,False
DEFENSE MINISTER CHABAN-DELMAS,DEFENSE MINISTER CHABAN-DELMAS,3,3,Person,Defense Minister Chaban-Delmas,False
DEFENSE MINISTRY,MINISTRY OF DEFENSE,3,3,Government,Defense Ministry,True
DEMOCRAT PARTY,DEMOCRAT PARTY,3,3,PoliticalGroup,Democrat Party; Democrat party,False
DEMOCRATIC REPUBLICAN UNION,DEMOCRATIC REPUBLICAN UNION,3,3,PoliticalGroup,Democratic Republican Union,False
DEPUTY PREMIER KATAY,DEPUTY PREMIER KATAY,3,3,Person,Deputy Premier Katay,False
DEPUTY UNDER SECRETARY FOR ADMINISTRATION,DEPUTY UNDER SECRETARY FOR ADMINISTRATION,3,3,Other; Person,Deputy Under Secretary for Administration,False
DEPUTY UNDER SECRETARY FOR POLITICAL AFFAIRS,DEPUTY UNDER SECRETARY FOR POLITICAL AFFAIRS,3,3,Other; Person,Deputy Under Secretary for Political Affairs,False
DIBELIUS,BISHOP DIBELIUS,3,3,Person,Dibelius,True
DIET,JAPANESE DIET,3,3,Other,Diet,True
DIRECTOR OF CENTRAL INTELLIGENCE,DIRECTOR OF CENTRAL INTELLIGENCE,3,3,Organization; Person,Director of Central Intelligence,False
DIRECTOR OF INTELLIGENCE AND RESEARCH,DIRECTOR OF INTELLIGENCE AND RESEARCH,3,3,Other; Person,Director of Intelligence and Research,False
DOMINICAN DICTATOR TRUJILLO,TRUJILLO,3,3,Person,Dominican dictator Trujillo,True
DOMINICAN GOVERNMENT,DOMINICAN GOVERNMENT,3,3,Government,Dominican Government; Dominican government,False
DOMINION PARTY,DOMINION PARTY,3,3,PoliticalGroup,Dominion party,False
DON JUAN,DON JUAN,3,3,Person,Don Juan,False
DRAPER,DRAPER,3,3,Person,Draper,False
DRUZE,DRUZE,3,3,ReligiousGroup,Druze,False
DUCLOS,JACQUES DUCLOS,3,3,Person,Duclos,True
DUNN,AMBASSADOR DUNN,3,3,Person,Dunn,True
DUTCH FOREIGN OFFICE,DUTCH FOREIGN OFFICE,3,3,Government; Organization,Dutch Foreign Office,False
EAST GERMAN COMMUNIST PARTY,EAST GERMAN COMMUNIST PARTY,3,3,PoliticalGroup,East German Communist Party,False
EAST GERMAN COMMUNISTS,EAST GERMAN COMMUNIST PARTY,3,3,PoliticalGroup,East German Communists,True
EAST GERMAN PEOPLES POLICE,EAST GERMAN POLICE,3,3,Military; Organization,East German Peoples' Police; East German People's Police; East German people's police,True
EAST GERMAN POLICE,EAST GERMAN POLICE,3,3,Government; Organization,East German police; East German Police,False
ECONOMY MINISTER ALSOGARAY,ECONOMY MINISTER ALSOGARAY,3,3,Person,Economy Minister Alsogaray,False
EDC INTERIM COMMISSION,EDC INTERIM COMMISSION,3,3,Organization,EDC Interim Commission,False
EDVARD KARDELJ,KARDELJ,3,3,Person,Edvard Kardelj,True
EFTA,EUROPEAN FREE TRADE ASSOCIATION,3,3,Organization,EFTA,True
EGYPTIAN CABINET,EGYPTIAN CABINET,3,3,Government,Egyptian Cabinet; Egyptian cabinet,False
EGYPTIAN MILITARY ATTACHÉ,EGYPTIAN MILITARY ATTACHE,3,3,Military; Other,Egyptian military attaché,True
EGYPTIAN PRIME MINISTER NASR,PRIME MINISTER NASR,3,3,Person,Egyptian prime minister Nasr,True
EGYPTIAN TROOPS,EGYPTIAN TROOPS,3,3,Military,Egyptian troops,False
EISAKU SATO,EISAKU SATO,3,3,Person,Eisaku Sato,False
EISENHOWER ADMINISTRATION,EISENHOWER ADMINISTRATION,3,3,Government,Eisenhower administration,False
EL AUJA DEMILITARIZED ZONE,EL AUJA DEMILITARIZED ZONE,3,3,Location; Other,El Auja demilitarized zone,False
ELYSEE PALACE,ELYSEE PALACE,3,3,Location,Elysee Palace,False
ENI,ENI,3,3,Organization,ENI,False
ENRICO MATTEI,ENRICO MATTEI,3,3,Person,Enrico Mattei,False
ESQUIVEL,ESQUIVEL,3,3,Person,Esquivel,False
EUROPEAN ARMY,EUROPEAN ARMY,3,3,Military; Other,European Army; European army,False
EUROPEAN EXTREMISTS,EUROPEAN EXTREMISTS,3,3,PoliticalGroup,European extremists,False
EUROPEAN FREE TRADE ASSOCIATION,EUROPEAN FREE TRADE ASSOCIATION,3,3,Organization,European Free Trade Association,False
EUROPEAN POLITICAL COMMUNITY,EUROPEAN POLITICAL COMMUNITY,3,3,Organization; PoliticalGroup,European Political Community,False
EUROPEAN SATELLITES,EUROPEAN SATELLITES,3,3,PoliticalGroup,European Satellites,False
FADHIL JAMALI,FADHIL JAMALI,3,3,Person,Fadhil Jamali,False
FAWZI MULQI,FAWZI MULQI,3,3,Person,Fawzi Mulqi,False
FEDAYAN ISLAM,FEDAYAN ISLAM,3,3,PoliticalGroup,Fedayan Islam,False
FEDERAL PARTY,FEDERAL PARTY,3,3,PoliticalGroup,Federal party; Federal Party,False
FELIX GAILLARD,FELIX GAILLARD,3,3,Person,Felix Gaillard,False
FOREIGN MINISTER,FOREIGN MINISTER,3,3,Person,Foreign Minister,False
FOREIGN MINISTER AVEROFF,FOREIGN MINISTER AVEROFF,3,3,Person,Foreign Minister Averoff,False
FOREIGN MINISTER GROMYKO,FOREIGN MINISTER GROMYKO,3,3,Person,Foreign Minister Gromyko,False
FOREIGN MINISTER PYUN,FOREIGN MINISTER PYUN,3,3,Person,Foreign Minister Pyun,False
FOREIGN MINISTER SARPER,FOREIGN MINISTER SARPER,3,3,Person,Foreign Minister Sarper,False
FOURTH REPUBLIC,FOURTH REPUBLIC,3,3,Government; Other,Fourth Republic,False
FRANC KOS,FRANC KOS,3,3,Person,Franc Kos,False
FRANCIS LACOSTE,LACOSTE,3,3,Person,Francis Lacoste,True
FRANCK SYLVAIN,FRANCK SYLVAIN,3,3,Person,Franck Sylvain,False
FRANCOIS MITTERRAND,FRANCOIS MITTERRAND,3,3,Person,Francois Mitterrand,False
FREE TERRITORY OF TRIESTE,FREE TERRITORY OF TRIESTE,3,3,Location,Free Territory of Trieste,False
FRENCH AMBASSADOR FALAIZE,FRENCH AMBASSADOR,3,3,Person,French Ambassador Falaize,True
FRENCH AMBASSADOR JOXE,FRENCH AMBASSADOR,3,3,Person,French Ambassador Joxe; French ambassador Joxe,True
FRENCH AMBASSADOR PARODI,FRENCH AMBASSADOR,3,3,Person,French Ambassador Parodi,True
FRENCH COMMANDER,FRENCH COMMANDER,3,3,Military; Person,French commander; French Commander,False
FRENCH COMMUNIST PARTY (PCF),FRENCH COMMUNIST PARTY,3,3,PoliticalGroup,French Communist Party (PCF); French Communist party (PCF),True
FRENCH DELEGATION,FRENCH DELEGATION,3,3,Organization; PoliticalGroup,French delegation,False
FRENCH FOREIGN MINISTER COUVE DE MURVILLE,FRENCH FOREIGN MINISTER COUVE DE MURVILLE,3,3,Person,French Foreign Minister Couve de Murville,False
FRENCH HIGH COMMAND,FRENCH HIGH COMMAND,3,3,Military; Organization,French High Command; French high command,False
FRENCH INTELLIGENCE,FRENCH INTELLIGENCE,3,3,Organization,French intelligence,False
FRENCH LEGATION,FRENCH LEGATION,3,3,Organization; Other,French Legation; French legation,False
FRENCH MOROCCO,FRENCH MOROCCO,3,3,Location,French Morocco,False
FRENCH NAVY,FRENCH NAVY,3,3,Military,French Navy; French navy,False
FRENCH SOCIALISTS,SOCIALISTS,3,3,PoliticalGroup,French Socialists,True
FRONDIZI GOVERNMENT,FRONDIZI GOVERNMENT,3,3,Government,Frondizi government,False
G. M. MALENKOV,MALENKOV,3,3,Person,G. M. Malenkov,True
GALLMAN,AMBASSADOR GALLMAN,3,3,Person,Gallman,True
GBEDEMAH,GBEDEMAH,3,3,Person,Gbedemah,False
GENERAL ALESSANDRI,GENERAL ALESSANDRI,3,3,Military; Person,General Alessandri,False
GENERAL AMER,GENERAL AMER,3,3,Person,General Amer,False
GENERAL DAGHESTANI,GENERAL DAGHESTANI,3,3,Person,General Daghestani,False
GENERAL DE LANGLADE,GENERAL DE LANGLADE,3,3,Person,General de Langlade,False
GENERAL JUAREZ TAVORA,GENERAL JUAREZ TAVORA,3,3,Person,General Juarez Tavora,False
GENERAL LABOR CONFEDERATION (CGT),GENERAL LABOR CONFEDERATION,3,3,Organization; PoliticalGroup,General Labor Confederation (CGT),True
GENERAL MACARTHUR,AMBASSADOR MACARTHUR,3,3,Person,General MacArthur,True
GENERAL MENGHISTU,GENERAL MENGHISTU,3,3,Person,General Menghistu,False
GENERAL NGUYEN VAN XUAN,GENERAL NGUYEN VAN XUAN,3,3,Person,General Nguyen Van Xuan,False
GENERAL PAEK SON-YOP,GENERAL PAEK SON-YOP,3,3,Military; Person,General Paek Son-yop,False
GENERAL PHIN,GENERAL PHIN,3,3,Person,General Phin,False
GENERAL SELEME,GENERAL SELEME,3,3,Person,General Seleme,False
GENERAL SIMATUPANG,GENERAL SIMATUPANG,3,3,Military; Person,General Simatupang,False
GENERAL SPYCHALSKI,GENERAL SPYCHALSKI,3,3,Person,General Spychalski,False
GENERAL TAYLOR,GENERAL TAYLOR,3,3,Person,General Taylor,False
GENERAL VAN FLEET,GENERAL VAN FLEET,3,3,Person,General Van Fleet,False
GENERAL VO NGUYEN GIAP,VO NGUYEN GIAP,3,3,Military; Person,General Vo Nguyen Giap,True
GENERAL VON HORN,GENERAL VON HORN,3,3,Military; Person,General Von Horn; General von Horn,False
GENERAL XUAN,GENERAL XUAN,3,3,Person,General Xuan,False
GENERALISSIMO RAFAEL TRUJILLO,TRUJILLO,3,3,Person,Generalissimo Rafael Trujillo,True
GENEVA AGREEMENTS,GENEVA AGREEMENTS,3,3,Document,Geneva agreements; Geneva Agreements,False
GEORGE GRIVAS,GENERAL GRIVAS,3,3,Person,George Grivas,True
GEORGE KENNAN,GEORGE KENNAN,3,3,Person,George Kennan,False
GEORGIA,GEORGIA,3,3,Location,Georgia,False
GERMAN FEDERAL REPUBLIC,GERMAN FEDERAL REPUBLIC,3,3,Country; Government,German Federal Republic,False
GERO,ERNO GERO,3,3,Person,Gero,True
GERSTENMAIER,BUNDESTAG PRESIDENT GERSTENMAIER,3,3,Person,Gerstenmaier,True
GHOSH,AJOY GHOSH,3,3,Person,Ghosh,True
GILSON,GILSON,3,3,Person,Gilson,False
GOA,GOA,3,3,Location,Goa,False
GREEK AMBASSADOR,GREEK AMBASSADOR,3,3,Person,Greek Ambassador; Greek ambassador,False
GREEK CYPRIOTS,GREEK CYPRIOTS,3,3,PoliticalGroup,Greek Cypriots,False
GREEK FOREIGN MINISTRY,GREEK FOREIGN MINISTRY,3,3,Organization,Greek Foreign Ministry,False
GREEK FOREIGN OFFICE,GREEK FOREIGN OFFICE,3,3,Government; Organization,Greek Foreign Office,False
GREEK PRIME MINISTER,GREEK PRIME MINISTER,3,3,Government; Person,Greek Prime Minister,False
GREEK PRIME MINISTER VENIZELOS,GREEK PRIME MINISTER VENIZELOS,3,3,Person,Greek Prime Minister Venizelos,False
GUDMUNDSSON,GUDMUNDSSON,3,3,Person,Gudmundsson,False
GUIDED MISSILE INTELLIGENCE COMMITTEE,GUIDED MISSILE INTELLIGENCE COMMITTEE,3,3,Organization,Guided Missile Intelligence Committee,False
GUILLAUME,RESIDENT GENERAL GUILLAUME,3,3,Person,Guillaume,True
GUTIERREZ,GUTIERREZ,3,3,Person,Gutierrez,False
GUY LA CHAMBRE,LA CHAMBRE,3,3,Person,Guy La Chambre,True
HABOMAI ISLANDS,HABOMAI ISLANDS,3,3,Location,Habomai Islands,False
HAIMEN,HAIMEN,3,3,Location,Haimen,False
HAINAN,HAINAN ISLAND,3,3,Location,Hainan,True
HANSEN,HANSEN,3,3,Person,Hansen,False
HARIAN RAKJAT,HARIAN RAKJAT,3,3,Organization,Harian Rakjat,False
HAROLD WILSON,HAROLD WILSON,3,3,Person,Harold Wilson,False
HASHIM-RIFAI GOVERNMENT,HASHIM-RIFAI GOVERNMENT,3,3,Government,Hashim-Rifai government,False
HEINRICH KRONE,HEINRICH KRONE,3,3,Person,Heinrich Krone,False
HEINRICH VON BRENTANO,HEINRICH VON BRENTANO,3,3,Person,Heinrich von Brentano,False
HELSINKI,HELSINKI,3,3,Location,Helsinki,False
HERBERT BLANKENHORN,HERBERT BLANKENHORN,3,3,Person,Herbert Blankenhorn,False
HERRERA,HERRERA,3,3,Person,Herrera,False
HERUT PARTY,HERUT PARTY,3,3,PoliticalGroup,Herut Party,False
HILARY MINC,HILARY MINC,3,3,Person,Hilary Minc,False
HOLMES,HOLMES,3,3,Person,Holmes,False
HONDURAN LIBERAL PARTY,HONDURAN LIBERAL PARTY,3,3,PoliticalGroup,Honduran Liberal Party,False
HONG KONG GOVERNMENT,HONG KONG GOVERNMENT,3,3,Government,Hong Kong Government,False
HUANG HUA,HUANG HUA,3,3,Person,Huang Hua,False
HUNGARIAN CENTRAL COMMITTEE,HUNGARIAN CENTRAL COMMITTEE,3,3,PoliticalGroup,Hungarian central committee; Hungarian Central Committee,False
HUNGARIAN FOREIGN MINISTRY,HUNGARIAN FOREIGN MINISTRY,3,3,Organization,Hungarian Foreign Ministry,False
HUNGARIAN SECURITY POLICE,HUNGARIAN SECURITY POLICE,3,3,Government; Military,Hungarian security police,False
I. I. CHUNDRIGAR,CHUNDRIGAR,3,3,Person,I. I. Chundrigar,True
ICRC,INTERNATIONAL COMMITTEE OF THE RED CROSS,3,3,Organization,ICRC,True
ILICHEV,ILICHEV,3,3,Person,Ilichev,False
INDIAN AIR FORCE,INDIAN AIR FORCE,3,3,Military,Indian Air Force,False
INDIAN ARMY,INDIAN ARMY,3,3,Military,Indian Army,False
INDIAN HIGH COMMISSIONER,INDIAN HIGH COMMISSIONER,3,3,Other; Person,Indian High Commissioner; Indian high commissioner,False
INDIAN PARLIAMENT,INDIAN PARLIAMENT,3,3,Organization; Other,Indian parliament; Indian Parliament,False
INDONESIAN AIR FORCE,INDONESIAN AIR FORCE,3,3,Military,Indonesian air force; Indonesian Air Force,False
INTER-AMERICAN DEVELOPMENT BANK,INTER-AMERICAN DEVELOPMENT BANK,3,3,Organization,Inter-American Development Bank,False
IRANIAN AIR FORCE,IRANIAN AIR FORCE,3,3,Military,Iranian Air Force; Iranian air force,False
IRANIAN FOREIGN MINISTER,IRANIAN FOREIGN MINISTER,3,3,Person,Iranian Foreign Minister,False
IRANIAN SHAH,SHAH,3,3,Person,Iranian Shah,True
IRAQI BAATHISTS,BAATHISTS,3,3,PoliticalGroup,Iraqi Baathists,True
IRAQI KURDS,IRAQI KURDS,3,3,Other; PoliticalGroup,Iraqi Kurds,False
IRELAND,IRELAND,3,3,Country; Person,Ireland,False
ISMAILIA,ISMAILIA,3,3,Location,Ismailia,False
ISRAELI AMBASSADOR EBAN,ISRAELI AMBASSADOR EBAN,3,3,Person,Israeli Ambassador Eban; Israeli ambassador Eban,False
ISRAELI BORDER,ISRAELI BORDER,3,3,Location,Israeli border,False
ISRAELI FOREIGN MINISTER,ISRAELI FOREIGN MINISTER SHARETT,3,3,Person,Israeli Foreign Minister; Israeli foreign minister,True
ISRAELI FOREIGN MINISTER SHARETT,ISRAELI FOREIGN MINISTER SHARETT,3,3,Person,Israeli Foreign Minister Sharett; Israeli foreign minister Sharett,False
ISRAELI PRESS,ISRAELI PRESS,3,3,Organization,Israeli press,False
ISSA,ISSA,3,3,Person,Issa,False
ISTVAN KOVACS,ISTVAN KOVACS,3,3,Person,Istvan Kovacs,False
IZMIR,IZMIR,3,3,Location,Izmir,False
JAKUB BERMAN,JAKUB BERMAN,3,3,Person,Jakub Berman,False
JAPAN COMMUNIST PARTY,JAPANESE COMMUNIST PARTY,3,3,PoliticalGroup,Japan Communist Party,True
JAPANESE RED CROSS,JAPANESE RED CROSS,3,3,Organization,Japanese Red Cross,False
JEAN LETOURNEAU,LETOURNEAU,3,3,Person,Jean Letourneau,True
JEAN SOUTOU,JEAN SOUTOU,3,3,Person,Jean Soutou,False
JEBB,JEBB,3,3,Person,Jebb,False
JERUSALEM POST,JERUSALEM POST,3,3,Organization,Jerusalem Post,False
JORDAN ARAB LEGION,JORDAN ARAB LEGION,3,3,Military,Jordan Arab Legion,False
JORDANIAN NATIONAL GUARD,JORDANIAN NATIONAL GUARD,3,3,Military,Jordanian National Guard,False
JOSE FIGUERES,JOSÉ FIGUERES,3,3,Person,Jose Figueres,True
JOSE LAUREL,JOSE LAUREL,3,3,Person,Jose Laurel,False
"JOSE LAUREL, JR.","JOSE LAUREL, JR.",3,3,Person,"Jose Laurel, Jr.",False
JOSÉ FIGUERES,JOSÉ FIGUERES,3,3,Person,José Figueres,False
JUAN CORDOVA CERNA,JUAN CORDOVA CERNA,3,3,Person,Juan Cordova Cerna,False
JULIO LOZANO,JULIO LOZANO,3,3,Person,Julio Lozano,False
JULIUS RAAB,JULIUS RAAB,3,3,Person,Julius Raab,False
JUMBLATT,KAMAL JUMBLATT,3,3,Person,Jumblatt,True
KAMINA BASE,KAMINA,3,3,Location,Kamina base,True
KAPUSTIN YAR MISSILE TEST RANGE,KAPUSTIN YAR,3,3,Location,Kapustin Yar Missile Test Range; Kapustin Yar missile test range,True
KASAVUBU GOVERNMENT,KASAVUBU GOVERNMENT,3,3,Government,Kasavubu government,False
KASHMIR CONSTITUENT ASSEMBLY,KASHMIR CONSTITUENT ASSEMBLY,3,3,Other; PoliticalGroup,Kashmir Constituent Assembly,False
KATANGA GOVERNMENT,KATANGA GOVERNMENT,3,3,Government,Katanga government,False
KATANGA REGIME,KATANGA REGIME,3,3,Government; PoliticalGroup,Katanga regime,False
KATSUO OKAZAKI,OKAZAKI,3,3,Person,Katsuo Okazaki,True
KAWILARANG,COLONEL KAWILARANG,3,3,Person,Kawilarang,True
KEFLAVIK,KEFLAVIK,3,3,Location,Keflavik,False
KENGTUNG,KENGTUNG,3,3,Location,Kengtung,False
KENNEDY ADMINISTRATION,KENNEDY ADMINISTRATION,3,3,Government; Organization,Kennedy administration,False
KENZO MATSUMURA,KENZO MATSUMURA,3,3,Person,Kenzo Matsumura,False
KHALIDI,KHALIDI,3,3,Person,Khalidi,False
KHAMPAN PANYA,KHAMPHAN PANYA,3,3,Person,Khampan Panya,True
KHIM TIT,KHIM TIT,3,3,Person,Khim Tit,False
KIDWAI,KIDWAI,3,3,Person,Kidwai,False
KIM,KIM,3,3,Person,Kim,False
KING ZAHIR,KING ZAHIR SHAH,3,3,Person,King Zahir,True
KLIMENT VOROSHILOV,KLIMENT VOROSHILOV,3,3,Person,Kliment Voroshilov,False
KRAFT,KRAFT,3,3,Person,Kraft,False
KRASNODAR,KRASNODAR,3,3,Other,Krasnodar,False
KRUGLOV,KRUGLOV,3,3,Person,Kruglov,False
KUNI,KUNI,3,3,Person,Kuni,False
