normalized_label,canonical_label_current,mention_count,unique_docs,unique_paragraphs,source_types,primary_type,example_mentions,example_descriptions,top_co_mentions,context_text,in_alias_dictionary
USSR,USSR,103,41,102,Country; Government,Country,USSR,"Former country, now Russia and other states; Soviet Union, involved in international relations and party congress.; The country with which the Dominican Republic desires to re-establish diplomatic relations.; Gained prestige for pro-Lumumba position; Country with which Nigeria sought to establish diplomatic relations; Accused of carrying military personnel to Pathet Lao forces.; Country involved in airlift support; Country endorsing a proposal for a conference on Laos.",LAOS; COMMUNIST CHINA; PEIPING; KHRUSHCHEV; CONGO; PATHET LAO; SOUVANNA PHOUMA; UAR; NORTH VIETNAM; CUBA; EAST GERMANY; UNITED STATES,"USSR || Country Government || LAOS COMMUNIST CHINA PEIPING KHRUSHCHEV CONGO PATHET LAO SOUVANNA PHOUMA UAR NORTH VIETNAM CUBA || Former country, now Russia and other states Soviet Union, involved in international relations and party congress. The country with which the Dominican Republic desires to re-establish diplomatic relations. Gained prestige for pro-Lumumba position Country with which Nigeria sought to establish diplomatic relations Accused of carrying military personnel to Pathet Lao forces.",False
GENERAL LUNDULA,GENERAL LUNDULA,4,4,4,Person,Person,General Lundula,Gizenga's military commander.; Chief of staff to Gizenga and moderate member of the Stanleyville group.; A general associated with the Gizenga regime.; Stanleyville General involved in military talks,GIZENGA; BELGIUM; MOBUTU; BELGRADE; KONG LE - PATHET LAO; LAOTIAN ARMY; PRAGUE; SOFIA; WARSAW; YUGOSLAVIA; CAIRO; CONGO,GENERAL LUNDULA || Person || GIZENGA BELGIUM MOBUTU BELGRADE KONG LE - PATHET LAO LAOTIAN ARMY PRAGUE SOFIA WARSAW YUGOSLAVIA || Gizenga's military commander. Chief of staff to Gizenga and moderate member of the Stanleyville group. A general associated with the Gizenga regime. Stanleyville General involved in military talks,False
GENERAL NASUTION,GENERAL NASUTION,4,4,4,Person,Person,General Nasution,"Army Chief of Staff in Indonesia.; Chief of Staff of the Indonesian Army involved in the arms purchases.; Army Chief of Staff of Indonesia; Army Chief of Staff of Indonesia, making statements about the struggle in New Guinea.",INDONESIA; PATHET LAO; SUKARNO; GENERAL PHOUMI; HAITI; INDONESIAN COMMUNIST PARTY; LAOS; LUANG PRABANG; PRESIDENT DUVALIER; PRESIDENT SUKARNO; ROMAN CATHOLIC CHURCH; SUDIBJO,"GENERAL NASUTION || Person || INDONESIA PATHET LAO SUKARNO GENERAL PHOUMI HAITI INDONESIAN COMMUNIST PARTY LAOS LUANG PRABANG PRESIDENT DUVALIER PRESIDENT SUKARNO || Army Chief of Staff in Indonesia. Chief of Staff of the Indonesian Army involved in the arms purchases. Army Chief of Staff of Indonesia Army Chief of Staff of Indonesia, making statements about the struggle in New Guinea.",False
HAIPHONG,HAIPHONG,4,4,4,Location,Location,Haiphong,City in North Vietnam where Soviet helicopters were observed; City in North Vietnam from where flights are detected.; A location mentioned in relation to the Soviet AN-12 flights.; Port city in Vietnam,HANOI; LAOS; NORTH VIETNAM; PATHET LAO; SOVIET UNION; KATANGA; KONG LE; TSHOMBÉ; VANG VIENG; ATOMIC ENERGY COMMISSION; DEPARTMENT OF DEFENSE; DEPARTMENT OF STATE,HAIPHONG || Location || HANOI LAOS NORTH VIETNAM PATHET LAO SOVIET UNION KATANGA KONG LE TSHOMBÉ VANG VIENG ATOMIC ENERGY COMMISSION || City in North Vietnam where Soviet helicopters were observed City in North Vietnam from where flights are detected. A location mentioned in relation to the Soviet AN-12 flights. Port city in Vietnam,False
LEOPOLDVILLE GOVERNMENT,LEOPOLDVILLE GOVERNMENT,4,4,4,Government,Government,Leopoldville government,"government that would refuse to disarm its troops; The local government in Leopoldville.; Government involved in political conference with Gizenga; The government of Leopoldville, involved in potential meetings.",PEIPING; COMMUNIST CHINA; USSR; HAMMARSKJOLD; TSHOMBÉ; GIZENGA; GIZENGA REGIME; NATIONALIST CHINA; NEW DELHI; PAKISTAN; SOUVANNA; WORLD HEALTH ORGANIZATION,"LEOPOLDVILLE GOVERNMENT || Government || PEIPING COMMUNIST CHINA USSR HAMMARSKJOLD TSHOMBÉ GIZENGA GIZENGA REGIME NATIONALIST CHINA NEW DELHI PAKISTAN || government that would refuse to disarm its troops The local government in Leopoldville. Government involved in political conference with Gizenga The government of Leopoldville, involved in potential meetings.",False
LISBON,LISBON,4,4,4,Location,Location,Lisbon,"Capital of Portugal, where the government is based.; Capital of Portugal, involved in discussions about military support.; Capital city of Portugal, involved in communications regarding Angola.; Capital of Portugal, where military reshuffling is taking place.",ANGOLA; PORTUGUESE GOVERNMENT; PORTUGAL; BRAZIL; CAPE VERDE ISLANDS; HENRIQUE GALVAO; HUMBERTO DELGADO; PORTUGUESE GUINEA; SALAZAR REGIME; VENEZUELA; AMERICAN CONSUL; GENERAL FRANCO,"LISBON || Location || ANGOLA PORTUGUESE GOVERNMENT PORTUGAL BRAZIL CAPE VERDE ISLANDS HENRIQUE GALVAO HUMBERTO DELGADO PORTUGUESE GUINEA SALAZAR REGIME VENEZUELA || Capital of Portugal, where the government is based. Capital of Portugal, involved in discussions about military support. Capital city of Portugal, involved in communications regarding Angola. Capital of Portugal, where military reshuffling is taking place.",False
MALI,MALI,4,4,4,Country,Country,Mali,Country where North Vietnamese ambassadors are accredited.; Country receiving economic and technical cooperation from the USSR.; Country in West Africa; Country whose ambassador was to present credentials to Gizenga.,BURMA; MOROCCO; NORTH VIETNAM; GIZENGA; LEOPOLDVILLE; STANLEYVILLE; BAGHDAD; CAMBODIA; CUBA; GUINEA; INDIA; INDONESIA,MALI || Country || BURMA MOROCCO NORTH VIETNAM GIZENGA LEOPOLDVILLE STANLEYVILLE BAGHDAD CAMBODIA CUBA GUINEA || Country where North Vietnamese ambassadors are accredited. Country receiving economic and technical cooperation from the USSR. Country in West Africa Country whose ambassador was to present credentials to Gizenga.,False
NAM BAC,NAM BAC,4,4,4,Location,Location,Nam Bac,A village whose loss increases the threat to Luang Prabang.; A post in Laos where supplies were airdropped by Soviet forces.; Area in Vietnam; Area in Laos from which troops are heading toward Luang Prabang,LUANG PRABANG; PATHET LAO; BOUN OUM GOVERNMENT; KHAM KONG; MUONG SAI; NORTH VIETNAM; OUANE; PAK SANE; SEATO; THA THOM; USSR; XIENG KHOUANG PROVINCE,NAM BAC || Location || LUANG PRABANG PATHET LAO BOUN OUM GOVERNMENT KHAM KONG MUONG SAI NORTH VIETNAM OUANE PAK SANE SEATO THA THOM || A village whose loss increases the threat to Luang Prabang. A post in Laos where supplies were airdropped by Soviet forces. Area in Vietnam Area in Laos from which troops are heading toward Luang Prabang,False
NEW DELHI,NEW DELHI,4,4,4,Location,Location,New Delhi,"location where the World Health Organization will convene; Capital of India, involved in relations with Nepal; Capital of India, involved in border talks with China.; Location of the Indian government with reservations about Mahendra’s rule.",PEIPING; COMMUNIST CHINA; CONGRESS PARTY; NEHRU; GIZENGA REGIME; LEOPOLDVILLE GOVERNMENT; NATIONALIST CHINA; PAKISTAN; SOUVANNA; USSR; WORLD HEALTH ORGANIZATION; MAHENDRA,"NEW DELHI || Location || PEIPING COMMUNIST CHINA CONGRESS PARTY NEHRU GIZENGA REGIME LEOPOLDVILLE GOVERNMENT NATIONALIST CHINA PAKISTAN SOUVANNA USSR || location where the World Health Organization will convene Capital of India, involved in relations with Nepal Capital of India, involved in border talks with China. Location of the Indian government with reservations about Mahendra’s rule.",False
PHONG SALY PROVINCE,PHONG SALY PROVINCE,4,4,4,Location,Location,Phong Saly Province,A province in Laos where an administrative committee may be established.; Location from which Pathet Lao reinforcements might come.; A province in Laos where separate identities exist between different military groups.; Another location where Soviet airlift operations occurred.,PATHET LAO; SOUVANNA PHOUMA; XIENG KHOUANG; COMMUNIST CHINA; MUONG SAI; BOUN OUM; FRENCH; FRENCH AMBASSADOR FALAIZE; KHAMSOUK KEOLA; KONG LE; LAOS; SAM NEUA PROVINCE,PHONG SALY PROVINCE || Location || PATHET LAO SOUVANNA PHOUMA XIENG KHOUANG COMMUNIST CHINA MUONG SAI BOUN OUM FRENCH FRENCH AMBASSADOR FALAIZE KHAMSOUK KEOLA KONG LE || A province in Laos where an administrative committee may be established. Location from which Pathet Lao reinforcements might come. A province in Laos where separate identities exist between different military groups. Another location where Soviet airlift operations occurred.,False
PRIME MINISTER QASIM,PRIME MINISTER QASIM,4,4,4,Person,Person,Prime Minister Qasim,Iraqi Prime Minister whose actions prompted a general strike in Mosul.; Iraqi Prime Minister addressed in the appeal by the World Federation of Trade Unions; Prime Minister of Iraq dealing with protests and unrest.; Iraqi Prime Minister involved in negotiations with IPC.,MOSUL; ANTI-COMMUNIST TEACHERS; BURMA; COMMUNIST CHINA; COMMUNIST ELEMENTS; HUNZA; INDIA; IRAQI MILITARY COURTS; KARAKORAM MOUNTAIN RANGE; NEPAL; PAKISTAN; PEIPING,PRIME MINISTER QASIM || Person || MOSUL ANTI-COMMUNIST TEACHERS BURMA COMMUNIST CHINA COMMUNIST ELEMENTS HUNZA INDIA IRAQI MILITARY COURTS KARAKORAM MOUNTAIN RANGE NEPAL || Iraqi Prime Minister whose actions prompted a general strike in Mosul. Iraqi Prime Minister addressed in the appeal by the World Federation of Trade Unions Prime Minister of Iraq dealing with protests and unrest. Iraqi Prime Minister involved in negotiations with IPC.,False
SOVIET BLOC,SOVIET BLOC,4,4,4,Organization; PoliticalGroup,PoliticalGroup,Soviet bloc,"Group that has criticized the Albanian regime.; Political alliance that Trujillo is seeking ties with.; Group with cordial relations with Iraq.; Group of countries aligned with the Soviet Union, involved in discussions with Albania",ALBANIA; CHINA; PEIPING; TIRANA; SOVIET UNION; ALBANIAN WORKERS (COMMUNIST) PARTY; EAST GERMANY; ENVER HOXHA; TUNISIA; USSR; CATHOLIC CHURCH; CENTRAL BANK,"SOVIET BLOC || Organization PoliticalGroup || ALBANIA CHINA PEIPING TIRANA SOVIET UNION ALBANIAN WORKERS (COMMUNIST) PARTY EAST GERMANY ENVER HOXHA TUNISIA USSR || Group that has criticized the Albanian regime. Political alliance that Trujillo is seeking ties with. Group with cordial relations with Iraq. Group of countries aligned with the Soviet Union, involved in discussions with Albania",False
TAIPEI,TAIPEI,4,4,4,Location,Location,Taipei,"Location where the Nationalist irregulars were evacuated to.; Capital of Taiwan, associated with the Chinese Nationalists.; Capital city of Taiwan.; The capital of Taiwan, involved in the evacuation of irregulars.",FRANCE; NORTH VIETNAM; THAILAND; UNITED STATES; ALGERIAN PROVISIONAL GOVERNMENT (PAG); BURMESE GOVERNMENT; NATIONALIST IRREGULARS; PRESIDENT DIEM; SOUTH VIETNAM; CHEN YI; CHIANG KAI-SHEK; CHOU EN-LAI,"TAIPEI || Location || FRANCE NORTH VIETNAM THAILAND UNITED STATES ALGERIAN PROVISIONAL GOVERNMENT (PAG) BURMESE GOVERNMENT NATIONALIST IRREGULARS PRESIDENT DIEM SOUTH VIETNAM CHEN YI || Location where the Nationalist irregulars were evacuated to. Capital of Taiwan, associated with the Chinese Nationalists. Capital city of Taiwan. The capital of Taiwan, involved in the evacuation of irregulars.",False
TANANARIVE,TANANARIVE,4,4,4,Location,Location,Tananarive,Location from which Kasavubu is expected to return.; Location of the conference of Congolese leaders.; Location mentioned in relation to Manzikala's travel.; Location of the conference of Congolese leaders,KASAVUBU; HAMMARSKJOLD; LEOPOLDVILLE; TSHOMBÉ; BOMBOKO; COMMUNIST CHINA; DELVAUX; ELISABETHVILLE; KIBWE; LEOPOLDVILLE GOVERNMENT; LOWER CONGO; MCKEOWN,TANANARIVE || Location || KASAVUBU HAMMARSKJOLD LEOPOLDVILLE TSHOMBÉ BOMBOKO COMMUNIST CHINA DELVAUX ELISABETHVILLE KIBWE LEOPOLDVILLE GOVERNMENT || Location from which Kasavubu is expected to return. Location of the conference of Congolese leaders. Location mentioned in relation to Manzikala's travel. Location of the conference of Congolese leaders,False
TREASURY DEPARTMENT,TREASURY DEPARTMENT,4,4,4,Organization,Organization,Treasury Department,The U.S. federal department responsible for managing government revenue.; U.S. government department mentioned in the context of national security; U.S. government department responsible for financial matters; The U.S. department responsible for managing government revenue.,DEPARTMENT OF STATE; ATOMIC ENERGY COMMISSION; DEPARTMENT OF DEFENSE; EXECUTIVE OFFICES OF THE WHITE HOUSE; FEDERAL BUREAU OF INVESTIGATION; NATIONAL INDICATIONS CENTER; NATIONAL SECURITY AGENCY; ALDO MORO; CHRISTIAN DEMOCRATIC PARTY; COMMUNISTS; FANFANI; GIOVANNI MALAGODI,TREASURY DEPARTMENT || Organization || DEPARTMENT OF STATE ATOMIC ENERGY COMMISSION DEPARTMENT OF DEFENSE EXECUTIVE OFFICES OF THE WHITE HOUSE FEDERAL BUREAU OF INVESTIGATION NATIONAL INDICATIONS CENTER NATIONAL SECURITY AGENCY ALDO MORO CHRISTIAN DEMOCRATIC PARTY COMMUNISTS || The U.S. federal department responsible for managing government revenue. U.S. government department mentioned in the context of national security U.S. government department responsible for financial matters The U.S. department responsible for managing government revenue.,False
TYURA TAM,TYURA TAM,4,4,4,Location,Location,Tyura Tam,Location in the USSR for launching a space vehicle.; Location in the USSR where space vehicle launching preparations are taking place.; Launch site in the USSR; The site from which an ICBM test vehicle was launched.,USSR; DE GAULLE; FERHAT ABBAS; KING MOHAMED V; LEOPOLDVILLE GROUP; LUMUMBA REGIME; MOROCCO; PHILIPPINES; SEATO; STANLEYVILLE; BRAZIL; CAMEROONS,TYURA TAM || Location || USSR DE GAULLE FERHAT ABBAS KING MOHAMED V LEOPOLDVILLE GROUP LUMUMBA REGIME MOROCCO PHILIPPINES SEATO STANLEYVILLE || Location in the USSR for launching a space vehicle. Location in the USSR where space vehicle launching preparations are taking place. Launch site in the USSR The site from which an ICBM test vehicle was launched.,False
UNITED KINGDOM,UNITED KINGDOM,4,4,4,Country,Country,United Kingdom,Another leading Western nation criticized for its response to South Africa's actions.; Country mentioned in relation to mutual defense treaty with Libya.; country involved in negotiations regarding Laos; Country involved in discussions regarding Laos.,UNITED STATES; FRANCE; SOVIET UNION; DOMINICAN REPUBLIC; GENERALISSIMO TRUJILLO; NIGERIA; PRIME MINISTER BALEWA; SOUTH AFRICA; USSR; ALGERIAN REBELS; FRENCH MILITARY; LIBYA,UNITED KINGDOM || Country || UNITED STATES FRANCE SOVIET UNION DOMINICAN REPUBLIC GENERALISSIMO TRUJILLO NIGERIA PRIME MINISTER BALEWA SOUTH AFRICA USSR ALGERIAN REBELS || Another leading Western nation criticized for its response to South Africa's actions. Country mentioned in relation to mutual defense treaty with Libya. country involved in negotiations regarding Laos Country involved in discussions regarding Laos.,False
US EMBASSY,US EMBASSY,4,4,4,Organization,Organization,US Embassy; US embassy,"Embassy of the United States located in Brussels, Belgium.; The diplomatic mission of the United States in El Salvador.; Embassy of the United States located in Leopoldville.; Diplomatic mission of the United States in Warsaw.",BELGIUM; CUBAN NATIONAL DAY; FROL KOZLOV; KHRUSHCHEV; KING BAUDOUIN; LABOR UNION LEADERS; PREMIER EYSKENS; SOCIALIST PARTY; SOVIET PARTY CENTRAL COMMITTEE; WALLOON REGIONS; CHILE; COL. CASTILLO NAVARRETE,"US EMBASSY || Organization || BELGIUM CUBAN NATIONAL DAY FROL KOZLOV KHRUSHCHEV KING BAUDOUIN LABOR UNION LEADERS PREMIER EYSKENS SOCIALIST PARTY SOVIET PARTY CENTRAL COMMITTEE WALLOON REGIONS || Embassy of the United States located in Brussels, Belgium. The diplomatic mission of the United States in El Salvador. Embassy of the United States located in Leopoldville. Diplomatic mission of the United States in Warsaw.",False
WARSAW,WARSAW,4,4,4,Location,Location,Warsaw,"City where Averky Aristov was appointed ambassador.; Location where Polish officials expressed their opposition.; Capital city of Poland, reported site of demonstrations.; Capital of Poland, where US embassy construction was taking place.",MOSCOW; AVERKY ARISTOV; DMITRY POLYANSKY; FROL KOZLOV; GENNADY VORONOV; PETR ABRASIMOV; RSFSR BUREAU; BRITISH; CHINA; FRANCE; INDIAN CHAIRMAN OF THE ICC; KING SAVANG,"WARSAW || Location || MOSCOW AVERKY ARISTOV DMITRY POLYANSKY FROL KOZLOV GENNADY VORONOV PETR ABRASIMOV RSFSR BUREAU BRITISH CHINA FRANCE || City where Averky Aristov was appointed ambassador. Location where Polish officials expressed their opposition. Capital city of Poland, reported site of demonstrations. Capital of Poland, where US embassy construction was taking place.",False
WEST BERLIN,WEST BERLIN,4,4,4,Location,Location,West Berlin,Location where Mayor Brandt is optimistic about East German actions.; Location where churchmen are allowed to attend services.; Location discussed in the context of a peace treaty and guarantees.; City proposed to be transformed into a free city as per the agreement.,EAST GERMANY; GIZENGA; ULBRICHT; BONN; CHANG MYON GOVERNMENT; KASAVUBU/MOBUTU GOVERNMENT; LONDON; NASIR; NORTH KOREA; TSHOMBE REGIME; UAR NATIONAL ASSEMBLY; WEST GERMAN FOREIGN MINISTRY,WEST BERLIN || Location || EAST GERMANY GIZENGA ULBRICHT BONN CHANG MYON GOVERNMENT KASAVUBU/MOBUTU GOVERNMENT LONDON NASIR NORTH KOREA TSHOMBE REGIME || Location where Mayor Brandt is optimistic about East German actions. Location where churchmen are allowed to attend services. Location discussed in the context of a peace treaty and guarantees. City proposed to be transformed into a free city as per the agreement.,False
AUSTRIA,AUSTRIA,4,3,4,Country,Country,Austria,Country involved in talks with Italy over South Tirol.; Country involved in negotiations regarding South Tirol.; Country where Raab served as Chancellor.; EFTA country interested in an agreement with the EEC.,ITALY; SOUTH KOREA; ARAB LEAGUE; CEYLON; CONGO; DOMINICAN REPUBLIC; KHRUSHCHEV; KOSYGIN; PHOU KHOUN; TRUJILLO; UN GENERAL ASSEMBLY; USSR,AUSTRIA || Country || ITALY SOUTH KOREA ARAB LEAGUE CEYLON CONGO DOMINICAN REPUBLIC KHRUSHCHEV KOSYGIN PHOU KHOUN TRUJILLO || Country involved in talks with Italy over South Tirol. Country involved in negotiations regarding South Tirol. Country where Raab served as Chancellor. EFTA country interested in an agreement with the EEC.,False
BAGHDAD,BAGHDAD,4,3,4,Location,Location,Baghdad,City in Iraq where North Vietnam is allowed to open a trade post.; Capital city of Iraq where the strike is occurring.; Capital of Iraq where demonstrations are occurring.; Capital of Iraq experiencing demonstrations and unrest.,IRAQ; BURMA; CAMBODIA; CUBA; GUINEA; INDIA; INDONESIA; MALI; MOROCCO; NIGERIA; NORTH VIETNAM; RANGOON,BAGHDAD || Location || IRAQ BURMA CAMBODIA CUBA GUINEA INDIA INDONESIA MALI MOROCCO NIGERIA || City in Iraq where North Vietnam is allowed to open a trade post. Capital city of Iraq where the strike is occurring. Capital of Iraq where demonstrations are occurring. Capital of Iraq experiencing demonstrations and unrest.,False
CHOU EN-LAI,CHOU EN-LAI,4,3,4,Person,Person,Chou En-lai,Chinese leader involved in the Sino-Burmese boundary question.; Top foreign policy official of Communist China.; Chinese leader who invited Nehru to Peiping.; Chinese leader involved in the Sino-Indian border dispute.,BURMA; COMMUNIST CHINA; BHUTAN; MOSCOW; NEHRU; PEIPING; SIKKIM; LAOS; NORTH VIETNAM; CHEN YI; CHIANG KAI-SHEK; IKEDA,CHOU EN-LAI || Person || BURMA COMMUNIST CHINA BHUTAN MOSCOW NEHRU PEIPING SIKKIM LAOS NORTH VIETNAM CHEN YI || Chinese leader involved in the Sino-Burmese boundary question. Top foreign policy official of Communist China. Chinese leader who invited Nehru to Peiping. Chinese leader involved in the Sino-Indian border dispute.,False
COMMITTEE OF NATIONAL UNION,COMMITTEE OF NATIONAL UNION,4,3,4,PoliticalGroup,PoliticalGroup,Committee of National Union,The ruling political group in Turkey at the time.; Military regime that overthrew the Menderes government.; Ruling military junta in Turkey.; A political group involved in the transition to civil control.,ALICAN; TURKEY; ANGOLA; REPUBLICAN PEOPLES PARTY; BOUN OUM GOVERNMENT; KONG LE/PATHET LAO FORCES; PHOUMI FORCES; SINO-SOVIET BLOC; UNITED STATES; BELGIUM; BRUSSELS; EGYPTIAN NATIONAL BANK,COMMITTEE OF NATIONAL UNION || PoliticalGroup || ALICAN TURKEY ANGOLA REPUBLICAN PEOPLES PARTY BOUN OUM GOVERNMENT KONG LE/PATHET LAO FORCES PHOUMI FORCES SINO-SOVIET BLOC UNITED STATES BELGIUM || The ruling political group in Turkey at the time. Military regime that overthrew the Menderes government. Ruling military junta in Turkey. A political group involved in the transition to civil control.,False
COMMON MARKET,COMMON MARKET,4,3,4,Organization,Organization,Common Market,Economic organization discussing confederation.; Economic organization affected by De Gaulle's proposals; An economic organization involved in a treaty with Greece.; Economic organization related to the EEC.,USSR; GREECE; ANGOLA; AVERKY ARISTOV; BRAZIL; BURMA; COLOMBIA; CONGO; EAST GERMANY; IRAN; IZVESTIA; LAOS,COMMON MARKET || Organization || USSR GREECE ANGOLA AVERKY ARISTOV BRAZIL BURMA COLOMBIA CONGO EAST GERMANY IRAN || Economic organization discussing confederation. Economic organization affected by De Gaulle's proposals An economic organization involved in a treaty with Greece. Economic organization related to the EEC.,False
ETHIOPIA,ETHIOPIA,4,3,4,Country,Country,Ethiopia,Country involved in border clashes with Somalia.; Experiencing political turmoil under Emperor Haile Selassie.; Country in the Horn of Africa; A country in the Horn of Africa involved in conflicts with the Somali Republic.,UAR; SOMALI REPUBLIC; ANICET KASHAMURA; BUKAVU; CAIRO; JEAN BOLIKANGO; KASAVUBU; KIMBA; KIVU PROVINCE; SOMALI ARMY; TSHOMBÉ; ARAB LEAGUE,ETHIOPIA || Country || UAR SOMALI REPUBLIC ANICET KASHAMURA BUKAVU CAIRO JEAN BOLIKANGO KASAVUBU KIMBA KIVU PROVINCE SOMALI ARMY || Country involved in border clashes with Somalia. Experiencing political turmoil under Emperor Haile Selassie. Country in the Horn of Africa A country in the Horn of Africa involved in conflicts with the Somali Republic.,False
FROL KOZLOV,FROL KOZLOV,4,3,4,Person,Person,Frol Kozlov,Member of the Soviet party presidium and secretariat.; Khrushchev's principal party aide on the RSFSR party organization.; Party secretary marked to succeed Khrushchev.; A member of the party presidium and second-in-command to Khrushchev.,KHRUSHCHEV; AVERKY ARISTOV; DMITRY POLYANSKY; BELGIUM; CUBAN NATIONAL DAY; KING BAUDOUIN; LABOR UNION LEADERS; PREMIER EYSKENS; SOCIALIST PARTY; SOVIET PARTY CENTRAL COMMITTEE; US EMBASSY; WALLOON REGIONS,FROL KOZLOV || Person || KHRUSHCHEV AVERKY ARISTOV DMITRY POLYANSKY BELGIUM CUBAN NATIONAL DAY KING BAUDOUIN LABOR UNION LEADERS PREMIER EYSKENS SOCIALIST PARTY SOVIET PARTY CENTRAL COMMITTEE || Member of the Soviet party presidium and secretariat. Khrushchev's principal party aide on the RSFSR party organization. Party secretary marked to succeed Khrushchev. A member of the party presidium and second-in-command to Khrushchev.,False
GENERAL NE WIN,GENERAL NE WIN,4,3,4,Person,Person,General Ne Win,"Military leader in Burma, under pressure to take control of the government.; Senior military officer in Burma; Leader of the Burmese Army.; The leader of Burma during the time of the military shake-up.",BURMA; PAKISTAN; BRIGADIER MAUNG MAUNG; ALGERIA; AYUB KHAN; CZECHOSLOVAKIA; ECUADOR; FRANCE; INDIA; JOSE CHIRIBOGA; LOUIS JOXE; PREMIER NU,"GENERAL NE WIN || Person || BURMA PAKISTAN BRIGADIER MAUNG MAUNG ALGERIA AYUB KHAN CZECHOSLOVAKIA ECUADOR FRANCE INDIA JOSE CHIRIBOGA || Military leader in Burma, under pressure to take control of the government. Senior military officer in Burma Leader of the Burmese Army. The leader of Burma during the time of the military shake-up.",False
GIZENGA REGIME,GIZENGA REGIME,4,3,4,Government; PoliticalGroup,Government,Gizenga regime,regime in Stanleyville that would not abandon military efforts; Regime in the Congo associated with political maneuvering.; Regime expected to insist on parliamentary procedures; The political regime led by Gizenga.,USSR; COMMUNIST CHINA; LEOPOLDVILLE GOVERNMENT; NATIONALIST CHINA; NEW DELHI; PAKISTAN; PEIPING; SOUVANNA; WORLD HEALTH ORGANIZATION; ANGOLAN PEOPLES UNION (UPA); CONGOLESE FACTIONS; GENERAL LUNDULA,GIZENGA REGIME || Government PoliticalGroup || USSR COMMUNIST CHINA LEOPOLDVILLE GOVERNMENT NATIONALIST CHINA NEW DELHI PAKISTAN PEIPING SOUVANNA WORLD HEALTH ORGANIZATION ANGOLAN PEOPLES UNION (UPA) || regime in Stanleyville that would not abandon military efforts Regime in the Congo associated with political maneuvering. Regime expected to insist on parliamentary procedures The political regime led by Gizenga.,False
KENYA,KENYA,4,3,4,Country,Country,Kenya,Country from which additional battalion could be airlifted; Country receiving financial support from UAR.; Country where leaders are concerned about potential violence; Country experiencing delays in government formation.,HAMMARSKJOLD; AHIDJO; BRITAIN; CAMEROUN; NIGERIA; UNION OF THE CAMEROONS POPULATIONS; UNITED STATES AIR FORCE; UNITED STATES ARMY; UNITED STATES MARINE CORPS; UNITED STATES NAVY; BRAZIL; CUBA,KENYA || Country || HAMMARSKJOLD AHIDJO BRITAIN CAMEROUN NIGERIA UNION OF THE CAMEROONS POPULATIONS UNITED STATES AIR FORCE UNITED STATES ARMY UNITED STATES MARINE CORPS UNITED STATES NAVY || Country from which additional battalion could be airlifted Country receiving financial support from UAR. Country where leaders are concerned about potential violence Country experiencing delays in government formation.,False
PEOPLES DAILY,PEOPLES DAILY,4,3,4,Document; Organization,Organization,People's Daily,a publication that announced a relief campaign for Shantung; Publication that broadcast an editorial attacking US intervention in Laos.; Chinese newspaper reflecting the views of the Chinese government.; Publication that issued an editorial reflecting Peiping's reduced import capabilities.,KING SAVANG; LAOS; SOUVANNA PHOUMA; AMERICAN CONSULATE GENERAL IN HONG KONG; COLOMBIAN FOREIGN MINISTER TURBAY; KWANGTUNG; MEXICAN FOREIGN MINISTER TELLO; ORGANIZATION OF AMERICAN STATES (OAS); SHANTUNG; BOUN OUM GOVERNMENT; FRENCH EMBASSY; PATHET LAO,PEOPLES DAILY || Document Organization || KING SAVANG LAOS SOUVANNA PHOUMA AMERICAN CONSULATE GENERAL IN HONG KONG COLOMBIAN FOREIGN MINISTER TURBAY KWANGTUNG MEXICAN FOREIGN MINISTER TELLO ORGANIZATION OF AMERICAN STATES (OAS) SHANTUNG BOUN OUM GOVERNMENT || a publication that announced a relief campaign for Shantung Publication that broadcast an editorial attacking US intervention in Laos. Chinese newspaper reflecting the views of the Chinese government. Publication that issued an editorial reflecting Peiping's reduced import capabilities.,False
PORTUGUESE GOVERNMENT,PORTUGUESE GOVERNMENT,4,3,4,Government,Government,Portuguese Government,"The government of Portugal.; The government of Portugal concerned about the Santa Maria seizure.; Government involved in the Santa Maria incident.; Government of Portugal, making announcements regarding Angola.",HENRIQUE GALVAO; BRAZIL; LISBON; SALAZAR REGIME; KAPUSTIN YAR MISSILE TEST RANGE; KARAMANLIS GOVERNMENT; PRESIDENT BETANCOURT; SALAZARS NATIONAL UNION; SARY SHAGAN TEST COMPLEX; USSR; VENEZUELAN GOVERNMENT; CAPE VERDE ISLANDS,"PORTUGUESE GOVERNMENT || Government || HENRIQUE GALVAO BRAZIL LISBON SALAZAR REGIME KAPUSTIN YAR MISSILE TEST RANGE KARAMANLIS GOVERNMENT PRESIDENT BETANCOURT SALAZARS NATIONAL UNION SARY SHAGAN TEST COMPLEX USSR || The government of Portugal. The government of Portugal concerned about the Santa Maria seizure. Government involved in the Santa Maria incident. Government of Portugal, making announcements regarding Angola.",False
