original_normalized_label,canonical_label,canonical_key,method,confidence,mention_count,doc_count,entity_type,surface_forms,sample_context
NEW YORK TIMES,NEW YORK TIMES,CANONICAL_ENTITY:NEW_YORK_TIMES,multi_sense_label,1.0,7,7,Organization,New York Times,Media outlet reporting on French-Moroccan relations. || Newspaper that published an editorial quoted by the Swedish ambassador. || News organization reporting on Saudi Arabia's arms negotiations.
ORBIT,ORBIT,CANONICAL_ENTITY:ORBIT,multi_sense_label,1.0,7,7,Other,Orbit,Refers to a bloc or group related to the shipment of tank engines || Refers to a group of countries involved in petroleum exports. || Refers to the Soviet sphere of influence.
PAK CHONG HUI,PAK CHONG HUI (COUP BULLETIN AGAINST),CANONICAL_ENTITY:PAK_CHONG_HUI_COUP_BULLETIN_AGAINST,a3_single_cluster_self,1.0,7,7,Person,Pak Chong-hui,Major General leading another group of officers considering a coup. || Major General court-martialed in 1948 and later pardoned due to his war record. || Major General and driving force in the revolutionary group.
PAK SANE,PAK SANE (PATHET BULLETIN PRABANG),CANONICAL_ENTITY:PAK_SANE_PATHET_BULLETIN_PRABANG,a3_single_cluster_self,1.0,7,7,Location,Pak Sane,Area in Laos near military activities || Location of Kham Kong's headquarters. || A location south of Tha Thom.
PIETRO NENNI,PIETRO NENNI (BULLETIN INTELLIGENCE POLITICAL),CANONICAL_ENTITY:PIETRO_NENNI_BULLETIN_INTELLIGENCE_POLITICAL,a3_single_cluster_self,1.0,7,7,Person,Pietro Nenni,Leader of the philo-Communist Italian Socialists. || Vice-chairman of the World Peace Council || head of the Italian Socialist Party
PLASTIRAS,PLASTIRAS (BULLETIN VENIZELOS PAPAGOS),CANONICAL_ENTITY:PLASTIRAS_BULLETIN_VENIZELOS_PAPAGOS,a3_single_cluster_self,1.0,7,7,Person,Plastiras,A political figure with leftist views mentioned in relation to government instability. || A political figure in Greece whose potential disappearance may affect the amnesty program. || Prime Minister of Greece whose health is mentioned as affecting political dynamics.
POLISH COMMUNIST PARTY,POLISH COMMUNIST PARTY,CANONICAL_ENTITY:POLISH_COMMUNIST_PARTY,multi_sense_label,1.0,7,7,PoliticalGroup,Polish Communist Party,The ruling party in Poland during the time of the indictment. || Political group that may be strengthened by Popov's appointment. || Political party in Poland with factions including liberals and Stalinists.
PRESIDENT AURIOL,AURIOL,CANONICAL_ENTITY:AURIOL,accept_rule,1.0,7,7,Person,President Auriol,President of France during the time of the report. || The President of France attempting to resolve a government crisis. || President who summoned Soustelle for a conference.
PRESIDENT IBANEZ,IBANEZ,CANONICAL_ENTITY:IBANEZ,accept_rule,1.0,7,7,Person,President Ibanez,Chilean president approving a new copper sales corporation. || Chilean President insisting on not selling copper to the Orbit. || President of Chile
PRIME MINISTER,PRIME MINISTER (BULLETIN US INTELLIGENCE),CANONICAL_ENTITY:PRIME_MINISTER_BULLETIN_US_INTELLIGENCE,a3_single_cluster_self,1.0,7,7,Person,Prime Minister,The Prime Minister of South Korea expressing concerns about US interests. || The Prime Minister of Pakistan who was assassinated. || Australian Prime Minister discussing troop commitment.
PRIME MINISTER NOON,PRIME MINISTER NOON (PAKISTAN BULLETIN MIRZA),CANONICAL_ENTITY:PRIME_MINISTER_NOON_PAKISTAN_BULLETIN_MIRZA,a3_single_cluster_self,1.0,7,7,Person,Prime Minister Noon,Pakistani Prime Minister who made statements on Kashmir. || Prime Minister of West Pakistan leading the Republican party. || Pakistani Prime Minister insisting on negotiations for light bombers.
PRIME MINISTER YOSHIDA,PRIME MINISTER YOSHIDA (INTELLIGENCE BULLETIN ALLISON),CANONICAL_ENTITY:PRIME_MINISTER_YOSHIDA_INTELLIGENCE_BULLETIN_ALLISON,a3_single_cluster_self,1.0,7,7,Person,Prime Minister Yoshida,"Prime Minister of Japan, involved in discussions regarding peace treaty with China. || Japanese Prime Minister who postponed retaliatory measures against South Korea || The Prime Minister of Japan, involved in the issue of war criminals."
PROVISIONAL ALGERIAN GOVERNMENT,PROVISIONAL ALGERIAN GOVERNMENT,CANONICAL_ENTITY:PROVISIONAL_ALGERIAN_GOVERNMENT,multi_sense_label,1.0,7,7,PoliticalGroup,Provisional Algerian Government,Government representing Algerian interests || Government representing Algerian rebels. || Rebel group involved in negotiations and discussions.
REPUBLICANS,REPUBLICANS,CANONICAL_ENTITY:REPUBLICANS,multi_sense_label,1.0,7,7,PoliticalGroup,Republicans,Political group participating in the movement to create a political alternative. || A political group in Pakistan. || Political group in Italy involved in cabinet negotiations.
RHEE REGIME,RHEE REGIME,CANONICAL_ENTITY:RHEE_REGIME,multi_sense_label,1.0,7,7,Government,Rhee regime,Government of South Korea under President Rhee || Former regime in South Korea || The former government in South Korea that is alleged to have diverted funds.
RICARDO ARIAS,RICARDO ARIAS (GUIZADO GUARD SATURNINO),CANONICAL_ENTITY:RICARDO_ARIAS_GUIZADO_GUARD_SATURNINO,a3_single_cluster_self,1.0,7,7,Person,Ricardo Arias,"Pro-US vice president and foreign minister of Panama. || Vice president and foreign minister of Panama, would legally become president after Guizado's ousting. || President of Panama during the coup attempt."
RIO DE JANEIRO,RIO DE JANEIRO (BULLETIN 1954 BRAZIL),CANONICAL_ENTITY:RIO_DE_JANEIRO_BULLETIN_1954_BRAZIL,a3_single_cluster_self,1.0,7,7,Location,Rio de Janeiro,Location of the scheduled meeting on 13 March || City where the American embassy reported on Brazil's stance. || The area where the army generals are on duty.
RIYADH,RIYADH (ARABIA SYRIA EGYPT),CANONICAL_ENTITY:RIYADH_ARABIA_SYRIA_EGYPT,a3_single_cluster_self,1.0,7,7,Location,Riyadh,"Capital of Saudi Arabia. || Location where military representatives are invited to meet. || Location of the meeting of chiefs of state from Egypt, Syria, Saudi Arabia, and Jordan."
ROBERT LACOSTE,ROBERT LACOSTE (BULLETIN IS FRENCH),CANONICAL_ENTITY:ROBERT_LACOSTE_BULLETIN_IS_FRENCH,a3_single_cluster_self,1.0,7,7,Person,Robert Lacoste,Socialist associated with the new bloc in the National Assembly. || Minister Residing in Algeria who recommended a plan for economic and military efforts. || French minister residing in Algeria advocating for 'pacification first.'
ROJAS,ROJAS (BULLETIN INTELLIGENCE COUP),CANONICAL_ENTITY:ROJAS_BULLETIN_INTELLIGENCE_COUP,a3_single_cluster_self,1.0,7,7,Person,Rojas,Conservative president of Colombia whose government is facing opposition. || Vice President of Argentina facing ousting || Colombian president
ROMANIA,ROMANIA (COUNTRY BULLETIN POLAND),CANONICAL_ENTITY:ROMANIA_COUNTRY_BULLETIN_POLAND,a3_single_cluster_self,1.0,7,7,Country,Romania,Country mentioned in relation to military strength increase. || Country whose Communist Party first secretary is part of the high-level delegation to Peiping's anniversary celebration. || Country whose proposals Greece is likely to respond favorably to.
SABRI AL ASALI,SABRI AL ASALI (SYRIA BULLETIN RESURRECTION),CANONICAL_ENTITY:SABRI_AL_ASALI_SYRIA_BULLETIN_RESURRECTION,a3_single_cluster_self,1.0,7,7,Person,Sabri al Asali; Sabri al-Asali,Head of Syria's new cabinet || Prime Minister of Syria heading the new cabinet. || Prime Minister of Syria.
SAUDI GOVERNMENT,SAUDI GOVERNMENT,CANONICAL_ENTITY:SAUDI_GOVERNMENT,multi_sense_label,1.0,7,7,Government,Saudi government; Saudi Government,Government of Saudi Arabia. || Government of Saudi Arabia || The governing body of Saudi Arabia seeking solutions to economic problems.
SCELBA GOVERNMENT,SCELBA GOVERNMENT,CANONICAL_ENTITY:SCELBA_GOVERNMENT,multi_sense_label,1.0,7,7,Government,Scelba government,The government led by Premier Scelba in Italy. || Italian government facing political challenges || Italian government considering the Trieste settlement.
SHELL OIL COMPANY,SHELL OIL COMPANY,CANONICAL_ENTITY:SHELL_OIL_COMPANY,multi_sense_label,1.0,7,7,Organization,Shell Oil Company; Shell oil company,Company associated with the Dutch attorney who refused to represent Iran. || Company to which Israel has sterling obligations. || Oil company involved in bunkering operations
SIMBOLON,COLONEL SIMBOLON,CANONICAL_ENTITY:COLONEL_SIMBOLON,accept_rule,1.0,7,7,Person,Simbolon,An army faction leader supported by other factions. || Col. and popular territorial commander of North Sumatra || Rebel commander in North Sumatra
SOFIA,SOFIA (BULLETIN BULGARIA 1952),CANONICAL_ENTITY:SOFIA_BULLETIN_BULGARIA_1952,a3_single_cluster_self,1.0,7,7,Location,Sofia,"Capital of Bulgaria, part of the First Army District. || The location of the conference attended by representatives from the USSR and European Satellites. || Capital of Bulgaria where discussions took place."
SOVIET AUTHORITIES,SOVIET AUTHORITIES,CANONICAL_ENTITY:SOVIET_AUTHORITIES,multi_sense_label,1.0,7,7,Government,Soviet authorities; Soviet Authorities,Governmental body exerting pressure on West Berlin officials. || The authorities from the Soviet Union demanding certificates from West Berlin. || The governing body of the Soviet Union.
SOVIET OFFICIALS,SOVIET OFFICIALS,CANONICAL_ENTITY:SOVIET_OFFICIALS,multi_sense_label,1.0,7,7,Government,Soviet officials,Officials representing the Soviet Union. || Officials from the Soviet Union involved in the Berlin air-lift situation || Officials from the Soviet Union.
SOVIET TROOPS,SOVIET TROOPS,CANONICAL_ENTITY:SOVIET_TROOPS,multi_sense_label,1.0,7,7,Military,Soviet troops; Soviet Troops,Military units of the Soviet Union || Military force intervening in East Berlin uprising || Soviet military forces observed in East Germany.
STEVENSON,AMBASSADOR STEVENSON,CANONICAL_ENTITY:AMBASSADOR_STEVENSON,accept_rule,1.0,7,7,Person,Stevenson,Britain's Ambassador presenting new credentials. || British ambassador involved in the negotiations. || British ambassador in Cairo who expressed discouragement over Suez negotiations.
TRIPOLITANIA,TRIPOLITANIA (LIBYA BULLETIN CYRENAICA),CANONICAL_ENTITY:TRIPOLITANIA_LIBYA_BULLETIN_CYRENAICA,a3_single_cluster_self,1.0,7,7,Location,Tripolitania,"Region in Libya where the Emir received a hostile reception. || Heavily populated province in Libya containing the US air base, Wheelus Field. || More populous province in Libya with an important US airbase."
UN TRUCE SUPERVISORY ORGANIZATION,UN TRUCE SUPERVISORY ORGANIZATION,CANONICAL_ENTITY:UN_TRUCE_SUPERVISORY_ORGANIZATION,multi_sense_label,1.0,7,7,Organization,UN Truce Supervisory Organization; UN truce supervisory organization,Organization overseeing the truce that Israel is attempting to undermine || Organization that announced the completion of observation posts. || organization reporting on the Gaza area
UNITED FRONT,UNITED FRONT,CANONICAL_ENTITY:UNITED_FRONT,multi_sense_label,1.0,7,7,PoliticalGroup,United Front; united front,Cabinet of East Pakistan || Communist-directed group in Iraq || An opposition coalition in East Pakistan.
US DEPARTMENT OF STATE,US DEPARTMENT OF STATE,CANONICAL_ENTITY:US_DEPARTMENT_OF_STATE,multi_sense_label,1.0,7,7,Organization,US Department of State,US government department involved in foreign affairs. || US government department involved in diplomatic communications. || The federal executive department responsible for international relations.
VICTOR PAZ ESTENSSORO,VICTOR PAZ ESTENSSORO (BOLIVIA REVOLUTIONARY BULLETIN),CANONICAL_ENTITY:VICTOR_PAZ_ESTENSSORO_BOLIVIA_REVOLUTIONARY_BULLETIN,a3_single_cluster_self,1.0,7,7,Person,Victor Paz Estenssoro,presidential candidate of the National Revolutionary Movement || Nationalist Revolutionary Movement presidential candidate. || Leader of the Nationalist Revolutionary Movement.
WEST JAVA,WEST JAVA (SUKARNO BULLETIN IS),CANONICAL_ENTITY:WEST_JAVA_SUKARNO_BULLETIN_IS,a3_single_cluster_self,1.0,7,7,Location,West Java,location of the anti-Communist commander deploying troops || Region in Indonesia where Communist influence is noted. || Region from which armed gangs of Communist youths were moved into the capital.
WESTERN EUROPE,WESTERN EUROPE (BULLETIN REGION FRANCE),CANONICAL_ENTITY:WESTERN_EUROPE_BULLETIN_REGION_FRANCE,a3_single_cluster_self,1.0,7,7,Location,Western Europe,"A region that includes countries aligned with the West, particularly in the context of the Schuman Plan. || Region affected by the Abadan shutdown || Region receiving Soviet gold sales."
YUNNAN PROVINCE,YUNNAN PROVINCE (BULLETIN IS TONKIN),CANONICAL_ENTITY:YUNNAN_PROVINCE_BULLETIN_IS_TONKIN,a3_single_cluster_self,1.0,7,7,Location,Yunnan province; Yunnan Province,A province in China from which a hostile invasion could be launched. || The province in China where the road construction is taking place. || Location in China from where materials are being moved for railway restoration
ZAHIR SHAH,KING ZAHIR SHAH,CANONICAL_ENTITY:KING_ZAHIR_SHAH,accept_rule,1.0,7,7,Person,Zahir Shah,King of Afghanistan who intervened in the Afghan-Pakistani dispute. || King of Afghanistan || Afghan king
ZENGAKUREN,ZENGAKUREN,CANONICAL_ENTITY:ZENGAKUREN,multi_sense_label,1.0,7,7,PoliticalGroup,Zengakuren,Militant Communist-dominated Japanese university students' organization || Radical university students' association in Japan. || Extreme left-wing students' federation involved in demonstrations against the treaty.
ABDULGANI,ABDULGANI (BULLETIN INTELLIGENCE CENTRAL),CANONICAL_ENTITY:ABDULGANI_BULLETIN_INTELLIGENCE_CENTRAL,a3_single_cluster_self,1.0,7,6,Person,Abdulgani,Indonesian foreign minister who announced the acceptance of Soviet aid. || Foreign Minister of Indonesia. || Foreign Minister of Indonesia whose influence is increasing.
AFRO ASIAN BLOC,AFRO ASIAN BLOC,CANONICAL_ENTITY:AFRO_ASIAN_BLOC,multi_sense_label,1.0,7,6,PoliticalGroup,Afro-Asian bloc,Group considering a declaration on the Taiwan situation || A group of countries in Africa and Asia that may consider recognizing the Algerian rebel regime. || Group of countries with which Cuba intends to develop ties
AMERICAN CONSULATE GENERAL,AMERICAN CONSULATE GENERAL,CANONICAL_ENTITY:AMERICAN_CONSULATE_GENERAL,multi_sense_label,1.0,7,6,Organization,American consulate general; American Consulate General,The diplomatic mission of the United States in Singapore. || Diplomatic mission reporting on the situation in Singapore. || U.S. diplomatic mission providing reports on the situation.
ARUBA,ARUBA (LAGO BULLETIN JERSEY),CANONICAL_ENTITY:ARUBA_LAGO_BULLETIN_JERSEY,a3_single_cluster_self,1.0,7,6,Location,Aruba,Location of the Lago refinery and the workers' strike. || Location where the Governor was dismissed. || A Finnish tanker loaded with jet fuel.
BRITISH WAR OFFICE,BRITISH WAR OFFICE,CANONICAL_ENTITY:BRITISH_WAR_OFFICE,multi_sense_label,1.0,7,6,Organization,British War Office,The UK government department responsible for military operations. || British military organization predicting riots in Egypt. || British military organization assessing guerrilla warfare in Kenya.
BURMESE COMMUNIST PARTY,BURMESE COMMUNIST PARTY,CANONICAL_ENTITY:BURMESE_COMMUNIST_PARTY,multi_sense_label,1.0,7,6,PoliticalGroup,Burmese Communist Party,A political group in Burma involved in the conflict with Karen insurgents. || A political group in Burma expecting defections. || Insurgent group in Burma receiving communication from Chinese Communists.
CARLO SCHMID,CARLO SCHMID (ADENAUER BULLETIN BUNDESTAG),CANONICAL_ENTITY:CARLO_SCHMID_ADENAUER_BULLETIN_BUNDESTAG,a3_single_cluster_self,1.0,7,6,Person,Carlo Schmid,Socialist opposition spokesman mentioned in the Bundestag debate. || Leader of the opposition Social Democratic Party. || Popular candidate from the opposition party.
EDWARD OCHAB,EDWARD OCHAB (BIERUT BULLETIN SOUVANNOUVONG),CANONICAL_ENTITY:EDWARD_OCHAB_BIERUT_BULLETIN_SOUVANNOUVONG,a3_single_cluster_self,1.0,7,6,Person,Edward Ochab,Logical candidate for first secretary in Poland. || Named to succeed Bierut as Polish Party First Secretary. || First secretary of the Polish United Workers (Communist) Party
EGYPTIAN MILITARY REGIME,EGYPTIAN MILITARY REGIME,CANONICAL_ENTITY:EGYPTIAN_MILITARY_REGIME,multi_sense_label,1.0,7,6,Government,Egyptian military regime,Regime determined to destroy Wafd. || The governing body of Egypt at the time. || The ruling government in Egypt seeking economic aid.
ERIC JOHNSTON,ERIC JOHNSTON (BULLETIN ARAB INTELLIGENCE),CANONICAL_ENTITY:ERIC_JOHNSTON_BULLETIN_ARAB_INTELLIGENCE,a3_single_cluster_self,1.0,7,6,Person,Eric Johnston,A vice president of the American Christian Palestine Committee. || An individual associated with the Jordan Valley plan. || Special ambassador to the Middle East
FRENCH AUTHORITIES,FRENCH AUTHORITIES,CANONICAL_ENTITY:FRENCH_AUTHORITIES,multi_sense_label,1.0,7,6,Government,French authorities,The governing body of France. || Government officials opposing Adenauer's proposed visit. || The governing body of France involved in the situation in Tunisia.
GREEK ARMY,GREEK ARMY,CANONICAL_ENTITY:GREEK_ARMY,multi_sense_label,1.0,7,6,Military,Greek Army; Greek army,Military force in Greece concerned about political trends || Military organization expressing concern over a leftist trend in the government. || The military forces of Greece.
ISRAELI FOREIGN MINISTRY,ISRAELI FOREIGN MINISTRY,CANONICAL_ENTITY:ISRAELI_FOREIGN_MINISTRY,multi_sense_label,1.0,7,6,Organization,Israeli Foreign Ministry,The governmental body responsible for Israel's foreign affairs. || Israeli government department involved in foreign affairs || Issued a statement regarding the entry of Iraqi troops into Jordan.
KARAMANLIS GOVERNMENT,KARAMANLIS GOVERNMENT,CANONICAL_ENTITY:KARAMANLIS_GOVERNMENT,multi_sense_label,1.0,7,6,Government,Karamanlis government,The government of Greece led by Karamanlis. || Greek government under attack by the opposition || The government of Greece led by Prime Minister Karamanlis.
KING IDRIS,KING IDRIS (BULLETIN LIBYA ISRAEL),CANONICAL_ENTITY:KING_IDRIS_BULLETIN_LIBYA_ISRAEL,a3_single_cluster_self,1.0,7,6,Person,King Idris,King of Libya who welcomes American military installations in Cyrenaica. || Libyan King considering ties with the West over Arab countries. || King of Libya whose absence is a concern for Libyan unity.
KOSAKA,KOSAKA (BULLETIN TURKEY INTELLIGENCE),CANONICAL_ENTITY:KOSAKA_BULLETIN_TURKEY_INTELLIGENCE,a3_single_cluster_self,1.0,7,6,Person,Kosaka,Japanese Foreign Minister scheduled to visit South Korea. || Japanese Foreign Minister on a goodwill mission to South Korea. || Foreign Minister of Japan advocating for trade with Communist China.
KUALA LUMPUR,KUALA LUMPUR (BULLETIN MALAYA INTELLIGENCE),CANONICAL_ENTITY:KUALA_LUMPUR_BULLETIN_MALAYA_INTELLIGENCE,a3_single_cluster_self,1.0,7,6,Location,Kuala Lumpur,The location of the American Consul who believes General Templer may advocate greater American participation. || City in Malaysia where the American consulate reported on Malayan nationalists. || The city where the American consulate is located and where the election results were analyzed.
LUCERO,LUCERO (BUENOS AIRES BULLETIN),CANONICAL_ENTITY:LUCERO_BUENOS_AIRES_BULLETIN,a3_single_cluster_self,1.0,7,6,Person,Lucero,Argentine minister of the army. || individual who issued a communique warning the public || Army Minister and key figure in the junta
NATIONAL LIBERATION FRONT FLN,NATIONAL LIBERATION FRONT FLN,CANONICAL_ENTITY:NATIONAL_LIBERATION_FRONT_FLN,multi_sense_label,1.0,7,6,PoliticalGroup,National Liberation Front (FLN),Dominant nationalist organization in Algeria || Algerian political group experiencing internal dissatisfaction. || Rebel group that established a provisional Algerian government.
NATIONAL POLICE,NATIONAL POLICE,CANONICAL_ENTITY:NATIONAL_POLICE,multi_sense_label,1.0,7,6,Organization,National Police,Police force of Panama || The police force in South Korea tasked with collecting evidence. || The police force involved in the attempted assassination of the vice president.
NATIONAL UNION OF POPULAR FORCES,NATIONAL UNION OF POPULAR FORCES,CANONICAL_ENTITY:NATIONAL_UNION_OF_POPULAR_FORCES,multi_sense_label,1.0,7,6,PoliticalGroup,National Union of Popular Forces,Leftist political group in Morocco || Leftist political group in Morocco whose leaders were arrested. || Left-wing nationalist group in Morocco.
NEW YORK,NEW YORK (BULLETIN AS INTELLIGENCE),CANONICAL_ENTITY:NEW_YORK_BULLETIN_AS_INTELLIGENCE,a3_single_cluster_self,1.0,7,6,Location,New York,Location of the FBI field office that received the letter. || Potential site proposed by the Japanese government. || City where the Soviet exhibit will be opened.
OEEC,OEEC,CANONICAL_ENTITY:OEEC,multi_sense_label,1.0,7,6,Organization,OEEC,Organization for European Economic Co-operation. || The Organization for European Economic Cooperation that approved the Vanoni plan. || Organization involved in the multilateral extension of credits to Poland.
ORAN,ORAN (ALGIERS BULLETIN ALGERIA),CANONICAL_ENTITY:ORAN_ALGIERS_BULLETIN_ALGERIA,a3_single_cluster_self,1.0,7,6,Location,Oran,"a department in Algeria experiencing terrorism || City in Algeria, heavily European population || City in Algeria with less destructive rioting"
PANMUNJOM,PANMUNJOM (BULLETIN INTELLIGENCE CENTRAL),CANONICAL_ENTITY:PANMUNJOM_BULLETIN_INTELLIGENCE_CENTRAL,a3_single_cluster_self,1.0,7,6,Location,Panmunjom,Location of discussions regarding POWs || Location where negotiators are prepared to take steps toward a cease-fire agreement. || Location of preliminary talks that may be broken off
PENG TE HUAI,PENG TE HUAI (11 BULLETIN PEIPING),CANONICAL_ENTITY:PENG_TE_HUAI_11_BULLETIN_PEIPING,a3_single_cluster_self,1.0,7,6,Person,Peng Te-huai,Chinese Defense Minister mentioned in Liu's article. || Defense Minister of Communist China. || Chinese Defense Minister
PHOUI GOVERNMENT,PHOUI GOVERNMENT,CANONICAL_ENTITY:PHOUI_GOVERNMENT,multi_sense_label,1.0,7,6,Government,Phoui government,Current government of Laos with pro-US orientation. || The government of Laos led by Phoui Sananikone. || Laotian government involved in concessions to dissidents.
POPULAR RESISTANCE FORCES,POPULAR RESISTANCE FORCES,CANONICAL_ENTITY:POPULAR_RESISTANCE_FORCES,multi_sense_label,1.0,7,6,Military,Popular Resistance Forces,Forces in Iraq controlled by communists. || Communist-controlled group in Iraq || Forces controlled by the Communist Party in Iraq.
RAJESHWAR DAYAL,RAJESHWAR DAYAL (BULLETIN 1961 LUMUMBIST),CANONICAL_ENTITY:RAJESHWAR_DAYAL_BULLETIN_1961_LUMUMBIST,a3_single_cluster_self,1.0,7,6,Person,Rajeshwar Dayal,UN representative in Leopoldville. || Personal representative in the Congo whose contract is expiring. || Hammarskjold's representative in the Congo
RAWALPINDI,RAWALPINDI (PAKISTAN BULLETIN IS),CANONICAL_ENTITY:RAWALPINDI_PAKISTAN_BULLETIN_IS,a3_single_cluster_self,1.0,7,6,Location,Rawalpindi,New location for the cabinet and national capital of Pakistan. || City in Pakistan where part of the government is moving. || City in Pakistan where reports regarding negotiations were quoted.
REFORMIST PARTY,REFORMIST PARTY,CANONICAL_ENTITY:REFORMIST_PARTY,multi_sense_label,1.0,7,6,PoliticalGroup,Reformist Party,Political party in Honduras planning to unite with the Liberal Party. || one of the political parties with strength in the army || Political party with a candidate in the elections
REMORINO,REMORINO (ARGENTINA BULLETIN NUFER),CANONICAL_ENTITY:REMORINO_ARGENTINA_BULLETIN_NUFER,a3_single_cluster_self,1.0,7,6,Person,Remorino,Argentine Foreign Minister || individual who asked Nufer to assure Washington || Argentine foreign minister involved in diplomatic efforts.
SOVIET FOREIGN MINISTRY,SOVIET FOREIGN MINISTRY,CANONICAL_ENTITY:SOVIET_FOREIGN_MINISTRY,multi_sense_label,1.0,7,6,Organization,Soviet Foreign Ministry,Government body of the USSR responsible for foreign affairs. || The government body responsible for foreign affairs in the Soviet Union. || Government body of the Soviet Union that issued a statement on Jordan.
TANZAN ISHIBASHI,TANZAN ISHIBASHI (BULLETIN NOBUSUKE JAPAN),CANONICAL_ENTITY:TANZAN_ISHIBASHI_BULLETIN_NOBUSUKE_JAPAN,a3_single_cluster_self,1.0,7,6,Person,Tanzan Ishibashi,President of Japan's ruling Liberal-Democratic Party and prime minister. || Japan's prime minister-designate. || Prime Minister of Japan who submitted his resignation.
TRANSPORT AND GENERAL WORKERS UNION,TRANSPORT AND GENERAL WORKERS UNION,CANONICAL_ENTITY:TRANSPORT_AND_GENERAL_WORKERS_UNION,multi_sense_label,1.0,7,6,Organization,Transport and General Workers' union; Transport and General Workers' Union; Transport and General Workers Union,the union to which most of the dock and bus strikers belong || Anti-Communist union involved in the dockworkers' strike. || An influential trade union in the UK.
TURKISH IRAQI PACT,TURKISH IRAQI PACT (BULLETIN NATIONALISTS INTELLIGENCE),CANONICAL_ENTITY:TURKISH_IRAQI_PACT_BULLETIN_NATIONALISTS_INTELLIGENCE,a3_single_cluster_self,1.0,7,6,Document,Turkish-Iraqi pact; Turkish-Iraqi Pact,"Proposed agreement causing a dilemma for Israel. || A defense agreement between Turkey and Iraq. || A treaty involving Turkey and Iraq, which France has been temporizing on."
UAR PRESIDENT NASIR,UAR PRESIDENT NASIR (BULLETIN INTELLIGENCE CENTRAL),CANONICAL_ENTITY:UAR_PRESIDENT_NASIR_BULLETIN_INTELLIGENCE_CENTRAL,a3_single_cluster_self,1.0,7,6,Person,UAR President Nasir,"The President of the United Arab Republic, concerned about changes in Saudi Arabia. || President of the United Arab Republic (UAR) || President of the United Arab Republic believed to be aware of the coup plans."
USIS,USIS,CANONICAL_ENTITY:USIS,multi_sense_label,1.0,7,6,Organization,USIS,United States Information Service office in Budapest. || United States Information Service || United States Information Service.
ABBAS,ABBAS (BULLETIN TASS ALGERIAN),CANONICAL_ENTITY:ABBAS_BULLETIN_TASS_ALGERIAN,a3_single_cluster_self,1.0,7,5,Person,Abbas,"Premier of the Algerian provisional government, involved in discussions about negotiations with France. || Premier who favors a negotiated settlement of the Algerian problem || Premier of the Provisional Algerian Government"
ALSOGARAY,ALSOGARAY (BULLETIN IS FRONDIZI),CANONICAL_ENTITY:ALSOGARAY_BULLETIN_IS_FRONDIZI,a3_single_cluster_self,1.0,7,5,Person,Alsogaray,Founder of the Civic Independent party || New Economy and Labor Minister who announced price control || Argentine Economy Minister
CHO PYONG OK,CHO PYONG OK (BULLETIN PUNG KI),CANONICAL_ENTITY:CHO_PYONG_OK_BULLETIN_PUNG_KI,a3_single_cluster_self,1.0,7,5,Person,Cho Pyong-ok,Leader of the opposition Democratic Party and former Seoul police chief and home minister under Rhee || Democratic leader in South Korea || Political leader in South Korea.
CRUZ SALAZAR,CRUZ SALAZAR (CANDIDATE BULLETIN GUATEMALA),CANONICAL_ENTITY:CRUZ_SALAZAR_CANDIDATE_BULLETIN_GUATEMALA,a3_single_cluster_self,1.0,7,5,Person,Cruz Salazar,Center presidential candidate in Guatemala's election campaign. || Candidate in Guatemalan elections || Centrist candidate in Guatemalan elections
IBRAHIM GOVERNMENT,IBRAHIM GOVERNMENT,CANONICAL_ENTITY:IBRAHIM_GOVERNMENT,multi_sense_label,1.0,7,5,Government,Ibrahim government,The government of Morocco ready to negotiate on air bases. || Government in Morocco that may be affected by left-wing criticism. || The government of Morocco under Ibrahim
KREISKY,KREISKY (AUSTRIA USSR BULLETIN),CANONICAL_ENTITY:KREISKY_AUSTRIA_USSR_BULLETIN,a3_single_cluster_self,1.0,7,5,Person,Kreisky,State Secretary of the Austrian Foreign Ministry || Austrian Foreign Minister who commented on the South Tirol dispute. || Austrian Foreign Minister who spoke with Khrushchev.
KUBAR,KUBAR (WHEELUS BULLETIN LIBYAN),CANONICAL_ENTITY:KUBAR_WHEELUS_BULLETIN_LIBYAN,a3_single_cluster_self,1.0,7,5,Person,Kubar,The Prime Minister of Libya concerned about public sentiment and negotiations with the United States. || Prime Minister of Libya discussing US aid. || Prime Minister of Libya involved in economic aid negotiations with the US ambassador.
KURT LEOPOLD,KURT LEOPOLD (11 BULLETIN WESTRICK),CANONICAL_ENTITY:KURT_LEOPOLD_11_BULLETIN_WESTRICK,a3_single_cluster_self,1.0,7,5,Person,Kurt Leopold,Bonn's low-level representative of the trustee office in West Berlin || Bonn's low-level representative of the semiofficial 'trustee office' || Low-level representative of West Germany for trade negotiations.
LIM YEW HOCK,LIM YEW HOCK (BULLETIN SINGAPORE ISRAEL),CANONICAL_ENTITY:LIM_YEW_HOCK_BULLETIN_SINGAPORE_ISRAEL,a3_single_cluster_self,1.0,7,5,Person,Lim Yew Hock,Chief Minister of Singapore || Chief Minister of Singapore who initiated an antisubversion program. || Chief Minister of Singapore who is in London discussing self-government.
MAYOR BRANDT,MAYOR BRANDT (BULLETIN ELECTION GERMANY),CANONICAL_ENTITY:MAYOR_BRANDT_BULLETIN_ELECTION_GERMANY,a3_single_cluster_self,1.0,7,5,Person,Mayor Brandt,The mayor of West Berlin concerned about the presidential election. || Mayor of West Berlin who commented on the election. || Mayor of Berlin who discussed election logistics.
