normalized_label,mention_count,unique_docs,source_types,primary_type,label_ambiguity,looks_like_acronym,family,rule_candidate_labels,needs_sense_clustering
LECHIN GROUP,1,1,PoliticalGroup,PoliticalGroup,0.3,False,political_group,,False
ORTHODOX NEUTRALISTS,1,1,PoliticalGroup,PoliticalGroup,0.3,False,political_group,,False
PALACE DOMINATED GOVERNMENT,1,1,Government,Government,0.3,False,government,,False
PANAMANIAN CABINET,1,1,Government,Government,0.3,False,government,,False
PELLA PLAN,1,1,Other,Other,0.3,False,other,,False
PEOPLES UNITED PARTY,1,1,PoliticalGroup,PoliticalGroup,0.3,False,political_group,,False
PERON GOVERNMENT,1,1,Government,Government,0.3,False,government,,False
PINAYS GOVERNMENT,1,1,Government,Government,0.3,False,government,,False
PROGRESSIVE UNION,1,1,PoliticalGroup,PoliticalGroup,0.3,False,political_group,,False
PUNJAB MOSLEM LEAGUE ASSEMBLY,1,1,PoliticalGroup,PoliticalGroup,0.3,False,political_group,,False
REPUBLICAN DEMOCRATIC UNION,1,1,PoliticalGroup,PoliticalGroup,0.3,False,political_group,,False
RIGHT WING GOVERNMENT,1,1,Government,Government,0.3,False,government,,False
SUPREME ELECTORAL COURT,1,1,Organization,Organization,0.3,False,organization,,False
SYRIAN SOVIET BLOC,1,1,PoliticalGroup,PoliticalGroup,0.3,False,political_group,,False
TRADES UNION COUNCIL,1,1,Organization,Organization,0.3,False,organization,,False
UNITED ACTION PARTY,1,1,PoliticalGroup,PoliticalGroup,0.3,False,political_group,,False
US ARMS AID GROUP,1,1,Other,Other,0.3,False,other,,False
US HIGH COMMISSIONERS OFFICE,1,1,Organization,Organization,0.3,False,organization,,False
VENEZUELAN DEMOCRATIC ACTION PARTY,1,1,PoliticalGroup,PoliticalGroup,0.3,False,political_group,,False
WEST GERMAN COALITION PARTIES,1,1,PoliticalGroup,PoliticalGroup,0.3,False,political_group,,False
YUGOSLAV FEDERAL ECONOMIC COUNCIL,1,1,Organization,Organization,0.3,False,organization,,False
11 MEMBER EXECUTIVE COUNCIL,1,1,Organization,Organization,0.22,False,organization,,False
12 NATION COMMISSION,1,1,Other,Other,0.22,False,organization,,False
13TH OF MARCH REVOLUTIONARY DIRECTORATE,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
14TH OF MAY MOVEMENT,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
16 MAY 1961,1,1,Other,Other,0.22,False,other,,False
1954 GENEVA CONFERENCE,1,1,Other,Other,0.22,False,organization,,False
21ST OF SEPTEMBER MOVEMENT,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
26TH OF JULY MOVEMENT,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
3 700 WORKERS,1,1,Other,Other,0.22,False,other,,False
6 JANUARY 1961,1,1,Other,Other,0.22,False,other,,False
62 GROUP,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
7 OPPOSITION POLITICAL PARTIES,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
82 NATION UN DISARMAMENT COMMISSION,1,1,Organization,Organization,0.22,False,organization,,False
ABBOUD REGIME,1,1,Government,Government,0.22,False,government,,False
ABBOUDS MILITARY REGIME,1,1,Government,Government,0.22,False,government,,False
ABDULLAH GOVERNMENT,1,1,Government,Government,0.22,False,government,,False
ACADEMY OF ARTILLERY SCIENCES,1,1,Organization,Organization,0.22,False,organization,,False
ACADEMY OF SCIENCES USSR,1,1,Organization,Organization,0.22,False,organization,,False
ACCION DEMOCRATICA,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ACTION COMMITTEE FOR THE LIBERATION OF WEST IRIAN,1,1,Organization,Organization,0.22,False,organization,,False
ACTION GROUP,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ACTION GROUP AG,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ADDITIONAL MEASURES COMMITTEE OF THE UN,1,1,Organization,Organization,0.22,False,organization,,False
ADEN PROTECTORATE FEDERATION,1,1,Organization,Organization,0.22,False,organization,,False
ADENAUER SUPPORTERS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ADENAUERS CHRISTIAN DEMOCRATS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ADENAUERS COALITION,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ADVISORY COMMITTEE,1,1,Organization,Organization,0.22,False,organization,,False
AFGHAN DEFENSE MINISTER,1,1,Government,Government,0.22,False,government,,False
AFGHAN DEFENSE MINISTRY,1,1,Organization,Organization,0.22,False,organization,,False
AFGHAN MINISTRY OF DEFENSE,1,1,Organization,Organization,0.22,False,organization,,False
AFGHAN OFFICIALS,1,1,Government,Government,0.22,False,government,,False
AFGHAN PARLIAMENT,1,1,Organization,Organization,0.22,False,organization,,False
AFGHAN PRESS,1,1,Organization,Organization,0.22,False,organization,,False
AFGHAN UZBEKS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AFRICA FREEDOM DAY,1,1,Other,Other,0.22,False,other,,False
AFRICAN EXILE GROUPS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AFRICAN MEMBERS OF THE COMMUNITY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AFRICAN NATIONAL CONGRESS ANC,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AFRICAN POLITICAL PARTY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AFRICAN REGROUPMENT PARTY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AFRICAN REVOLUTIONARY FRONT FOR THE INDEPENDENCE OF PORTUGUESE COLONIES IN AFRICA,1,1,Organization,Organization,0.22,False,organization,,False
AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES FRAIN,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AFRO ASIAN COUNTRIES,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AFRO ASIAN SOLIDARITY COUNCIL,1,1,Organization,Organization,0.22,False,organization,,False
AFRO ASIAN SOLIDARITY MOVEMENT,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AFRO ASIAN SOLIDARITY ORGANIZATION,1,1,Organization,Organization,0.22,False,organization,,False
AFRO SHIRAZI PARTY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AFRO SHIRAZI PARTY ASP,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AGFA FILM FACTORY,1,1,Other,Other,0.22,False,other,,False
AGRARIAN GOVERNMENT,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AGRARIAN INSTITUTE,1,1,Organization,Organization,0.22,False,organization,,False
AGRARIAN LABOR PARTY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AGRARIAN SOCIAL DEMOCRATIC CABINET,1,1,Government,Government,0.22,False,government,,False
AGRARIAN SOCIAL DEMOCRATIC COALITION,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AGRICULTURAL BANK,1,1,Organization,Organization,0.22,False,organization,,False
AHIDJO REGIME,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
AIR CEYLON,1,1,Organization,Organization,0.22,False,organization,,False
AIR FRANCE,1,1,Organization,Organization,0.22,False,organization,,False
AKHBAR AL YAWM,1,1,Organization,Organization,0.22,False,organization,,False
AL MABDA,1,1,Other,Other,0.22,False,other,,False
AL RAID,1,1,Organization,Organization,0.22,False,organization,,False
ALA GOVERNMENT,1,1,Government,Government,0.22,False,government,,False
ALBANIAN COMMUNIST PARTY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALBANIAN COUNCIL OF MINISTERS,1,1,Government,Government,0.22,False,government,,False
ALBANIAN COURTS,1,1,Organization,Organization,0.22,False,organization,,False
ALBANIAN DELEGATION,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALBANIAN EXILE GROUP,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALBANIAN EXILES,1,1,Other,Other,0.22,False,other,,False
ALBANIAN FOURTH PARTY CONGRESS,1,1,Other,Other,0.22,False,political_group,,False
ALBANIAN GOVERNMENT,1,1,Government,Government,0.22,False,government,,False
ALBANIAN NATIONAL ASSEMBLY,1,1,Organization,Organization,0.22,False,organization,,False
ALBANIAN NATIONAL COMMITTEE,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALBANIAN OFFICIALS,1,1,Government,Government,0.22,False,government,,False
ALBANIAN PARTY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALBANIAN PEOPLES ASSEMBLY,1,1,Government,Government,0.22,False,government,,False
ALBANIAN POLICE,1,1,Organization,Organization,0.22,False,organization,,False
ALBANIAN REFUGEE COMMITTEE,1,1,Other,Other,0.22,False,organization,,False
ALBANIAN REFUGEE ORGANIZATION,1,1,Other,Other,0.22,False,other,,False
ALBANIAN RESISTANCE LEADERS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALEXANDRIA UNIVERSITY,1,1,Organization,Organization,0.22,False,organization,,False
ALFRIED KRUPP,1,1,Organization,Organization,0.22,False,organization,,False
ALGERIAN AID COMMITTEE,1,1,Organization,Organization,0.22,False,organization,,False
ALGERIAN COMMUNIST PARTY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALGERIAN ECONOMY,1,1,Other,Other,0.22,False,other,,False
ALGERIAN INSURGENTS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALGERIAN MOVEMENT,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALGERIAN MOVEMENT FOR THE TRIUMPH OF DEMOCRATIC LIBERTIES,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALGERIAN NATIONAL REVOLUTIONARY COUNCIL,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALGERIAN NATIONALIST LEADERS,1,1,Other,Other,0.22,False,other,,False
ALGERIAN PEOPLE,1,1,Other,Other,0.22,False,other,,False
ALGERIAN POLICY,1,1,Other,Other,0.22,False,other,,False
ALGERIAN PROBLEM,1,1,Other,Other,0.22,False,other,,False
ALGERIAN PROVISIONAL GOVERNMENT PAG,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALGERIAN REBEL,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALGERIAN REBEL LEADERSHIP,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALGERIAN REBEL ORGANIZATION,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALGERIAN REBEL PROVISIONAL GOVERNMENT,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALGERIAN REBEL REPRESENTATIVE,1,1,Other,Other,0.22,False,role,,False
ALGERIAN REBEL REVOLUTIONARY COUNCIL,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALGERIAN REBELS PROVISIONAL GOVERNMENT PAG,1,1,Organization,Organization,0.22,False,organization,,False
ALGERIAN REFUGEES,1,1,Other,Other,0.22,False,other,,False
ALGIERS COMMITTEE,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALGIERS JUNTA,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALI JAWDAT CABINET,1,1,Government,Government,0.22,False,government,,False
ALI REGIME,1,1,Government,Government,0.22,False,government,,False
ALL AFRICAN PEOPLES CONFERENCE AAPC,1,1,Organization,Organization,0.22,False,organization,,False
ALL AFRICAN PEOPLES CONGRESS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALL AFRICAN TRADE UNION FEDERATION,1,1,Organization,Organization,0.22,False,organization,,False
ALL AFRICAN TRADE UNION FEDERATION AATUF,1,1,Organization,Organization,0.22,False,organization,,False
ALL ALGERIA COMMITTEE,1,1,Organization,Organization,0.22,False,organization,,False
ALL BURMA FEDERATION OF STUDENT UNIONS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALL GERMAN PEOPLES MOVEMENT,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALL INDIA PARTY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALL UNION ACADEMY OF AGRICULTURAL SCIENCES,1,1,Organization,Organization,0.22,False,organization,,False
ALL UNION ASSOCIATION FOR PETROLEUM PRODUCTS,1,1,Organization,Organization,0.22,False,organization,,False
ALL UNION PARTY PRESIDIUM,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ALL UNION SECRETARIAT,1,1,Organization,Organization,0.22,False,organization,,False
ALLIED COUNCIL FOR AUSTRIA,1,1,Organization,Organization,0.22,False,organization,,False
ALLIED COUNCIL FOR JAPAN,1,1,Organization,Organization,0.22,False,organization,,False
ALLIED DELEGATIONS,1,1,Organization,Organization,0.22,False,organization,,False
ALLIED DEPUTY HIGH COMMISSIONERS,1,1,Organization,Organization,0.22,False,organization,,False
ALLIED MILITARY LIAISON MISSIONS,1,1,Organization,Organization,0.22,False,organization,,False
ALLIED MILITARY SECURITY BOARD,1,1,Organization,Organization,0.22,False,organization,,False
ALLIED OBSERVERS,1,1,Other,Other,0.22,False,other,,False
ALLIED WEST GERMAN RELATIONS,1,1,Other,Other,0.22,False,other,,False
AMALGAMATED ENGINEERING UNION,1,1,Organization,Organization,0.22,False,organization,,False
AMALGAMATED ENGINEERING UNION AEU,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN AID,1,1,Other,Other,0.22,False,other,,False
AMERICAN AID MISSION,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN AND BRITISH,1,1,Government,Government,0.22,False,government,,False
AMERICAN AND BRITISH AMBASSADORS,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN AND FOREIGN POWER COMPANY,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN ARMY AND AIR ATTACHÉS,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN ATOMIC BOMB CASUALTY COMMISSION,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN ATTACHES,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CHAMBER OF COMMERCE,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN COMMUNITY IN SHANGHAI,1,1,Other,Other,0.22,False,other,,False
AMERICAN COMPANIES,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CONSTRUCTION COMPANY,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CONSTRUCTION FIRM,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CONSUL IN KUALA LUMPUR,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CONSULAR RESIDENCE,1,1,Other,Other,0.22,False,other,,False
AMERICAN CONSULATE GENERAL IN ALGIERS,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CONSULATE GENERAL IN HONG KONG,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CONSULATE GENERAL IN JERUSALEM,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CONSULATE GENERAL IN MADRAS,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CONSULATE GENERAL IN TUNIS,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CONSULATE IN CHIENGMAI,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CONSULATE IN ELISABETHVILLE,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CONSULATE IN HANOI,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN CONSULATE IN UGANDA,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN DIEM GANG,1,1,Other,Other,0.22,False,other,,False
AMERICAN EMBASSIES IN RANGOON AND DJAKARTA,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY AT CAPETOWN,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY AT COPENHAGEN,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY AT NEW DELHI,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN ACCRA,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN ASUNCION,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN BAGHDAD,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN BAMAKO,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN CAMBODIA,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN CIUDAD TRUJILLO,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN GUATEMALA,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN KHARTOUM,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN LA PAZ,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN LEOPOLDVILLE,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN LIMA,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN LISBON,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN MONTEVIDEO,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN OTTAWA,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN PUSAN,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN SAN JOSE,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN STOCKHOLM,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN TAIPEI,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN TRIPOLI,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN WASHINGTON,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN EMBASSY IN WELLINGTON,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN GENERAL CONTRACTOR,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN HIGH COMMISSIONERS OFFICE,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN HIGH COMMISSIONERS OFFICE IN BONN,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN INTERNATIONAL AIRLINES,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN INTERVENTION IN INDOCHINA,1,1,Other,Other,0.22,False,other,,False
AMERICAN INVESTMENT COMPANY,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN JOINT DISTRIBUTION COMMITTEE,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN LEGATION IN BUCHAREST,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN LEGATION IN REYKJAVIK,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN LEGATION IN TAIZ,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN LEGATION IN TRIPOLI,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN LEGATION IN VIENTIANE,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN MILITARY ASSISTANCE ADVISORY GROUP,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN MILITARY ASSISTANCE AND ADVISORY GROUP,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN MILITARY OBSERVERS,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN MISSION,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN MISSION TO THE COMMON MARKET,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN NAVAL ATTACHÉ,1,1,Other,Other,0.22,False,other,,False
AMERICAN NAVAL OFFICIALS,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN OBSERVERS,1,1,Other,Other,0.22,False,other,,False
AMERICAN OFFICIALS IN BONN,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN OFFICIALS IN SAIGON,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN OWNED COPPER COMPANIES,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN OWNED COPPER INDUSTRY,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN PETROLEUM COMPANIES,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN PETROLEUM COMPANY,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN REFINERIES,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN REPRESENTATIVES,1,1,Other,Other,0.22,False,other,,False
AMERICAN SECTION IN THE FRENCH FOREIGN MINISTRY,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN UN DELEGATION,1,1,Organization,Organization,0.22,False,organization,,False
AMERICAN UNIVERSITY,1,1,Organization,Organization,0.22,False,organization,,False
AMRITA BAZAR PATRIKA,1,1,Organization,Organization,0.22,False,organization,,False
AMUR RIVER STEAMSHIP AGENCY,1,1,Organization,Organization,0.22,False,organization,,False
ANACONDA AND BRADEN MINES,1,1,Other,Other,0.22,False,other,,False
ANACONDA COPPER,1,1,Organization,Organization,0.22,False,organization,,False
ANATOLIA NEWS AGENCY,1,1,Organization,Organization,0.22,False,organization,,False
ANGLO AMERICAN CONSORTIUM,1,1,Organization,Organization,0.22,False,organization,,False
ANGLO EGYPTIAN CRISIS,1,1,Other,Other,0.22,False,other,,False
ANGLO EGYPTIAN FINANCIAL TALKS,1,1,Other,Other,0.22,False,other,,False
ANGLO EGYPTIAN NEGOTIATIONS,1,1,Other,Other,0.22,False,other,,False
ANGLO EGYPTIAN OILFIELDS LTD,1,1,Organization,Organization,0.22,False,organization,,False
ANGLO EGYPTIAN TALKS,1,1,Other,Other,0.22,False,other,,False
ANGLO IRANIAN,1,1,Organization,Organization,0.22,False,organization,,False
ANGLO ITALIAN NEGOTIATING TEAM,1,1,Other,Other,0.22,False,other,,False
ANGLO SOVIET FISHERIES AGREEMENT,1,1,Other,Other,0.22,False,other,,False
ANGOLAN NATIONALISTS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ANGOLAN PEOPLES UNION,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ANTI CASTRO REVOLUTIONARY COUNCIL,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ANTI COMMUNIST LEADERS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ANTI COMMUNIST POLITICAL LEADERS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ANTI FASCIST COMMITTEE OF SOVIET WOMEN,1,1,Organization,Organization,0.22,False,organization,,False
ANTI SOMOZA GROUPS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
APRIL AND MAY REVOLUTIONARY PARTY PRAM,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB BLOC,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB CIRCLES,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB CONSTITUTIONALISTS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB DELEGATES,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB FEDAYEEN,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB GOVERNMENTS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB HIGHER COMMITTEE,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB HIGHER EXECUTIVE,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB LABOR FEDERATION,1,1,Organization,Organization,0.22,False,organization,,False
ARAB LEAGUE COLLECTIVE SECURITY PACT,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB LEAGUE DEFENSE COUNCIL,1,1,Organization,Organization,0.22,False,organization,,False
ARAB LEAGUE PETROLEUM COMMITTEE,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB LEAGUE PETROLEUM CONFERENCE,1,1,Other,Other,0.22,False,organization,,False
ARAB MINISTERIAL CONFERENCE,1,1,Other,Other,0.22,False,organization,,False
ARAB MINORITY,1,1,Other,Other,0.22,False,other,,False
ARAB NAVIGATION COMPANY,1,1,Organization,Organization,0.22,False,organization,,False
ARAB NEWS AGENCY,1,1,Organization,Organization,0.22,False,organization,,False
ARAB PLAN,1,1,Other,Other,0.22,False,other,,False
ARAB REFUGEES,1,1,Other,Other,0.22,False,other,,False
ARAB REPUBLIC,1,1,Other,Other,0.22,False,government,,False
ARAB RESURRECTION PARTY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB RESURRECTIONIST PARTY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB SOCIALIST BAATH PARTY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB SOCIALIST RESURRECTION PARTY ASRP,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB SUMMIT,1,1,Other,Other,0.22,False,other,,False
ARAB UN DELEGATES,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARAB UN DELEGATIONS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARABS LIVING IN ISRAEL,1,1,Other,Other,0.22,False,other,,False
AREVALO FORCES,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARGENTINE COMMUNIST LEADERS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARGENTINE COMMUNIST PARTY,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARGENTINE COMMUNISTS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARGENTINE EMBASSY,1,1,Organization,Organization,0.22,False,organization,,False
ARGENTINE FOREIGN MINISTRY,1,1,Organization,Organization,0.22,False,organization,,False
ARGENTINE JUNTA,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARGENTINE NEWSPAPER,1,1,Organization,Organization,0.22,False,organization,,False
ARGENTINE POLICE,1,1,Organization,Organization,0.22,False,organization,,False
ARGENTINE PROVISIONAL GOVERNMENT,1,1,Government,Government,0.22,False,government,,False
ARGENTINE REBEL COMMAND,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ARMED AND WELL TRAINED EXILE GROUP,1,1,Other,Other,0.22,False,other,,False
ARMY INTELLIGENCE,1,1,Organization,Organization,0.22,False,organization,,False
AS SABAH,1,1,Organization,Organization,0.22,False,organization,,False
ASALI GOVERNMENT,1,1,Government,Government,0.22,False,government,,False
ASIAN AFRICAN BLOC,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ASIAN COUNTRY,1,1,Other,Other,0.22,False,other,,False
ASIAN PEOPLES ANTI COMMUNIST LEAGUE,1,1,Organization,Organization,0.22,False,organization,,False
ASIAN SOCIALIST CONFERENCE,1,1,Other,Other,0.22,False,organization,,False
ASIAN SOLIDARITY COMMITTEE,1,1,Organization,Organization,0.22,False,organization,,False
ASIATIC DELEGATIONS,1,1,PoliticalGroup,PoliticalGroup,0.22,False,political_group,,False
ASSOCIATED PRESS,1,1,Organization,Organization,0.22,False,organization,,False
