community_id,node_key,label,analyst_label,size,top_labels,top_types,analyst_summary
1299,COMMUNITY:1299,Peronista Political and Military Actions,Argentinian Political Movements and Conflicts,27,PERONISTA | Attack on infantry post | Geronimo Remorino's travel | Peronista attacks | ARGENTINE ARMED FORCES | MIGUEL INIGUEZ | COMMUNIST LABOR ELEMENTS | EVITA PERON,"{""CanonicalEntity"": 15, ""EventCluster"": 12}",This community focuses on Peronista-related military actions and political unrest in Argentina.
1305,COMMUNITY:1305,Political Turmoil in Argentina's Leadership,Government Leadership and Political Dynamics,27,ARAMBURU | Arrest of Rear Admiral Arturo Rial | PERONISTAS [INVESTIGATION / MONTERO] | ROBERT DALTON | Municipal Elections in Santa Fe Province | REAR ADMIRAL ARTURO RIAL | ARGENTINE | Demand for government turnover,"{""CanonicalEntity"": 15, ""EventCluster"": 12}",This community focuses on the political upheaval surrounding key figures and events in Argentina's governance.
1364,COMMUNITY:1364,Political Leadership in Naha's Elections,Governance and Political Dynamics in Okinawa,27,KAMEJIRO SENAGA | SAICHI KANESHI | NAHA | TATSUO TAIRA | US ADMINISTRATION | Anti-Communist Outburst | Election of Saichi Kaneshi | Mayoral Election,"{""CanonicalEntity"": 14, ""EventCluster"": 13}","This community focuses on key political figures and electoral events in Naha, reflecting governance dynamics in post-war Okinawa."
1494,COMMUNITY:1494,Cyprus Diplomatic Engagements,International Relations and Conflict Resolution,27,LONDON | VOLKAN [EOKA / TURKEY] | ARMITAGE | USSR [BULGANIN / EGYPT] | GREEK FOREIGN MINISTER AVEROFF | Closure of Ports | Consultation on Cyprus | Potential Tripartite Conference,"{""EventCluster"": 18, ""CanonicalEntity"": 9}","This community focuses on diplomatic activities related to Cyprus, involving key international and local stakeholders."
1745,COMMUNITY:1745,Middle Eastern Military Alliances and Conflicts,Regional Security Dynamics in the Middle East,27,WARREN | BIRGI | Coup against Diem government | Iraqi-Turkish defense treaty discussions | Military support for Syrian conservatives | Tension on Jordan-Israel border | ARAB LEAGUE COUNCIL | EGYPTIAN,"{""EventCluster"": 19, ""CanonicalEntity"": 8}",This community focuses on military alliances and conflicts involving key Middle Eastern nations and groups.
132,COMMUNITY:132,Diplomatic Negotiations and Media Influence,Political Dynamics and Media Interactions,26,Japanese Government's treaty negotiations | LONDON DAILY WORKER | GENERAL RIDGWAY | VISHINSKY | Increase in Costa Rican ship registry | WILFRED BURCHETT | ALAN WINNINGTON | COSTA RICAN GOVERNMENT [VLADIVOSTOK / RIDGWAY],"{""CanonicalEntity"": 16, ""EventCluster"": 10}",This community explores the interplay between diplomatic efforts and media coverage during significant historical negotiations.
208,COMMUNITY:208,Labor Movements in Belgium's Political Landscape,Political Dynamics and Labor Relations in Belgium,26,EYSKENS | SOCIAL CHRISTIAN LIBERAL GOVERNMENT | Strikes in Belgium | SOCIALIST TRADE UNIONS | WALLOON SOCIALIST DEPUTIES | Khrushchev's speeches | ROMAN CATHOLIC TRADE UNION FEDERATION | SOCIALIST PARTY [BAUDOUIN / WALLOON],"{""CanonicalEntity"": 13, ""EventCluster"": 13}",This community explores the intersection of labor movements and political dynamics during Eyskens' government in Belgium.
230,COMMUNITY:230,Iranian Military Negotiations and Stability,Geopolitical Dynamics in Iran and USSR Relations,26,IRAN | Negotiations with USSR | Strengthening of Iranian military forces | DAUD BEG JAF | ABDOH | Military staff talks | USSR [IRAN / PATHET] | Demonstrations in Iran,"{""CanonicalEntity"": 14, ""EventCluster"": 12}",This community focuses on Iran's military negotiations and their implications for regional stability and relations with the USSR.
253,COMMUNITY:253,Political Movements and Military Dynamics,Geopolitical Influences on Regime Stability,26,IRANIAN COMMUNISTS | ROJAS PINILLA | NEPALESE PRIME MINISTER | PRESIDENT URDANETA | AMERICAN ARMY ATTACHE [URDANETA / COLOMBIA] | Persuasion of Mossadeq | Heavy attacks in western Korea | Threat to withdraw battalion,"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community explores the interplay between political movements and military actions affecting regime stability in various contexts.
260,COMMUNITY:260,Iranian Political Dynamics and Military Affairs,Middle Eastern Geopolitical Interactions,26,HOSSEIN MAKKI | BURMESE WAR OFFICE [IRAN / MOSSADEQ] | SHAH [ATTACHE / MAKKI] | Clashes in Iraq | Press Interview | ANSARI | THAI ATTACHE | Adoption of compensation policy,"{""CanonicalEntity"": 14, ""EventCluster"": 12}",This community explores the interplay of Iranian political figures and military operations in regional conflicts.
264,COMMUNITY:264,Indonesian National Resistance Dynamics,Political Movements and Insurgencies in Indonesia,26,NATIONAL RESISTANCE MOVEMENT | NATIONAL PARTY [NYEIN / KYAW] | Confer with East Java commander | Declaration of independence | Lower House elections | Parliamentary meeting | INDONESIAN PRIME MINISTER | ARMY CHIEF OF STAFF [DISSIDENT / JAVA],"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community focuses on the activities and strategies of Indonesian national resistance movements and political parties during key historical events.
288,COMMUNITY:288,Indonesian Military Leadership and Regional Affairs,Military Influence in Southeast Asia,26,COLONEL SUDIRMAN | COLONEL SAMUAL | JERUSALEM POST | TIRAN STRAITS | Motion of no confidence | High-level meeting suggestion | Meeting at Bogor summer home | FEDERAL REPUBLIC OF INDONESIA RPI,"{""CanonicalEntity"": 14, ""EventCluster"": 12}",This community focuses on key Indonesian military figures and their impact on regional political dynamics.
300,COMMUNITY:300,Ambon and Sartono Political Dynamics,Political Leadership and Regional Governance,26,AMBON | SARTONO | SOUTH CELEBES | Meeting to re-establish partnership | Sukarno's departure | Sumatran independence declaration | Thai parliamentary elections | WEST IRIAN LIBERATION COMMITTEE,"{""EventCluster"": 15, ""CanonicalEntity"": 11}",This community explores the political interactions and decisions surrounding Ambon and Sartono's leadership in regional governance.
359,COMMUNITY:359,FLN and UAR Diplomatic Initiatives,Colonial and Post-Colonial Political Movements,26,NATIONAL LIBERATION FRONT FLN | UAR Urges Aid for Guinea | LADGHAM | GORSE | AMBASSADOR MORROW | Adjournment of talks in Evian | COMMUNIST BLOC [FLN / BOURGUIBA] | Foreign ministers' conference suggestion,"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community focuses on the diplomatic efforts of the FLN and UAR in supporting liberation movements.
393,COMMUNITY:393,Diplomatic and Military Engagements in Europe,International Relations and Security Dynamics,26,US EMBASSY IN ROME | Paris European Army talks | Portuguese presidential elections | Yugoslav military aid program | PORTUGUESE SUPREME COURT | VICE ADMIRAL QUINTAO MEIRELES | ITALIAN GOVERNMENT [QUINTAO / PROPOSAL] | GENERAL MANCINELLI,"{""CanonicalEntity"": 13, ""EventCluster"": 13}",This community focuses on key diplomatic and military discussions involving European nations and the US.
480,COMMUNITY:480,Debates and Dynamics in the Bundestag,Political Discourse and Governance in Germany,26,BUNDESTAG [7422] | Bundestag debate | BANDA | FOREIGN AFFAIRS COMMITTEE | Alleged Communist coup | MOSCOW [ANTOINE / MALENKOV] | NORTH RHINE WESTPHALIA | CALVO RAMIREZ,"{""EventCluster"": 16, ""CanonicalEntity"": 10}",This community explores the interactions and discussions within the Bundestag regarding political stability and foreign affairs.
513,COMMUNITY:513,Indian Communist Party Leadership Dynamics,Cold War Political Movements in India,26,AJOY GHOSH | Indian Communist Party | INDIAN COMMUNIST PARTY [LAI / CHOU] | Indian Communist Party's sixth congress | K GOPALAN | E M S NAMBOODIRIPAD | USSR [AJOY / GHOSH] | Ghosh's visit to Peiping,"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community focuses on key figures and events within the Indian Communist Party during the Cold War era.
587,COMMUNITY:587,Soviet Leadership Dynamics in the 1960s,Political Maneuvering in Soviet Governance,26,SHEPILOV | BREZHNEV | Soviet Presidium Election | Yugoslav Reaction to Soviet Congress | FURTSEVA | SHVERNIK | Loan request to the West | Reception for Belgian delegation,"{""CanonicalEntity"": 13, ""EventCluster"": 13}",This community explores the interactions and decisions of key Soviet leaders during a pivotal decade.
634,COMMUNITY:634,Soviet Leadership Transitions,Cold War Political Dynamics,26,M G PERVUKHIN | I MIKOYAN | Soviet ministerial shake-up | M Z SABUROV | Opening session of the Supreme Soviet | STATE ECONOMIC COMMISSION | KUCHERENKO | Resignation of A. I. Mikoyan,"{""CanonicalEntity"": 16, ""EventCluster"": 10}",This community focuses on key events and figures involved in leadership changes within the Soviet Union during the Cold War.
646,COMMUNITY:646,Political Turmoil and Labor Unrest in Pakistan,Political and Labor Dynamics in South Asia,26,LIAQUAT ALI KHAN | KHWAJA NAZIMUDDIN | Meetings to Stave Off Crisis | Strike Threat | Trade Permit Rejection | BELGIAN SOCIALIST TRADE UNION FEDERATION | Appointment of Ghulam Mohammad | British acceptance of amendments,"{""CanonicalEntity"": 14, ""EventCluster"": 12}",This community explores the intersection of political leadership and labor issues during a critical period in Pakistan's history.
763,COMMUNITY:763,Japanese Political Landscape in 1940s,Post-War Japanese Governance and Elections,26,TOKYO | HOKKAIDO | April elections in Japan | Japanese elections | OSAKA | Macmillan's decision on elections | Public opinion poll on Berlin crisis | USSR [HOKKAIDO / BOLIVIA],"{""EventCluster"": 15, ""CanonicalEntity"": 11}","This community explores the dynamics of Japanese elections and governance during the 1940s, focusing on key events and public opinion."
774,COMMUNITY:774,French Socialist Party Political Dynamics,European Socialist Movements and Governance,26,FRENCH SOCIALIST PARTY | CHRISTIAN PINEAU | MAYER [ITALY] | RADICAL SOCIALIST | Hungarian public speculation on Nagy's replacement | Pineau's attempt to form a government | PINAYS GOVERNMENT | EDC debate,"{""CanonicalEntity"": 15, ""EventCluster"": 11}",This community explores the political maneuvers and debates surrounding the French Socialist Party and its key figures.
885,COMMUNITY:885,Political Maneuvering in Latin America,Geopolitical Dynamics and Regime Stability,26,PRESIDENT PEREZ | CATHOLIC HIERARCHY | Negotiations for weapons supply | Seeking Soviet advice | FERNANDEZ | Antigovernment demonstrations | CHINESE ACADEMY OF SCIENCES | CHINESE MILITARY LEADERS,"{""CanonicalEntity"": 13, ""EventCluster"": 13}",This community explores the interactions between political leaders and military influences in Latin American governance.
936,COMMUNITY:936,South Korean Political Dynamics and Labor Movements,Political and Labor Relations in South Korea,26,SOUTH KOREAN NATIONAL ASSEMBLY | Constitutional amendment vote | ASSEMBLYWOMAN PAK SUN CHON | CZECH GOVERNMENT [CHOUGH / CHON] | POLISH GOVERNMENT [CHOUGH / CHON] | FEDERATION OF KOREAN TRADE UNIONS | PAEK TU CHIN | Anti-American general strike,"{""CanonicalEntity"": 15, ""EventCluster"": 11}",This community explores the intersection of political actions and labor unrest in South Korea's historical context.
963,COMMUNITY:963,Political Unrest in South Africa,Social Movements and Political Change,26,SOUTH AFRICA | PRIME MINISTER VERWOERD | Widespread demonstrations | Work stoppage | Assassination Attempt | AFRICANS | Rioting in Venezuela | Call-up of reserves in Afghan Army,"{""CanonicalEntity"": 16, ""EventCluster"": 10}",This community reflects significant political unrest and resistance movements in South Africa during Verwoerd's leadership.
971,COMMUNITY:971,Middle East Tensions and Alliances,Geopolitical Tensions and Alliances,26,NURI | Arms aid agreement | Assessment of Egyptian situation | Cabinet division in Syria | Communication regarding left-wing radicals | Tensions in French-Moroccan relations | SYRIAN ENGINEER OFFICER | REVOLUTIONARY COMMAND COUNCIL [MOOSE / SYRIA],"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community explores the complexities of political agreements and tensions in the Middle East.
974,COMMUNITY:974,Turkoman Community Dynamics in Iraq,Ethnic Minorities and Regional Stability,26,IRAQ | TURKOMAN MINORITY | MAJ GEN ABDI | SAMIR | KURDISH MINORITY | Military action in Kirkuk | Discussions among Algerian leaders | Reported plan for semi-autonomous minority states,"{""CanonicalEntity"": 13, ""EventCluster"": 13}",Explores the Turkoman minority's role in Iraq's military and political landscape.
1035,COMMUNITY:1035,Cuban Labor Movement Events,Labor Activism and Political Dynamics,26,Rally in Havana | CUBAN LABOR CONFEDERATION | DAVID SALVADOR | CUBAN COMMUNIST PARTY | CUBAN LABOR CONFEDERATION CTC | MARTINEZ SANCHEZ | CUBAN COMMUNIST PARTY PSP | May Day celebrations,"{""CanonicalEntity"": 14, ""EventCluster"": 12}","This community focuses on significant labor events and political activities in Cuba, particularly around May Day celebrations."
1053,COMMUNITY:1053,Burma's Political Leadership Dynamics,Government Leadership and Political Events in Burma,26,BURMA SOCIALIST PARTY | Visit to Moscow postponed | THAKIN NU | U KYAW NYEIN | Upper house election | Withdrawal campaign | BURMESE COMMANDER IN CHIEF NE WIN | ALTHING [NYEIN / SWE],"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community explores the interactions and decisions of key political figures in Burma's socialist government.
1101,COMMUNITY:1101,Cold War Tensions in East Berlin,Geopolitical Dynamics of the Cold War,26,EAST BERLIN | BASRA BAGHDAD RAILWAY | Potential split of Berlin | Detention of US Convoy | Gromyko's Speech | USSR [BERLIN / ISRAEL] | Closing of West Berlin borders | BABELSBERG,"{""EventCluster"": 18, ""CanonicalEntity"": 8}",This community explores significant events and developments in East Berlin during the Cold War era.
1155,COMMUNITY:1155,Austrian Diplomatic Engagements in Yugoslavia,International Relations and Foreign Policy Dynamics,26,AMBASSADOR MATTHEWS | AUSTRIAN FOREIGN MINISTRY [YUGOSLAVIA / THOMPSON] | FOREIGN MINISTER LUNS | CO FOREIGN MINISTER LUNS | Possible violence in Uganda | Austrian-Italian talks | Proposal for ICJ consideration | LUNS [ZARUBIN / MATTHEWS],"{""CanonicalEntity"": 13, ""EventCluster"": 13}",This community focuses on Austria's diplomatic activities and discussions related to Yugoslavia during a period of geopolitical tension.
1157,COMMUNITY:1157,Austrian Political Dynamics Post-WWII,Cold War Political Strategies in Europe,26,CHANCELLOR FIGL | VICE CHANCELLOR SCHAERF | SVIRIDOV | Meeting of Allies | Political Maneuvering in Austria | Demonstration support | Soviet pressure anticipation | Warning by General Sviridov,"{""CanonicalEntity"": 15, ""EventCluster"": 11}",This community explores the political maneuvers and pressures in Austria during the early Cold War period.
1162,COMMUNITY:1162,Warsaw Government Commission Engagements,International Diplomatic and Security Interactions,26,WARSAW | Meeting with Government Commission | MINISTRY OF HIGHER EDUCATION | Student demonstrations | MIG 15 BIS | EGYPTIAN MILITARY AIRFIELDS | HUNGARIAN NATIONAL BANK | SYRIAN AIR FORCE,"{""CanonicalEntity"": 13, ""EventCluster"": 13}",This community focuses on the interactions and events involving the Warsaw Government Commission and related diplomatic activities.
1193,COMMUNITY:1193,Hungarian Military and Security Dynamics,Geopolitical Stability and Military Influence,26,HUNGARY | SOVIET MILITARY UNITS | HUNGARIAN POLICE | Hungarian economic analysis | STATE PLANNING OFFICE | Hungarian border control | Potential Uprising in Hungary | Restoration of order in Hungary,"{""EventCluster"": 15, ""CanonicalEntity"": 11}",This community explores the interplay between Hungarian security forces and Soviet military presence during a period of potential unrest.
1199,COMMUNITY:1199,East German Labor Movements,Labor Movements and Political Influence,26,EAST GERMAN REGIME [E2C0] | ANA KETHELY | CARDINAL MINDSZENTY | MINDSZENTY | NAGY [MINDSZENTY / KETHELY] | SOCIALIST PARTY [MINDSZENTY / KETHELY] | SOCIALIST WORKERS PARTY | KURT HAGER,"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community explores the interplay of labor unrest and political pressures within the East German regime.
1246,COMMUNITY:1246,Geopolitical Dynamics in European Governance,European Political Leadership and Decision-Making,26,BALAFREJ | CASTIELLA | EUROPEAN COMMON MARKET | Warning from Balafrej | Transfer of control | Raab's visit to Moscow | Austrian cabinet discussion | Soviet IGY cruise,"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community explores the interactions and decisions among European leaders during significant geopolitical events.
1277,COMMUNITY:1277,Political Movements in Southern Africa,Historical Political Dynamics in Africa,26,UNION OF SOUTH AFRICA | JULIUS NYERERE | Positive action conference | NIGERIAN PARLIAMENT | Conversations about Congo's situation | Consumer boycott announcement | CONGO MINISTER DE SCHRIJVER | Grounding of air squadron,"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community focuses on significant political events and figures influencing Southern Africa's socio-political landscape.
1309,COMMUNITY:1309,Peronist Political Turmoil in Argentina,Political Movements and Regime Dynamics,26,PERON | LUCERO | Speech by Sukarno | Announcement of plot against Peron | Clashes with police | BRITISH EMBASSY [LUCERO / ARGENTINA] | Lucero's communique | FRENCH MILITARY ESTABLISHMENT,"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community explores the political conflicts and events surrounding Peron and Lucero in Argentina's turbulent history.
1310,COMMUNITY:1310,Labor Movements Against Peronism,Political Unrest and Labor Dynamics,26,GENERAL CONFEDERATION OF LABOR [WILEM / JAROMIR] | Anti-Peron Revolution | Peron's address to the crowd | Peron's resignation offer | Direct discussions over Trieste | Predicted June revolt against Peron | Soviet air preparedness measures | FRANKFURT,"{""CanonicalEntity"": 14, ""EventCluster"": 12}",This community focuses on labor movements and political actions opposing Peron's regime in Argentina.
1500,COMMUNITY:1500,Papagos and Greek Political Dynamics,Greek Political Leadership and Events,26,PAPAGOS | KING PAUL | STEPHANOPOULOS | CONSTANTINE KARAMANLIS | KANELLOPOULOS | RALLY COALITION | BONN [STEPHANOPOULOS / LEBANON] | BONN [STEPHANOPOULOS / RUMANIA],"{""EventCluster"": 15, ""CanonicalEntity"": 11}",This community focuses on the political activities and leadership of Papagos and King Paul in Greece.
1521,COMMUNITY:1521,Political Turmoil in Osorio's Era,Historical Regime Changes and Conflicts,26,OSORIO | ANIBAL PORTILLO | JULIO RIVERA | DR JOSE ANTONIO RODRIGUEZ PORTH | ALBERTO ESCAMILLA | Coup Announcement | Exile of Osorio | LUMUMBA REGIME,"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community focuses on the political upheaval surrounding Osorio and key figures during a period of instability.
1531,COMMUNITY:1531,Salvadoran Political Turmoil and Responses,Political Instability and Military Actions in El Salvador,26,COL CASTILLO NAVARRETE | SALVADORAN JUNTA | Public Warning Issued | Ultimatum to Junta | Coup Plot | Demonstration at US Embassy | PRESIDENT JORGE ALESSANDRI | USSR [NAVARRETE / HAVANA],"{""CanonicalEntity"": 16, ""EventCluster"": 10}",This community encompasses events and actions surrounding the Salvadoran Junta and related political upheaval.
1628,COMMUNITY:1628,Cabinet Politics and Leadership Changes,Government Leadership and Political Dynamics,26,JANIO QUADROS | Cabinet Appointments Announcement | Economic and political problems in Cyprus | Cabinet announcement in Brazil | Conference Invitation | Proposed Foreign Policy | JOAO DANTAS | MARIANI,"{""CanonicalEntity"": 16, ""EventCluster"": 10}",This community focuses on cabinet appointments and the political implications in Brazil and Cyprus.
1706,COMMUNITY:1706,Diplomatic Maneuvers in Libya,Foreign Policy and International Relations,26,BEN HALIM | DUMARCAY | KIRKBRIDE | IBRAHIM SHALHI | Assassination of Ibrahim Shalhi | Discussion of London agreements | AMERICAN EMBASSY IN TRIPOLI | Dumarcay's instructions,"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community focuses on key diplomatic events and figures influencing Libya's political landscape.
1845,COMMUNITY:1845,Political Dynamics in Singapore's Labor Movement,Labor Movements and Political Developments,26,SINGAPORE | MARSHALL | LABOR FRONT | Self-Government Talks | CHINESE CHAMBER OF COMMERCE | Military movements by Israel | Consideration of Soviet Trade Office | MALAY CHINESE ALLIANCE,"{""EventCluster"": 14, ""CanonicalEntity"": 12}",This community explores the interplay between labor unrest and political negotiations in Singapore's historical context.
1852,COMMUNITY:1852,Peoples Progressive Party Dynamics,Political Movements in British Guiana,26,PEOPLES PROGRESSIVE PARTY | CHEDDI JAGAN | BRITISH GUIANA | JANET JAGAN | Cuba rice purchase agreement | Jagan's statement at UN meeting | Visit to Cuba | Demotion of Jagan Leaders,"{""CanonicalEntity"": 13, ""EventCluster"": 13}",This community explores the political activities and influence of the Peoples Progressive Party in British Guiana.
2080,COMMUNITY:2080,Cold War Dynamics in Korea,Geopolitical Tensions in East Asia,26,KOREA | US B 29 | Night attack on US B-29 | Resignation of Prime Minister | Soviet diplomatic feeler regarding Korea | BRITISH UN DELEGATE JEBB | USSR [DANGE / CEYLON] | ISRAELI DELEGATION,"{""EventCluster"": 16, ""CanonicalEntity"": 10}",This community explores the interplay of military and diplomatic actions in Korea during the Cold War.
12,COMMUNITY:12,Middle Eastern Political Mobilization,Cold War Era Geopolitical Dynamics,25,ALI SABRI | UAR [CZECHOSLOVAKIA / SYRIA] | Arrests in Riyadh | Meeting request | Mobilization in Israel | Soviet travel restrictions | BONN [LEBANON / DIRECTED] | EGYPTIAN DIRECTED FEDAYEEN,"{""EventCluster"": 15, ""CanonicalEntity"": 10}",This community focuses on political actions and strategic alliances in the Middle East during the Cold War.
25,COMMUNITY:25,Military Dynamics in Damascus and Bilbeis,Geopolitical Military Engagements in Syria,25,DAMASCUS | AMERICAN ARMY ATTACHE [55D8] | BILBEIS | Discussion on military aid | Departure of Atlit | Israeli military project | Syrian parliamentary by-elections | Construction of new airfield,"{""EventCluster"": 17, ""CanonicalEntity"": 8}","This community explores military interactions and developments in Damascus and Bilbeis, focusing on U.S. involvement and local political events."
86,COMMUNITY:86,Military Operations and Political Turmoil in Amkha,Conflict Dynamics and Regime Stability,25,GENERAL AMKHA | Airlift operations | Attacks by Laotian Army | Execution of progovernment leaders | SECOND MILITARY REGION | ALGERIAN REFUGEES | LAOTIAN MINISTRY OF DEFENSE [AMKHA / SUMATRA] | Border clashes,"{""CanonicalEntity"": 14, ""EventCluster"": 11}","This community focuses on military actions and political instability in the Amkha region, highlighting airlift operations and regime challenges."
115,COMMUNITY:115,Government Decision-Making Events,Political Processes and Governance,25,Airdrop demonstration | Cabinet meeting | Evacuation announcement | House of Deputies vote | Parliament reconvenes | HOUSE OF DEPUTIES | THAI ACTING FOREIGN MINISTER | INPENG,"{""CanonicalEntity"": 14, ""EventCluster"": 11}",This community encompasses significant events related to government leadership and decision-making activities.
210,COMMUNITY:210,Southeast Asia Diplomatic Engagements 3,Geopolitical Dynamics and Military Strategies,25,DAYAL | UAR AMBASSADOR GHALEB | BOUN OUM CABINET | NGON SANANIKONE | Attack on South Vietnamese Army | Advocacy for Lumumba's restoration | Conversation with Ambassador Thompson | Meeting in Vientiane,"{""EventCluster"": 13, ""CanonicalEntity"": 12}",This community focuses on diplomatic interactions and military strategies involving key figures in Southeast Asia.
346,COMMUNITY:346,Political Unrest and Clashes in Algeria,Labor Movements and Political Conflicts,25,ALGERIAN NATIONAL LIBERATION FRONT | SINGAPORE POLICE | Clashes between police and students | Clashes in North Africa | Strike of French civil servants | PRO COMMUNIST LABOR GROUPS | Indiscriminate killings planned in Algiers | GENERAL QUENARD,"{""EventCluster"": 14, ""CanonicalEntity"": 11}",This community focuses on the intersection of labor unrest and political tensions in Algeria during historical conflicts.
365,COMMUNITY:365,Military Activities in Oran,Geopolitical Dynamics in North Africa,25,ORAN | Arms Shipment | Rebel Offensive Preparation | Runway Extension | Suhrawardy's Trip | PHILIPPEVILLE | AMERICAN CULTURAL CENTER [ORAN / MYON] | ARMY OF LIBERATION [TLEMCEN / PHILIPPEVILLE],"{""EventCluster"": 13, ""CanonicalEntity"": 12}",This community focuses on military operations and insurgent activities in the Oran region.
416,COMMUNITY:416,Bebler's Military Engagements and Diplomacy,Military and Political Dynamics in Yugoslavia,25,BEBLER | Talks with Bebler | Troop movement report | AMERICAN ARMY ATTACHE [YUGOSLAVIA / COMINFORM] | Tito's speech | PRIME MINISTER PELLA | AMERICAN [ITALY / YUGOSLAVIA] | MONFALCONE,"{""EventCluster"": 13, ""CanonicalEntity"": 12}",This community focuses on military movements and diplomatic discussions involving Bebler during a critical period in Yugoslav history.
502,COMMUNITY:502,French Influence in Egyptian-Sudanese Relations,Colonial Dynamics and Political Movements,25,RIAD MALKI | FRENCH RESIDENT GENERAL | Egyptian-Sudanese talks | French ultimatum to Bey | Launch of French reform program | Madrid consumers' strike | Military debate in French National Assembly | SOCIALIST RESURRECTION BAATH PARTY,"{""CanonicalEntity"": 13, ""EventCluster"": 12}",This community explores the impact of French political maneuvers on Egyptian-Sudanese diplomatic interactions.
521,COMMUNITY:521,India's Diplomatic Engagements in the 1960s,International Relations and Government Dynamics,25,GOVERNMENT OF INDIA | PANIKKAR | US EMBASSY NEW DELHI | CHEN CHIA KANG | Badr's authority issued | Communication between Nehru and Ambassador Galbraith | Demarche by Yugoslav Minister | Negotiation for grain purchase,"{""EventCluster"": 15, ""CanonicalEntity"": 10}","This community focuses on India's diplomatic interactions and negotiations during the 1960s, highlighting key figures and events."
527,COMMUNITY:527,Cold War Diplomatic Engagements 4,International Relations and Military Dynamics,25,INDIAN AMBASSADOR | USSR [TIREUR / LAI] | Equipment shipment to USSR | Talk between Chou En-lai and Indian Ambassador | GREEK KING | AMERICAN MILITARY ADVISERS | FRANC TIREUR | BERMUDA,"{""EventCluster"": 18, ""CanonicalEntity"": 7}","This community focuses on diplomatic interactions and military support during the Cold War, particularly involving India and the USSR."
566,COMMUNITY:566,Khrushchev's Leadership and Policies,Soviet Political Dynamics in the Cold War,25,KHRUSHCHEV | Khrushchev's report to the 20th Party Congress | 20TH PARTY CONGRESS | VIDIC | Khrushchev's speech | Cancellation of Khrushchev's Scandinavian visit | Disarmament Statement | Khrushchev's absence,"{""CanonicalEntity"": 16, ""EventCluster"": 9}",This community focuses on Khrushchev's significant political actions and speeches during the Cold War era.
620,COMMUNITY:620,Political Maneuvering in Cold War South Asia,Cold War Dynamics and Regional Politics,25,H S SUHRAWARDY | CHAUDHRI MOHAMMAD ALI | CHAUDRI MOHAMMAD ALI | Arrest of Iranian commissioner | Conversation between Rhee and Strom | East Pakistan Assembly budget rejection | Uncovering of Soviet espionage net | Visit to USSR,"{""EventCluster"": 14, ""CanonicalEntity"": 11}",This community focuses on key political events and figures influencing South Asia during the Cold War era.
643,COMMUNITY:643,Soviet Political Maneuvering in the Cold War,Cold War Political Dynamics and Strategies,25,L G MELNIKOV | L P BERIA | MALYSHEV | Attendance at Bolshoi Theatre | Recommendation for continuation of China Committee | Stalling for concessions | CHINA COMMITTEE [MELNIKOV / MALYSHEV] | SOVIET SUPREME COURT,"{""EventCluster"": 15, ""CanonicalEntity"": 10}",This community focuses on key Soviet figures and their strategic decisions during the Cold War era.
678,COMMUNITY:678,Cold War Military Engagements in Asia 1,Geopolitical Tensions and Military Strategies,25,US FAR EAST COMMAND [C14D] | UN aircraft attack | Major Communist effort | JACOB MALIK | DUTCH FOREIGN MINISTER | Discussion on West New Guinea | Reported sixth phase offensive | NORTH KOREAN DIVISIONS,"{""CanonicalEntity"": 14, ""EventCluster"": 11}",This community focuses on military operations and diplomatic discussions during the Cold War in the Far East.
751,COMMUNITY:751,Dutch Political and Defense Collaborations,European Military and Political Alliances,25,Benelux meeting | CHABAN DELMAS | DUTCH CABINET | European Defense Forces conference | CATHOLICS [DUTCH / EUROPEAN] | Policy statement by Chaban-Delmas | DUTCH FOREIGN OFFICE [CATHOLICS / EUROPEAN] | DUTCH PARLIAMENT,"{""CanonicalEntity"": 19, ""EventCluster"": 6}",This community focuses on Dutch political gatherings and defense discussions within the Benelux region.
760,COMMUNITY:760,Military Leadership Transitions in Asia,Geopolitical Dynamics in Military Leadership,25,GENERAL MUSA | Retirement of Habibullah | ICHIRO KONO | TANZAN ISHIBASHI | HABIBULLAH | LT GENERAL HABIBULLAH | LT GEN HABIBULLAH | Warning on Security Treaty,"{""CanonicalEntity"": 13, ""EventCluster"": 12}",This community focuses on significant military leadership changes and their implications for regional stability.
881,COMMUNITY:881,Somoza Regime and Military Dynamics,Nicaraguan Political and Military Landscape,25,LUIS SOMOZA | NICARAGUAN GOVERNMENT [SOMOZA / TUNG] | Expected Military Coup | ANASTASIO SOMOZA | GENERAL ANASTASIO SOMOZA JR | Assassination Reaction | Cabinet Reorganization Request | Chinese Communist Party Elections,"{""EventCluster"": 14, ""CanonicalEntity"": 11}",This community focuses on the Somoza regime's military strategies and responses to internal and external threats.
