alias,canonical_label,review_status,heuristic_reason,final_score,openai_decision,openai_confidence
CHINESE NATIONALIST REGIME,CHINESE NATIONALIST,accept_openai,lexical_context_similarity,0.7235,merge,0.85
CHINESE NATIONALIST TROOPS,CHINESE NATIONALIST,accept_openai,lexical_context_similarity,0.7298,merge,0.8
CHINESE NATIONALIST-HELD TACHEN ISLANDS,TACHEN ISLANDS,accept_openai,lexical_context_similarity,0.6121,merge,0.8
CHINESE RED CROSS,COMMUNIST CHINESE RED CROSS,accept_openai,lexical_context_similarity,0.7344,merge,0.8
CHINESE TROOPS,CHINESE COMMUNIST,accept_openai,lexical_context_similarity,0.7266,merge,0.8
CHINMEN ISLAND,CHINMEN,accept_openai,lexical_context_similarity,0.616,merge,0.85
CHINMEN ISLANDS,CHINMEN,accept_openai,lexical_context_similarity,0.6529,merge,0.8
CHO BONG-AM,CHO PONG-AM,accept_openai,lexical_context_similarity,0.6395,merge,0.8
CHONG,HO CHONG,accept_openai,lexical_context_similarity,0.7332,merge,0.8
CHOU-EN-LAI,CHOU EN-LAI,accept_rule,person_title_variant,0.95,,
CHOUGH PYONG-OK,CHO PYONG-OK,accept_openai,lexical_context_similarity,0.6884,merge,0.85
CHRISTIAN DEMOCRATIC (CD) GOVERNMENT,CHRISTIAN DEMOCRATIC GOVERNMENT,accept_openai,lexical_context_similarity,0.7837,merge,0.8
CHRISTIAN DEMOCRATIC CABINET,CHRISTIAN DEMOCRATIC GOVERNMENT,accept_openai,lexical_context_similarity,0.6237,merge,0.8
CHRISTIAN DEMOCRATIC CARETAKER GOVERNMENT,CHRISTIAN DEMOCRATIC GOVERNMENT,accept_openai,lexical_context_similarity,0.7231,merge,0.8
CHRISTIAN DEMOCRATIC DEPUTIES,CHRISTIAN DEMOCRATIC PARTY,accept_openai,lexical_context_similarity,0.6447,merge,0.8
CHRISTIAN DEMOCRATIC OFFICIALS,CHRISTIAN DEMOCRATIC UNION,accept_openai,lexical_context_similarity,0.6478,merge,0.8
CHRISTIAN DEMOCRATIC PARTY (CDU),CHRISTIAN DEMOCRATIC UNION,accept_openai,lexical_context_similarity,0.7628,merge,0.85
CHRISTIAN DEMOCRATIC UNION (CDU),CHRISTIAN DEMOCRATIC UNION,accept_rule,parenthetical_base_match,0.91,,
CHRISTIAN DEMOCRATIC UNION (CDU/CSU),CHRISTIAN DEMOCRATIC UNION,accept_openai,lexical_context_similarity,0.7441,merge,0.9
CHRISTIAN DEMOCRATS,CHRISTIAN DEMOCRATIC PARTY,accept_openai,lexical_context_similarity,0.6705,merge,0.8
CHRISTIAN DEMOCRATS (CDU),CHRISTIAN DEMOCRATIC UNION,accept_openai,lexical_context_similarity,0.712,merge,0.85
CHRISTIAN WORKERS CONFEDERATION (CFTC),FRENCH CHRISTIAN WORKERS CONFEDERATION,accept_openai,lexical_context_similarity,0.6398,merge,0.8
CHRISTIAN-DEMOCRATIC PARTY,CHRISTIAN DEMOCRATIC PARTY,accept_openai,lexical_context_similarity,0.7232,merge,0.85
CHU TE,CHU TEH,accept_openai,lexical_context_similarity,0.6333,merge,0.8
CHUIKOV,GENERAL CHUIKOV,accept_rule,person_title_variant,0.95,,
CHUKHOTSK PENINSULA,CHUKOTSK PENINSULA,accept_openai,lexical_context_similarity,0.6044,merge,0.8
CHUKOTSK AREA,CHUKOTSK,accept_openai,lexical_context_similarity,0.7127,merge,0.85
CHURCH,CATHOLIC CHURCH,accept_openai,lexical_context_similarity,0.6138,merge,0.8
CIA,CENTRAL INTELLIGENCE AGENCY,accept_rule,acronym_match,0.9,,
CIE. FRANCAISE DES PETROLES,COMPAGNIE FRANCAISE DES PETROLES,accept_openai,lexical_context_similarity,0.6532,merge,0.8
CLARK,GENERAL CLARK,accept_rule,person_title_variant,0.95,,
CLEOPATRA,EGYPTIAN SHIP CLEOPATRA,accept_openai,lexical_context_similarity,0.6362,merge,0.8
CLEOPHAS KAMITATU,KAMITATU,accept_openai,lexical_context_similarity,0.6558,merge,0.85
CNU,COMMITTEE OF NATIONAL UNION,accept_rule,acronym_match,0.9,,
CO-FOREIGN MINISTER LUNS,DUTCH CO-FOREIGN MINISTER LUNS,accept_openai,lexical_context_similarity,0.7968,merge,0.8
COAL-STEEL COMMUNITY,EUROPEAN COAL-STEEL COMMUNITY,accept_openai,lexical_context_similarity,0.7978,merge,0.8
COAL-STEEL COMMUNITY HIGH AUTHORITY,EUROPEAN COAL-STEEL COMMUNITY,accept_openai,lexical_context_similarity,0.6404,merge,0.8
COCHRAN,US AMBASSADOR COCHRAN,accept_openai,lexical_context_similarity,0.6002,merge,0.8
COGNY,GENERAL COGNY,accept_rule,person_title_variant,0.95,,
COL HOUMPANH,COL. HOUMPANH,accept_rule,person_title_variant,0.95,,
COL. ALPASLAN TURKES,COLONEL TURKES,accept_rule,person_title_variant,0.95,,
COL. ANIBAL PORTILLO,ANIBAL PORTILLO,accept_rule,person_title_variant,0.95,,
COL. BARLIAN,LT. COL. BARLIAN,accept_openai,lexical_context_similarity,0.7977,merge,0.8
COL. DE CASTRIES,DE CASTRIES,accept_rule,person_title_variant,0.95,,
COL. FADHIL MAHDAWI,COL. MAHDAWI,accept_openai,lexical_context_similarity,0.7543,merge,0.8
COL. JANI,COLONEL JANI,accept_rule,person_title_variant,0.95,,
COL. JUAN F. OLIVA,COLONEL JUAN F. OLIVA,accept_rule,person_title_variant,0.95,,
COL. KAWILARANG,COLONEL KAWILARANG,accept_rule,person_title_variant,0.95,,
COL. KHAMMOUANE,COLONEL KHAMMOUANE,accept_rule,person_title_variant,0.95,,
COL. LUBIS,COLONEL LUBIS,accept_rule,person_title_variant,0.95,,
COL. MOBUTU,MOBUTU,accept_rule,person_title_variant,0.95,,
COL. SARRAJ,SARRAJ,accept_rule,person_title_variant,0.95,,
COL. SIMBOLON,COLONEL SIMBOLON,accept_rule,person_title_variant,0.95,,
COL. SUDIRMAN,COLONEL SUDIRMAN,accept_rule,person_title_variant,0.95,,
COL. SUMUAL,LT. COL. SUMUAL,accept_openai,lexical_context_similarity,0.7963,merge,0.8
COL. WEIZMANN,COLONEL WEIZMANN,accept_rule,person_title_variant,0.95,,
COLLINS,GENERAL COLLINS,accept_rule,person_title_variant,0.95,,
COLOMBIAN COMMUNIST PARTY,COMMUNIST PARTY OF COLOMBIA,accept_openai,lexical_context_similarity,0.603,merge,0.85
COLOMBIAN FOREIGN MINISTER,COLOMBIAN FOREIGN MINISTER TURBAY,accept_openai,lexical_context_similarity,0.6832,merge,0.8
COLOMBIAN PRESIDENT,LLERAS CAMARGO,accept_openai,lexical_context_similarity,0.6025,merge,0.85
COLOMBIAN PRESIDENT LLERAS CAMARGO,LLERAS CAMARGO,accept_openai,lexical_context_similarity,0.6588,merge,0.8
COLONEL ABDUL GAMAL NASR,NASR,accept_openai,lexical_context_similarity,0.61,merge,0.85
COLONEL ABDUL NASR,NASR,accept_openai,lexical_context_similarity,0.7177,merge,0.8
COLONEL ALPASLAN TURKES,COLONEL TURKES,accept_openai,lexical_context_similarity,0.69,merge,0.85
"COLONEL ANASTASIO SOMOZA, JR.",ANASTASIO SOMOZA,accept_openai,lexical_context_similarity,0.6784,merge,0.8
COLONEL ANIBAL PORTILLO,ANIBAL PORTILLO,accept_rule,person_title_variant,0.95,,
COLONEL ARMANDO VELASQUEZ,ARMANDO VELASQUEZ,accept_rule,person_title_variant,0.95,,
COLONEL BANKS,COLONEL CYRIL BANKS,accept_openai,lexical_context_similarity,0.6778,merge,0.8
COLONEL DE CASTRIES,DE CASTRIES,accept_rule,person_title_variant,0.95,,
COLONEL DIAZ,COLONEL CARLOS ENRIQUE DIAZ,accept_openai,lexical_context_similarity,0.6162,merge,0.85
COLONEL ELFEGO MONZON,COLONEL MONZON,accept_openai,lexical_context_similarity,0.7308,merge,0.8
COLONEL KHAM OUANE,COLONEL KHAMOUANE,accept_openai,lexical_context_similarity,0.626,merge,0.8
COLONEL KIM,LT. COL. KIM CHONG-PIL,accept_openai,lexical_context_similarity,0.6054,merge,0.8
COLONEL KIM CHONG-PIL,LT. COL. KIM CHONG-PIL,accept_openai,lexical_context_similarity,0.6402,merge,0.8
COLONEL KOUPRASITH,COL. KOUPRASITH,accept_rule,person_title_variant,0.95,,
COLONEL MAHDAWI,COL. MAHDAWI,accept_rule,person_title_variant,0.95,,
COLONEL MARIANO OSPINA RODRIGUEZ,GENERAL MARIANO OSPINA RODRIGUEZ,accept_rule,person_title_variant,0.95,,
COLONEL MAUNG MAUNG,BRIGADIER MAUNG MAUNG,accept_rule,person_title_variant,0.95,,
COLONEL MENDOZA,MENDOZA,accept_rule,person_title_variant,0.95,,
COLONEL MOBUTU,MOBUTU,accept_rule,person_title_variant,0.95,,
COLONEL NAINGGOLAN,NAINGGOLAN,accept_rule,person_title_variant,0.95,,
COLONEL NASR,NASR,accept_rule,person_title_variant,0.95,,
COLONEL PAL MALETER,MAJOR GENERAL PAL MALETER,accept_rule,person_title_variant,0.95,,
COLONEL PORTILLO,ANIBAL PORTILLO,accept_openai,lexical_context_similarity,0.7412,merge,0.85
COLONEL REMON,REMON,accept_rule,person_title_variant,0.95,,
COLONEL ROGER TRINQUIER,COLONEL TRINQUIER,accept_openai,lexical_context_similarity,0.7464,merge,0.85
COLONEL SANTOS COSTA,SANTOS COSTA,accept_rule,person_title_variant,0.95,,
COLONEL SARRAJ,SARRAJ,accept_rule,person_title_variant,0.95,,
COLONEL SATURNINO FLORES,LIEUTENANT COLONEL SATURNINO FLORES,accept_openai,lexical_context_similarity,0.7729,merge,0.85
COLONEL SHAH,SHAH,accept_rule,person_title_variant,0.95,,
COLONEL SHISHAKLI,SHISHAKLI,accept_rule,person_title_variant,0.95,,
COLONEL SOMOZA,SOMOZA,accept_rule,person_title_variant,0.95,,
COLONEL ZULKIFLI LUBIS,COLONEL LUBIS,accept_openai,lexical_context_similarity,0.6631,merge,0.8
COLONIAL OFFICE,BRITISH COLONIAL OFFICE,accept_openai,lexical_context_similarity,0.7666,merge,0.8
COMINFORM COMMUNISTS,COMINFORM,accept_openai,lexical_context_similarity,0.6667,merge,0.8
COMITE INTERIOR DE COORDINACION,CIC (COMITE INTERIOR DE COORDINACION),accept_openai,lexical_context_similarity,0.7077,merge,0.9
COMMANDER WINTERTON,GENERAL WINTERTON,accept_rule,person_title_variant,0.95,,
"COMMANDER-IN-CHIEF, PACIFIC","COMMANDER IN CHIEF, PACIFIC",accept_rule,token_bag_match,0.94,,
COMMISSIONER DEJEAN,COMMISSIONER GENERAL DEJEAN,accept_openai,lexical_context_similarity,0.7829,merge,0.85
COMMISSIONER GENERAL DE JEAN,COMMISSIONER GENERAL DEJEAN,accept_openai,lexical_context_similarity,0.6806,merge,0.8
COMMITTEE FOR NATIONAL UNION,COMMITTEE OF NATIONAL UNION,accept_openai,lexical_context_similarity,0.8649,merge,0.9
COMMITTEE FOR THE DEFENSE OF NATIONAL INTERESTS,COMMITTEE FOR DEFENSE OF NATIONAL INTERESTS (CDNI),accept_openai,lexical_context_similarity,0.8245,merge,0.8
COMMITTEE FOR THE DEFENSE OF NATIONAL INTERESTS (CDNI),COMMITTEE FOR DEFENSE OF NATIONAL INTERESTS (CDNI),accept_rule,token_bag_match,0.94,,
COMMITTEE FOR THE DEFENSE OF THE NATIONAL INTERESTS (CDNI),COMMITTEE FOR DEFENSE OF NATIONAL INTERESTS (CDNI),accept_openai,lexical_context_similarity,0.7971,merge,0.8
COMMITTEE OF NATIONAL UNION (CNU),COMMITTEE OF NATIONAL UNION,accept_rule,parenthetical_base_match,0.91,,
COMMITTEE OF NATIONAL UNITY,COMMITTEE OF NATIONAL UNION,accept_openai,lexical_context_similarity,0.712,merge,0.85
COMMUNIST BLOC,SOVIET BLOC,accept_openai,lexical_context_similarity,0.6062,merge,0.8
COMMUNIST CHINESE,CHINESE COMMUNIST REGIME,accept_openai,lexical_context_similarity,0.6507,merge,0.8
COMMUNIST PARTY (PCV),VENEZUELAN COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.7549,merge,0.8
COMMUNIST PARTY (PKI),INDONESIAN COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.7402,merge,0.8
COMMUNIST PARTY IN JAPAN,JAPANESE COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.8153,merge,0.9
COMMUNIST PARTY IN VENEZUELA,VENEZUELAN COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.6568,merge,0.8
COMMUNIST PARTY OF INDONESIA (PKI),INDONESIAN COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.693,merge,0.9
COMMUNIST PARTY OF IRAQ,IRAQI COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.6303,merge,0.8
COMMUNIST PARTY OF IRAQ (CPI),IRAQI COMMUNIST PARTY,accept_rule,parenthetical_base_match,0.91,,
COMMUNIST PARTY OF ITALY,ITALIAN COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.6272,merge,0.8
COMMUNIST PARTY OF SYRIA,SYRIAN COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.6388,merge,0.8
COMMUNIST PARTY OF THE NETHERLANDS,NETHERLANDS COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.7634,merge,0.85
COMMUNIST PARTY OF YUGOSLAVIA,YUGOSLAV COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.6504,merge,0.8
COMMUNIST TROOPS,CHINESE COMMUNIST,accept_openai,lexical_context_similarity,0.7373,merge,0.8
COMMUNIST-BLOC,SOVIET BLOC,accept_rule,token_bag_match,0.94,,
COMMUNIST-FRONT EDA,COMMUNIST-FRONT EDA PARTY,accept_openai,lexical_context_similarity,0.7451,merge,0.8
COMMUNIST-FRONT LABOR ALLIANCE,LABOR ALLIANCE,accept_openai,lexical_context_similarity,0.6544,merge,0.8
COMMUNISTS IN GUATEMALA,GUATEMALAN COMMUNISTS,accept_openai,lexical_context_similarity,0.604,merge,0.8
CONAKAT PARTY,CONAKAT,accept_openai,lexical_context_similarity,0.7525,merge,0.9
CONANT,AMBASSADOR CONANT,accept_rule,person_title_variant,0.95,,
CONCENTRATION OF POPULAR FORCES (CFP),CONCENTRATION OF POPULAR FORCES,accept_rule,parenthetical_base_match,0.91,,
CONFEDERATION OF CUBAN WORKERS,CUBAN WORKERS CONFEDERATION,accept_openai,lexical_context_similarity,0.7751,merge,0.8
CONFEDERATION OF CUBAN WORKERS (CTC),CUBAN WORKERS CONFEDERATION,accept_openai,lexical_context_similarity,0.7438,merge,0.8
CONGO MINISTER VAN HEMELRIJCK,MINISTER OF THE CONGO VAN HEMELRIJCK,accept_openai,lexical_context_similarity,0.755,merge,0.8
CONGO NATIONAL MOVEMENT,NATIONAL CONGO MOVEMENT (MNC),accept_openai,lexical_context_similarity,0.6692,merge,0.8
CONGO REPUBLIC,REPUBLIC OF CONGO,accept_openai,lexical_context_similarity,0.7854,merge,0.85
CONGOLESE NATIONAL MOVEMENT (MNC),NATIONAL CONGO MOVEMENT (MNC),accept_openai,lexical_context_similarity,0.6177,merge,0.85
CONSERVATIVE - SOCIAL DEMOCRATIC GOVERNMENT,CONSERVATIVE-SOCIAL DEMOCRATIC GOVERNMENT,accept_rule,token_bag_match,0.94,,
CONSTANTINE KARAMANLIS,KARAMANLIS,accept_openai,lexical_context_similarity,0.6858,merge,0.85
CONSTITUTIONAL UNION,CONSTITUTIONAL UNION PARTY,accept_openai,lexical_context_similarity,0.8189,merge,0.9
CONSUL GENERAL TYLER,AMERICAN CONSUL GENERAL TYLER,accept_openai,lexical_context_similarity,0.7364,merge,0.8
COPPER CONFEDERATION,CHILEAN COPPER WORKERS CONFEDERATION,accept_openai,lexical_context_similarity,0.6915,merge,0.85
COSTA RICAN PRESIDENT FIGUERES,FIGUERES,accept_openai,lexical_context_similarity,0.6281,merge,0.8
COTTBUS,COTTBUS AIRFIELD,accept_openai,lexical_context_similarity,0.6347,merge,0.8
COTY,PRESIDENT COTY,accept_rule,person_title_variant,0.95,,
COUNCIL OF ECONOMIC MUTUAL ASSISTANCE,COUNCIL FOR MUTUAL ECONOMIC ASSISTANCE,accept_openai,lexical_context_similarity,0.8234,merge,0.9
COUNCIL OF EUROPE MINISTERS COMMITTEE,COUNCIL OF EUROPE,accept_openai,lexical_context_similarity,0.6496,merge,0.8
COUNCIL OF MINISTERS OF THE USSR,COUNCIL OF MINISTERS,accept_openai,lexical_context_similarity,0.7085,merge,0.85
COUNCIL OF MUTUAL ECONOMIC ASSISTANCE,COUNCIL FOR MUTUAL ECONOMIC ASSISTANCE,accept_openai,lexical_context_similarity,0.8527,merge,0.9
COUNCIL OF MUTUAL ECONOMIC ASSISTANCE (CEMA),COUNCIL FOR MUTUAL ECONOMIC ASSISTANCE,accept_openai,lexical_context_similarity,0.7811,merge,0.85
COURT MINISTER ALA,MINISTER OF COURT ALA,accept_openai,lexical_context_similarity,0.8087,merge,0.8
CPI,COMMUNIST PARTY OF INDIA,accept_rule,acronym_match,0.9,,
CPP,CONVENTION PEOPLES PARTY (CPP),accept_rule,acronym_match,0.9,,
CRAVEIRO LOPES,MARSHAL CRAVEIRO LOPES,accept_openai,lexical_context_similarity,0.7627,merge,0.85
CROWE,AMBASSADOR CROWE,accept_rule,person_title_variant,0.95,,
CROWN PRINCE FAISAL,CROWN PRINCE FAYSAL,accept_openai,lexical_context_similarity,0.6954,merge,0.9
CROWN PRINCE SIHANOUK,SIHANOUK,accept_openai,lexical_context_similarity,0.7552,merge,0.9
CSU,CHRISTIAN SOCIAL UNION (CSU),accept_rule,acronym_match,0.9,,
CUBA ARMY,CUBAN ARMY,accept_openai,lexical_context_similarity,0.6517,merge,0.8
CUBAN COMMUNIST PARTY (PSP),CUBAN COMMUNIST PARTY,accept_rule,parenthetical_base_match,0.91,,
CUBAN CONFEDERATION OF LABOR (CTC),CUBAN WORKERS CONFEDERATION,accept_openai,lexical_context_similarity,0.8475,merge,0.9
CUBAN CONFEDERATION OF WORKERS,CUBAN WORKERS CONFEDERATION,accept_openai,lexical_context_similarity,0.8077,merge,0.8
CUBAN CONFEDERATION OF WORKERS (CTC),CUBAN WORKERS CONFEDERATION,accept_openai,lexical_context_similarity,0.7841,merge,0.85
CUBAN EMBASSY IN PANAMA,CUBAN EMBASSY,accept_openai,lexical_context_similarity,0.6737,merge,0.8
CUBAN EMBASSY IN QUITO,CUBAN EMBASSY,accept_openai,lexical_context_similarity,0.6739,merge,0.8
CUBAN LABOR CONFEDERATION (CTC),CUBAN WORKERS CONFEDERATION,accept_rule,parenthetical_base_match,0.91,,
CUBAN NATIONAL BANK,NATIONAL BANK OF CUBA,accept_openai,lexical_context_similarity,0.6225,merge,0.8
CUBAN PRESIDENT,BATISTA,accept_openai,lexical_context_similarity,0.6447,merge,0.8
CUBAN PRESIDENT BATISTA,BATISTA,accept_openai,lexical_context_similarity,0.781,merge,0.85
CUBAN PRESIDENT DORTICOS,DORTICOS,accept_openai,lexical_context_similarity,0.6428,merge,0.8
CUBAN PRIME MINISTER CASTRO,PRIME MINISTER CASTRO,accept_openai,lexical_context_similarity,0.7718,merge,0.85
CUBAN WORKERS CONFEDERATION (CTC),CUBAN WORKERS CONFEDERATION,accept_rule,parenthetical_base_match,0.91,,
CUBAS COMMUNIST PARTY,CUBAN COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.6579,merge,0.8
CUMMING,AMBASSADOR CUMMING,accept_rule,person_title_variant,0.95,,
CYPRIOT ARCHBISHOP MAKARIOS,ARCHBISHOP MAKARIOS,accept_openai,lexical_context_similarity,0.7656,merge,0.9
CZECH AMBASSADOR ULLRICH,CZECH AMBASSADOR,accept_openai,lexical_context_similarity,0.6426,merge,0.8
CZECH BORDER GUARD,CZECH BORDER GUARDS,accept_openai,lexical_context_similarity,0.633,merge,0.85
CZECH FOREIGN MINISTRY,CZECH MINISTRY OF FOREIGN AFFAIRS,accept_openai,lexical_context_similarity,0.6463,merge,0.8
CZECH PARTY,CZECH COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.7056,merge,0.8
CZECH PREMIER SIROKY,SIROKY,accept_openai,lexical_context_similarity,0.7426,merge,0.85
CZECHOSLOVAK AIRLINES,CZECHOSLOVAK STATE AIRLINES,accept_openai,lexical_context_similarity,0.7284,merge,0.8
CZECHOSLOVAK COMMUNIST,CZECHOSLOVAK COMMUNIST PARTY,accept_openai,lexical_context_similarity,0.7933,merge,0.8
CZECHOSLOVAK REGIME,CZECHOSLOVAK GOVERNMENT,accept_openai,lexical_context_similarity,0.6206,merge,0.8
D. N. AIDIT,AIDIT,accept_openai,lexical_context_similarity,0.8159,merge,0.85
D. S. SHEPILOV,SHEPILOV,accept_openai,lexical_context_similarity,0.8979,merge,0.9
D. T. SHEPILOV,SHEPILOV,accept_openai,lexical_context_similarity,0.7918,merge,0.85
DAFTARI,MATIN DAFTARI,accept_openai,lexical_context_similarity,0.642,merge,0.85
DAG HAMMARSKJOLD,HAMMARSKJOLD,accept_openai,lexical_context_similarity,0.7978,merge,0.9
DANGE,S. A. DANGE,accept_openai,lexical_context_similarity,0.7311,merge,0.85
DANIEL FIGNOLE,DANIEL FIGNOLÉ,accept_openai,lexical_context_similarity,0.6029,merge,0.85
DANTAS,JOAO DANTAS,accept_openai,lexical_context_similarity,0.6629,merge,0.85
DAVID BEN-GURION,BEN-GURION,accept_openai,lexical_context_similarity,0.7247,merge,0.9
DAVIS,US AMBASSADOR DAVIS,accept_rule,person_title_variant,0.95,,
DE GAULLE REGIME,DE GAULLES REGIME,accept_openai,lexical_context_similarity,0.6537,merge,0.8
DE GAULLES RALLY OF THE FRENCH PEOPLE,RALLY OF THE FRENCH PEOPLE,accept_openai,lexical_context_similarity,0.7301,merge,0.8
DE GAULLISTS,GAULLISTS,accept_openai,lexical_context_similarity,0.7802,merge,0.8
DE LANGLADE,GENERAL DE LANGLADE,accept_rule,person_title_variant,0.95,,
DE LATTRE,GENERAL DE LATTRE,accept_rule,person_title_variant,0.95,,
DEBRE,DEBRÉ,accept_rule,person_title_variant,0.95,,
DEFENSE AGENCY,NATIONAL DEFENSE AGENCY,accept_openai,lexical_context_similarity,0.7204,merge,0.85
DEFENSE DEPARTMENT,DEPARTMENT OF DEFENSE,accept_openai,lexical_context_similarity,0.8261,merge,0.9
DEFENSE MINISTER,MINISTER OF DEFENSE,accept_openai,lexical_context_similarity,0.7505,merge,0.8
DEFENSE MINISTER CANELLOPOULOS,DEFENSE MINISTER KANELLOPOULOS,accept_openai,lexical_context_similarity,0.6467,merge,0.9
DEFENSE MINISTER MALINOVSKY,SOVIET DEFENSE MINISTER MARSHAL MALINOVSKY,accept_openai,lexical_context_similarity,0.6546,merge,0.85
DEFENSE MINISTER MONIZ,DEFENSE MINISTER BOTELHO MONIZ,accept_openai,lexical_context_similarity,0.7227,merge,0.85
DEFENSE MINISTRY,MINISTRY OF DEFENSE,accept_openai,lexical_context_similarity,0.7881,merge,0.8
DEHLER,THOMAS DEHLER,accept_openai,lexical_context_similarity,0.7018,merge,0.85
DEJOIE,LOUIS DEJOIE,accept_openai,lexical_context_similarity,0.6812,merge,0.8
DELEGATE-GENERAL DELOUVRIER,DELEGATE GENERAL DELOUVRIER,accept_rule,token_bag_match,0.94,,
DELGADO,GENERAL DELGADO,accept_rule,person_title_variant,0.95,,
DELHI,NEW DELHI,accept_openai,lexical_context_similarity,0.6893,merge,0.85
DEMOCRAT CHANG MYON,CHANG MYON,accept_openai,lexical_context_similarity,0.7178,merge,0.85
DEMOCRATIC ACTION,DEMOCRATIC ACTION PARTY,accept_openai,lexical_context_similarity,0.8282,merge,0.9
DEMOCRATIC ACTION (AD),DEMOCRATIC ACTION PARTY,accept_openai,lexical_context_similarity,0.7988,merge,0.8
DEMOCRATIC ACTION PARTY (AD),DEMOCRATIC ACTION PARTY,accept_openai,lexical_context_similarity,0.7206,merge,0.8
DEMOCRATIC ACTION PARTY OF VENEZUELA,DEMOCRATIC ACTION PARTY,accept_openai,lexical_context_similarity,0.7745,merge,0.85
DEMOCRATIC NATIONAL PARTY,NATIONAL DEMOCRATIC PARTY,accept_rule,token_bag_match,0.94,,
DEMOCRATIC PARTY (DP),DEMOCRATIC PARTY,accept_rule,parenthetical_base_match,0.91,,
DEMOCRATIC PARTY (DPS),DEMOCRATIC PARTY,accept_rule,parenthetical_base_match,0.91,,
DEMOCRATIC PARTY OF GUINEA,GUINEAN DEMOCRATIC PARTY,accept_openai,lexical_context_similarity,0.6014,merge,0.8
DEMOCRATIC REPUBLICAN UNION PARTY (URD),DEMOCRATIC REPUBLICAN UNION (URD),accept_openai,lexical_context_similarity,0.8585,merge,0.85
DEMOCRATIC SOCIALIST PARTY (DSP),DEMOCRATIC SOCIALIST PARTY,accept_rule,parenthetical_base_match,0.91,,
DEMOCRATIC-SOCIALIST PARTY,DEMOCRATIC SOCIALIST PARTY,accept_rule,token_bag_match,0.94,,
DEPUTY PREMIER SOUSTELLE,DEPUTY PREMIER JACQUES SOUSTELLE,accept_openai,lexical_context_similarity,0.7741,merge,0.85
DESAI,MORARJI DESAI,accept_openai,lexical_context_similarity,0.61,merge,0.85
DHAHRAN AIRFIELD,DHAHRAN,accept_openai,lexical_context_similarity,0.6716,merge,0.8
DIAS BANDARANAIKE,BANDARANAIKE,accept_openai,lexical_context_similarity,0.7527,merge,0.8
DIAZ,COLONEL CARLOS ENRIQUE DIAZ,accept_rule,person_title_variant,0.95,,
DIBELIUS,BISHOP DIBELIUS,accept_openai,lexical_context_similarity,0.7549,merge,0.8
DIEMS GOVERNMENT,DIEM GOVERNMENT,accept_openai,lexical_context_similarity,0.6372,merge,0.85
DIET,JAPANESE DIET,accept_openai,lexical_context_similarity,0.6288,merge,0.9
DILLON,AMBASSADOR DILLON,accept_rule,person_title_variant,0.95,,
"DIRECTOR FOR INTELLIGENCE, THE JOINT STAFF","DIRECTOR, THE JOINT STAFF",accept_openai,lexical_context_similarity,0.782,merge,0.85
"DIRECTOR OF NAVAL INTELLIGENCE, DEPARTMENT OF THE NAVY","DIRECTOR OF NAVAL INTELLIGENCE, DEPARTMENT OF NAVY",accept_rule,token_bag_match,1.0,,
"DIRECTOR, NATIONAL AERONAUTICS AND SPACE ADMINISTRATION",NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,accept_openai,lexical_context_similarity,0.8749,merge,0.9
DISARMAMENT COMMISSION,UN DISARMAMENT COMMISSION,accept_openai,lexical_context_similarity,0.8687,merge,0.9
DOCTOR MATTHEWS,AMBASSADOR MATTHEWS,accept_rule,person_title_variant,0.95,,
DOMINICAN DICTATOR TRUJILLO,TRUJILLO,accept_openai,lexical_context_similarity,0.6011,merge,0.85
DOMINICAN MILITARY INTELLIGENCE SERVICE (SIM),MILITARY INTELLIGENCE SERVICE (SIM),accept_openai,lexical_context_similarity,0.8358,merge,0.85
DONOVAN,AMBASSADOR DONOVAN,accept_rule,person_title_variant,0.95,,
DOVAS,GENERAL DOVAS,accept_rule,person_title_variant,0.95,,
DOWLING,AMBASSADOR DOWLING,accept_rule,person_title_variant,0.95,,
DR. GAZIL KUCHUK,KUCHUK,accept_openai,lexical_context_similarity,0.6195,merge,0.85
DR. GHOLAM MOSSADEQ,MOSSADEQ,accept_openai,lexical_context_similarity,0.6029,merge,0.8
DR. HERRERA,HERRERA,accept_rule,person_title_variant,0.95,,
DR. KURT SCHUMACHER,KURT SCHUMACHER,accept_rule,person_title_variant,0.95,,
DR. MARTIN NIEMOELLER,PASTOR MARTIN NIEMOELLER,accept_openai,lexical_context_similarity,0.6097,merge,0.8
DR. MOHAMMED MOSSADEQ,MOSSADEQ,accept_openai,lexical_context_similarity,0.6121,merge,0.85
DR. RADHAKRISHNAN,RADHAKRISHNAN,accept_rule,person_title_variant,0.95,,
